,UKF243,UKF259,UKF296,UKF313,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.019410025257944174,
BMP1,0.032607222062796044,0.013374057933633006,0.08733217694289731,0.13847603414291457,0.07677376246253668,-0.0029112319951994513,0.017110847866171734,0.07427293790213921
NDP,0.04140940235457634,-0.021005533568926833,9.27623289689757e-05,0.08252929677317423,-0.1253489510882353,0.07409275400704583,0.04160088506499773,-0.060944956351056484
TNFSF18,-0.018681625395737842,,,,,,0.05956065366644315,0.11504763318371627
RTN4,-0.007097275039880058,0.05568606443424932,-0.013385988688710241,-0.0787645828003868,-0.08136870566863746,-0.07544928024781242,0.04410188119613614,-0.08810144412733327
HEBP1,0.002804767730414785,-0.002525784512811104,-0.0645788887175643,-0.028143304226589855,0.03277877735236267,-0.015982931698237317,-0.010987372933697828,0.022844343014666094
WNT7B,0.013521904361057333,0.013684774245202633,-0.0199586625983283,0.02155187646705925,-0.037586755696882496,-0.034870374828658714,0.07018194895421585,0.03221638287459006
PTMA,-0.0596994479797813,0.0038297687942637007,0.011171464059854539,0.14220449897211335,0.029356827241009634,-0.08048569555352304,0.015428714394823254,0.040598790117435155
FASLG,,,,,,,-0.01683430828438918,
CEACAM1,,-0.040484806516067416,,,-0.02883006834140242,-0.016893073170700663,-0.02342246746789198,
PDAP1,0.02863334027892145,-0.025769515932119444,-0.006736649205391831,0.12047269421948278,-0.036736344706170744,-0.09164144241966325,0.017399513826059615,-0.02443866026328804
QDPR,-0.0022675909099008403,0.02728443926145111,-0.010703768606901526,0.05357907011810041,0.1088375093023917,0.009739082374671965,0.06236235498038501,-0.1320892659480788
POMC,0.028802866295049346,0.01661583068407073,0.04380725221748791,0.11310918495012694,0.0931672329365456,0.11575536944481198,-0.006653775766563183,-0.043970610821126355
CCL18,-0.025053595737883627,,,0.1183156107455825,-0.04449297690387016,0.08126976543160849,,
CCL17,,-0.023465494589861427,0.022011697015244757,,,0.06061563722416654,-0.015258409636707479,
VEGFD,0.054656469062914416,-0.0031901108255947322,-0.01812011745699188,0.006728572109013795,-0.0061722446760998015,0.12836622854278673,,
TNFSF13,,-0.016185972994809953,,,,0.004340788808987798,-0.024862304935310102,-0.01946472601218883
WNT5A,-0.05032525604005954,-0.04102245193384122,-0.04128952824896769,0.04304444449707951,0.054432226712972015,0.011364890099045037,-0.023910698360131537,0.06909066101435174
