,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.019381230115412727,,,,,,,-0.014264761450704695,,,-0.011110112277403467,,
BMP1,0.005585545050130049,-0.008369324590494543,0.09726656824311458,0.026833140731416075,0.025953922922011097,-0.04540231666566533,0.10659507059693628,0.05808158223734447,0.02445563339218322,-0.04184551010914011,-0.029479204020218072,0.06706064575842426,-0.018862773979131928,0.07650102427935837,0.005507684915222971,-0.05615255756506454,0.003201499866287332,0.043568336909216666,0.0332696897200592,0.062205118137596126
NDP,-0.009275181649231847,0.013710841405553016,-0.026348718041994887,0.04548262607692012,0.03286428304938657,0.08968572113350065,0.037520826444668226,0.011971729526350573,-0.014731874043511005,-0.07005404392128173,-0.0009734607436921142,0.030932990376245476,-0.05153574950130424,-0.034384400448941754,-0.012973818830057193,0.0430559162347438,0.05795231485849504,0.0557014514195405,0.09511093266641939,0.034032633398370406
TNFSF18,0.008638844748158663,-0.01837268311980468,0.014107755431891644,-0.021755621563373136,,,0.06671094226179956,0.10466758404055898,-0.018978803404564933,,,,0.08305370917087453,,-0.01919155524594421,,-0.019274501489923396,0.04306290052695179,-0.017356419173998047,
IL36G,,,,,,,,,,,,-0.023978505437956564,,,,,,,,
RTN4,-0.011792464733799243,-0.011539174070128597,-0.022592983651265025,-0.049690169013876115,-0.0066351210744773036,0.12571287600394015,-0.1169918044590373,-0.028776211928738252,-0.001958784060843538,-0.0031193943961137023,0.12573328429892813,0.04295406354174922,-0.11370801675455476,-0.06478081444243972,-0.03500916497950866,0.0588184183635705,-0.07785138535865915,0.0022566487107907587,-0.0011404820090510654,-0.03348480926095841
HEBP1,0.0032639161584525115,-0.014194562650809065,-0.006824453199225132,-0.013647958027355077,0.009505518679634986,-0.020999090045526837,0.04806269668207954,0.01685764117021475,-0.016328213909336455,0.014359889559671204,-0.007308327342474951,-0.02615506418139061,-0.021631580324534775,0.013909048619434495,0.019398145664495103,0.015324708398141911,-0.007441883015950758,0.028405447639130495,0.05630689888891109,-0.12424546909518115
WNT7B,-0.04112674100591198,0.058786110542734665,0.005756151405813772,0.05406335079249354,-0.016189017056963184,-0.03274092883495454,-0.022528455827050486,-0.02162583254505576,-0.03284734820273082,0.04407310421801515,,-0.0006110728820909585,-0.030160557744004817,0.029317222338437404,0.02281318361058048,0.0035764419095873894,-0.019682848983610897,-0.012988242597961917,-0.02616417685307482,-0.0450325983605276
PTMA,0.01785948965639992,-0.023700332962965073,0.061311278006089646,-0.038610445051485476,0.04702929738999229,-0.09650532056442623,0.0319334705213211,0.0775645366074326,0.0006803117004115505,-0.006913647437026997,-0.09556569536064226,-0.050783394788444736,0.0433638154706815,-0.012746620657665025,-0.014450836838566008,0.06130370852311764,0.0874710566926059,-0.07065866067528119,0.036861371025648744,0.08937538446719435
FASLG,-0.041126752632336304,,,,,,,,,,,,,,,,,0.012955343901608105,,
CEACAM1,0.011112243691039888,,0.00207382587091196,-0.005600522941846365,-0.014967157546562901,-0.020562803153532285,,0.047881355732794735,-0.02984913635842018,,,,,-0.027311184361403142,-0.03766311467671771,0.02620187008711578,,-0.00529686208231532,,
PDAP1,-0.008446304363308755,-0.028872051650861964,-0.004352659580297086,0.004219861316785059,-0.03407845723196263,-0.07995365522168056,0.022667114397006652,-0.009784639636060159,0.05644316391118188,-0.016319484940662984,0.03416188637056445,-0.019945587923018288,0.028430850007660324,-0.052864314214788356,-0.03643647079998351,-0.04640774282711793,0.009148140405342724,0.043116227994224286,-0.06592160397396785,0.07377681517367882
QDPR,-0.019382608405812806,0.06388773941868234,-0.06544524111046393,-0.04074727842247551,0.050411281218026883,0.08693641452199082,-0.01623186970671432,0.029759572468838442,0.05543518352679864,-0.004582675427206311,-0.0602555609654396,0.020274898517592035,0.00398201628661576,-0.09363811890618057,0.055677951352271784,-0.05741313334812641,0.15555665116849673,0.01360493040796522,0.0045661628602407574,-0.002925163346526009
POMC,0.04940161990305231,-0.016886382979853967,0.043851109154461734,-0.035805976985544316,0.019697009769323228,0.08495205903942127,0.059174727887666645,0.010771627578460622,-0.02202150266223649,-0.0008224998749925384,0.005355185227265647,0.004613813022291283,0.0023586740240193007,0.11936148457736521,0.0273045788076321,-0.028077932106352958,,0.07140773202895229,-0.0017563093011112862,-0.06742478705340442
CCL18,,-0.024639278743317564,-0.03099140447302365,,,,,,,,-0.056740951573066,,,0.14093263288568927,,-0.008854189026139297,,,,
CCL17,,,,,0.03152466995671104,,,,-0.023670262905017756,-0.0266398009590877,,-0.02190504546711189,,,-0.04624666445514438,,,-0.021108671427305208,,
VEGFD,,-0.027761265458195575,0.015928610412890964,0.016039969562968697,-0.03582625835699748,-0.019673325829250715,,0.014572160755057422,-0.02521866306691493,-0.019540616169940208,0.015972666357633714,-0.02347631569945382,,,0.0636842079336546,,,,,
TNFSF13,,,0.09436838516162353,,-0.008969145361129189,,-0.013939877750181998,,,,,,,,0.002240545181052887,0.059905551917847764,,-0.034394818221578125,0.002182971133136275,
WNT5A,-0.014655460563497027,-0.04327676258774662,0.01752989392008153,0.012669560878675799,0.07979877516266513,-0.026719939832998616,0.08650606652023975,0.052592401127773504,-0.027942724481706017,0.038274852313161224,0.015351738477253426,-0.0329147457834759,-0.002342664288922743,0.029069763410702977,0.056487132753215,0.030907742947466676,0.07396660946371991,0.05006362827820766,-0.03900352079246309,-0.05876285804064022
CXCL8,,-0.10225961732659389,-0.03138606477700584,0.00680455574619373,-0.05589678251509358,-0.05485042181309624,0.03269543012829549,0.002992607367554213,-0.03263459426795052,0.014913660968141635,-0.07400037423312668,-0.029819260677120676,,-0.02826444858564673,-0.04348818967558072,-0.077963050434903,-0.021462153572578857,0.004816319897829766,0.056989035763831776,0.12603314747350092
GRN,-0.02660488577113644,0.06262481564627317,0.14180772558377303,0.006715050206566905,0.011489895130393049,-0.04345435857250216,0.004116526213904325,-0.011179447328207073,0.03991768797140799,0.008047289626556835,-0.026961307970303286,0.041079244822896224,-0.0198583325738048,0.045057583719707424,-0.045054238069925576,0.01805679357361796,0.12496776262844171,0.044468289668692054,0.05875828854279382,0.020028843273795362
MIA,-0.015283372051874487,-0.05245314067711087,0.06204997345480943,0.008578896854679047,0.0007967789933237537,-0.05290510852886977,0.07248739320443548,-0.01952171359831601,-0.04652421484789034,0.041199781575042865,,-0.03215189021267421,-0.02948005706750215,0.121159336087314,-0.04020754265673739,-0.06947728744660867,,0.07880010102212803,-0.0437718032206464,
