,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.01924621270319983,,,,,,,,-0.025381225159488357,,-0.021845058929971448,
BMP1,-0.007728888823025835,0.003911398693706721,-6.080012957182086e-05,-0.03371277971420621,-0.03775051415960355,0.12418811067938651,0.02889037050820671,0.016289332452519425,0.06222747876904945,-5.67394288455718e-05,0.02945909790840025,-0.07431748113307989,0.043273098089239244,0.05955116843502646,0.05441293061805937,-0.06490261796368682,-0.017840580264707154
NDP,0.03344486203876702,-0.06500240169665444,0.09131877715585197,-0.01467816053877238,0.03948292453426728,0.0066682385509022795,0.017747022857323214,0.011319589065593392,0.017137327305211874,0.10230319670519314,0.017665874497187293,-0.054178995820607534,0.09976456075071238,0.042683418533537555,-0.0024143412048926146,0.020743259925206377,0.05163598345865255
TNFSF18,0.10681728640882941,-0.010509784970207596,-0.0323860673198711,,,0.054392648601584215,-0.01325936953402726,,,,0.004491400355233188,,,0.033133172780066736,,-0.014199619093375032,-0.0239530767572911
RTN4,0.01245255644785387,0.005375440412585598,-0.06611492278663282,-0.013336144270767477,-0.02483526838145985,-0.15460038878984259,0.05866168206262502,0.009389873179707141,-0.00824665502595873,-0.040492557840739414,0.02611306172599432,0.018123810874497603,-0.059440177458900345,-0.12131638086532777,-0.007006282498848541,-0.007841198492508772,-0.03605721822318258
HEBP1,-0.031024169290118305,0.031634947185436524,-0.0359151473196005,-0.0270038408825951,-0.03487681128285378,0.05912813993431612,0.024678550577808503,-0.04398404800824168,0.045599920037451995,0.10648713043287038,-0.07368379389277681,-0.0321112803970167,0.09603490708629912,0.1032318996957376,0.0412252506454918,0.030646635661173743,0.042003296019544535
WNT7B,0.020641954198757768,-0.03674641409546878,-0.00383672488537857,0.1009899859470971,0.0428228702504417,-0.06940034219472882,0.02347710424908864,-0.013606577667314598,0.02968811662263627,0.02000289727374186,,-0.009966154046118347,-0.03140935022173337,0.022893967873148388,0.026187056292328786,-0.03685485848226747,0.023620758889587284
PTMA,0.028043123724884628,-0.021716094252324777,-0.03262934917710828,-0.019435439194292577,-0.047065490178826906,-0.05157443264958698,0.039656431858874595,-0.006189368635833654,0.10839281805365812,-0.025172537285954463,-0.12993993010074148,-0.02639408428838241,-0.029793575482012266,-0.07439546952428612,0.0984067288987638,-0.09595561718228177,0.017502140191072987
FASLG,0.023756341328886633,,,,,,,,,,,,,,,-0.018946212157414693,
CEACAM1,0.031100808417663276,-0.015803931780729783,-0.015438757218191247,0.029786504215246496,-0.01477731776041269,0.05577020463417389,0.005767721947734343,,,0.05701118198980412,-0.005473485393449511,-0.02317792177023398,0.037189876909990996,0.10220319383379725,-0.01822827754273522,0.10514530922592434,
PDAP1,-0.027007833500862326,0.039708361094565346,-0.02947746099146151,0.05994629895262101,0.019942347927472577,0.12643318158084993,-0.06060496811914257,0.01507874811786558,0.07025420489154108,-0.03183550734893209,-0.026443864839894755,-0.008222130049213459,-0.053341098717754325,0.048113295499587344,0.010638718246089517,-0.03515331762565202,-0.014054343959196568
QDPR,-0.006940128486467771,-0.020261024208928606,0.03226916227450172,-0.04409627776155865,0.0659261616125874,-0.16978565870530507,0.0076302201085853795,0.07693545238508175,0.06709791227266808,0.06068273886777061,-0.00751681300312932,0.06468004104742017,0.001756102284107485,-0.05194676703808087,-0.07216915376975751,-0.02329838191896357,-0.06072871976090555
POMC,0.06404187092384007,0.00027801659236060974,-0.02743220843729593,-0.03931635095152172,0.006960715080360752,0.013475914940792786,-0.015385123881041235,-0.028204666568310312,-0.021722962464177133,-0.04367031480368469,0.019162060231819582,-0.0053221538983831964,0.057853259306904777,-0.021868133690268316,-0.029819067490723734,-0.012171448119293654,0.0007106049062504395
CCL18,,0.051506289393761444,,,,,,,0.06939213544813212,-0.03758158801349942,,0.04810507166222813,0.04827266324560238,,0.01987289595367937,,
CCL17,,,,0.024555209999563597,,,-0.016537015328886205,-0.016841128848002516,,,,-0.016443613653033116,0.024534713401087753,-0.01861729500941241,,0.031531604167289215,
VEGFD,,0.04912874244218444,0.036331988456024436,0.01590951105331185,-0.014138100968643106,-0.020083932294130306,-0.01761879111292768,0.08001895363195587,-0.022374596371000696,0.14480325288178195,0.0159809048991923,,0.03453227692707445,0.02200315015291081,,,
TNFSF13,,-0.014882718170428237,,-0.016879440881622847,,,,,,,,-0.031552824731507376,-0.015008255185970012,0.00666349893967465,-0.020469133975117466,0.018191229789021948,0.10981397777643268
WNT5A,-0.0380774957063126,-0.02295429787875463,0.018913146137634666,-0.006972593039839398,0.006268931585963714,0.09907851722869483,0.003509508547515697,-0.06591695724484764,0.061286856517057314,0.11559407434864759,-0.012580015849333687,0.0007757129540372522,0.007679692364719811,0.07324506201858125,-0.010285657392976827,-0.04338612293732147,-0.012804471024575595
CXCL8,,0.006234737712699195,-0.020705229717375057,0.015362647246247522,-0.015309815803987116,0.04619332360901323,0.0045972583439810215,-0.011503810599335305,0.018227811275899623,-0.09389570073523411,0.023859608487932754,0.01753023521901414,-0.03914224079441599,0.0055692362425125526,0.05926248573535992,0.022921681696097766,0.016413132042294918
GRN,-0.07454504699827509,-0.011865699643548435,-0.016362386929226883,0.00962646995924112,0.008938154795593994,0.12285133757093916,-0.005424668583337851,-8.297612812760003e-05,0.02460183843396437,0.08202012797708354,-0.039853539498548016,0.020187276571016904,-0.004352249649237116,0.090886605327632,-0.026270729081699442,-0.003107250455012538,-0.055381785509477456
MIA,0.102655170652702,-0.0031451174507503574,0.04643057309585363,0.012805487881400074,-0.0428998834695718,0.024162969878880634,0.012993150934844955,-0.014049131228796537,-0.030343972340632703,0.020385446711614644,0.026001424725960808,0.004888682174204043,0.14705017539122528,0.0546510761299197,-0.005095682509934027,-0.029267699363378332,-0.0009234443349233312
COL4A4,0.10907340364220824,-0.023685737950399424,-0.01309008534944722,-0.011095452904938222,-0.04951070319136369,-0.018965714065648894,-0.017265155636642004,0.07456675807447871,,,-0.05061656775014119,-0.002318110202801458,-0.03398743103953816,-0.05154809281001295,-0.03673627952445467,0.01154350788029127,0.037992687281600594
TAC1,-0.021587517130242994,0.04232277209866446,0.11572818901603693,0.02546477892833584,-0.002320019064651256,-0.08455345969100675,0.011108323252310943,-0.007315718705213475,,,,,,,-0.031448971678356315,-0.022575146353689096,-0.009616013499977752
