,MGH258,UKF275,ZH1007inf,ZH1007nec
BMP1,0.01388184879360848,-0.0084059202255549,0.10723952956469356,0.013636697720032906
NDP,-0.008071023918522402,-0.0298707953166016,0.14642037307538314,0.11952700940055638
TNFSF18,0.16893296403660749,-0.01049288624192166,0.11886953633950001,
RTN4,-0.07942059766387495,0.02756886959630472,-0.03689021120991415,0.08926352465458291
HEBP1,0.007643828235412997,0.05355555618132582,0.08633708010650186,-0.06049771081450953
WNT7B,-0.0120732466693092,-0.03007688165420077,0.04439490402191156,-0.06250365506632832
PTMA,-0.042817646621658774,-0.007002842579770445,-0.0018140734794868736,-0.06705608735981287
FASLG,0.0024920997688631444,,,
CEACAM1,-0.0402481156108759,-0.016502810295889174,,0.0034966145679987248
PDAP1,0.016700373277188773,-0.01726505996172423,0.020203692599507887,-0.02518983859520275
QDPR,-0.011803610493051338,-0.006152506175276919,-0.06008679826728682,-0.00046489974491598345
POMC,-0.013139378403645766,0.07867136663699102,0.06780943388319208,-0.04741746933792309
CCL18,,,,0.017963841243177577
CCL17,,-0.01308667204587775,,
VEGFD,,0.06744430962409542,,-0.04546705156598636
WNT5A,-0.011608868583771581,-0.016324381518667247,0.0801503583798248,-0.021559941942891504
CXCL8,,0.033542419628680334,,-0.029742696778503372
GRN,-0.03784385842555075,-0.008492729357134004,0.049516289414607645,-0.005817018024038052
MIA,0.11124004237025056,0.01700952214102007,0.11765687420276501,0.10225017492701742
COL4A4,0.02228093916663435,-0.013662890500143795,,
TAC1,-0.028986561060292855,-0.040851319474578006,,
RARRES2,0.08937161686680022,0.030450846974807544,-0.06342423864748394,0.07762734453461816
FGF7,0.06448850985984547,-0.031146305756229595,-0.03093716904764024,-0.032722759968819404
HBEGF,0.048884961675912816,-0.003082003262173213,0.10979539189451148,-0.03857307952342609
PI3,,,,-0.0646015465205518
PCSK1N,0.04416973722709422,0.04377839836982402,0.005382217417600156,0.020361947653429965
NTS,,0.1052195729671616,,
SFRP1,-0.042176178537082755,0.04756663826529322,0.048859489522801045,0.09776546364067396
MICA,0.005121857408361661,0.027069503216705728,0.04303112708450371,-0.026714353465611143
TG,0.02620627821625158,-0.013184326840835434,0.026266704674694514,-0.0637680232538592
ADA,0.03334307241352322,-0.01540045534948461,0.013453203635062727,0.18948688145679793
