,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015367756492371636,,,,,,,-0.01777121584272391,,-0.0323225961760185,
BMP1,0.03709023018843722,-0.020309050051040535,0.03889793993194186,-0.05545471468468244,0.07642374449978863,0.04568259851054203,-0.01317897926160822,0.021770140851207473,0.031710770477093066,0.017989802908838382,0.04146679637736933,0.028042933175951607,-0.0080783545685967,0.15319202178362415,0.01523785081595126
NDP,-0.032191799606458654,-0.019201169093833927,-0.0012584961990777016,-0.09240720908726492,-0.005845835333599255,-0.012055841341289794,0.04102157875229749,-0.019549258666153445,0.015145457292202633,0.07039179463268214,0.06108479420243953,-0.006750298027305191,-0.06386167256523248,-0.06759638146526592,0.02040145057649249
TNFSF18,0.01149743637275711,-0.027397726441939812,,,0.07879449645333572,-0.004338516150086131,,,,,,-0.018327141218220655,,0.03204414140454829,-0.0077152133886543165
IL36G,,,,,,,,-0.02212699153578774,,,,,,,
RTN4,0.01473086887819836,-0.016227715376238426,0.025729796494259136,-0.01853271269546809,-0.12033885885033631,-0.02647039850241522,-0.011546498809244623,-0.047887959650108586,-0.10964656221042503,-0.04313479956289255,0.02203184102841536,-0.014576622531315251,0.039811678049116554,-0.054965798584759945,-0.016945802739236595
HEBP1,0.028654235405265887,-0.017982621363663513,0.02060355882850054,0.06592316191756253,0.00352114247915513,0.05893221892049432,0.06071738796730732,0.06865127533175444,0.02402551065136986,0.02248839250204038,0.004786422431297634,-0.09661253622032005,0.005788789155701505,0.038730218405475865,0.021135256942305617
WNT7B,-0.021983743607552002,0.06004400837929528,-0.037838201125495775,0.037370792546453924,-0.0515154074980933,-0.02868699243773633,-0.03569990318902133,0.0034749707465709587,0.06124399612201267,-0.028737242074793532,0.014512122932522955,-0.024112950252136167,-0.02514446936398998,0.031446373642931895,0.13105980574122375
PTMA,0.004823917926882449,0.03375066946381169,0.001835237418597848,-0.00731052677358876,-0.015494433174743786,-0.01625722319401049,0.1119178000811827,0.03307078120242786,-0.031221358213219006,-0.04191315704829773,-0.0080511224113723,0.03586411567121401,0.04687589526319311,0.08572275615548347,-0.06478521543830738
FASLG,,,,,,,,,,,,,,-0.02803337663644782,
CEACAM1,-0.011814415313458669,-0.013060765998222812,,-0.018346151697141568,0.021321792929019576,0.0263228205554661,,,-0.0026012002123150034,0.005425997952861236,-0.02111203682932466,-0.0263341885511424,0.02848796404741276,0.018674752099412203,
PDAP1,0.009477476460155234,0.006588757629114288,0.02980896328781428,0.03284429186340601,0.0417377904457139,-0.03360330503878912,0.059353072067317984,-0.0040199553656516205,0.027612128276900634,-0.02370177096261851,0.0034014110763740985,0.0402493333470771,0.07670268339446427,-0.025872876450334294,0.020287690165752048
QDPR,0.010571620426619575,-0.04811994621732355,-0.0558948965437547,-0.029532056579274647,-0.07590011396457719,-0.034696287381690186,0.055363998404650644,0.0072364918288759395,-0.11150940568253796,0.01866296738463137,-0.017334915278908465,0.0015495868752256254,-0.0625868048691314,-0.010533221947088351,-0.013053860419400687
POMC,0.035428610703141336,-0.009336900319084325,,0.03646038964151443,-0.038711217723409394,-0.02202150158261629,-0.0333515641178825,-0.04740731652547269,0.012251796400711872,0.04838644759746362,0.01007645131479633,0.06786916514354896,0.00044412051974966545,0.02259765665732865,0.04862343071422693
CCL18,-0.03154938741914889,,,,,,0.06394162593180047,,-0.019670898179479982,0.12327389457515714,0.03575781222602593,,-0.028108432380660162,,
CCL17,,,,-0.030684510847180938,,-0.023670261744565886,,0.028871267194177187,,-0.019380252278467767,-0.003037777661725898,-0.023430321534008897,,-0.025409107222759048,
VEGFD,0.013223359022605227,-0.018706926919250966,,0.12358322884116889,0.004915565564193815,0.031076591746369075,-0.022533664903426096,0.010740606263690772,,,0.018998752973987024,-0.003685638150516892,,,
TNFSF13,-0.008632632493410933,,,-0.02116548884275431,,,,,,0.009049334653136178,-0.007873639156610908,0.016896788707254348,-0.018740347739467384,0.009086108451072496,0.0038341661554952655
WNT5A,0.03083781686146711,0.02232888098449799,0.030754164155426422,-0.010879180132292346,0.04933815948152565,0.0028984471296619975,0.01692093366059049,0.0068268828861311305,0.053895954385591326,0.008247399891589718,0.03588939121631348,-0.017995742684588995,0.021613236911794884,0.07893714581023845,0.046363513428954194
CXCL8,0.02886935552465879,-0.017516057572266618,-0.01824523585729465,0.1286906129695853,0.026542361719272666,0.02970550341142889,0.03223789780617168,-0.012796493292011163,0.09182822021207662,-0.0020279069497230124,-0.04572114115865536,0.026436336667202187,0.03621149815998604,0.008737844879025285,0.021326251222777676
GRN,0.057059999705057825,-0.012689571736721148,0.08140719636906504,-0.09139177393040071,0.0735178271636211,-0.040544224029356826,0.011458290369547567,-0.06111060853876567,0.029244529648808647,0.013802210942800488,-0.04660808070364444,-0.03539633475409905,-0.04288959700064502,0.08949695592315832,-0.01993527348693577
MIA,-0.0009098235318870107,0.04144657244093547,0.024295897309522294,0.08242678845171364,0.05789344067571783,-0.0039019604134442228,0.01942629028558055,-0.0067226431510220355,-0.04010614009911618,0.13424386272515934,-0.05130281206655198,0.04119791595340137,0.029096148482111662,-0.005234466769983421,0.041876013538200973
COL4A4,-0.019259439482680076,-0.02797786082571259,-0.023803491211495255,0.06178721492836502,-0.015143783348938171,0.04447730962773988,,-0.028780286557664125,0.19541525248107375,0.09743594902696694,0.0295085508380513,0.01074714668622776,0.001380304043377622,0.08936040406443337,0.030866498828157635
TAC1,0.03547844327207215,-0.011056463001281339,0.06118965829473322,-0.006586547572849077,-0.05063442931149957,-0.00955513983252894,,-0.009028552077287184,,,,,-0.028792848100828182,-0.03340285515108762,0.03781162801659395
RARRES2,0.024298040705386343,0.009395526973404369,-0.055422298238541494,0.014232338523309485,0.07431274033381934,-0.013459666864814203,-0.03776361616627016,0.02706575594514019,0.040436935043636456,0.05968350689856565,0.02938444182153608,-0.00014947516954267622,0.010153259850492905,-0.02772310739882842,0.08147325412242622
FGF7,,0.009241207487893803,0.12748922438927196,0.07480384184777297,0.11092657134115383,0.022579329615620196,0.010969282863314939,0.013002361337531104,-0.0039463207242045155,-0.02114917260101117,-0.029043552923231065,0.004384460806951152,-0.02418550851642358,-0.05652065957031131,0.028551594297987166
EFNA2,,,,,,,,,,,-0.02006557812380299,,,,
HBEGF,0.08562551098596859,-0.029976181660380418,0.10917100553601136,0.06112442118583925,0.03763765965708789,-0.01452855904512908,0.07983634482209524,-0.009046992226074775,0.09838552465736133,0.0029817220737861634,0.02745599057676981,0.014033446966961587,0.007269721887486344,0.04974006542630966,0.06752232422008521
CSF3,,,0.053666450392423425,0.08573566292500606,-0.016021831301542493,,-0.010073053399977073,,,0.0366230981804064,0.006243412129304238,,-0.023925602801053526,0.004474714488015118,0.08166897429030422
PI3,0.053588475121637016,,-0.023018313024980572,0.13507392219419115,-0.0180407935108209,,,,,-0.014159271816398682,-0.015175358002316309,-0.01990787954224986,-0.010388732475866254,-0.058122926263931014,0.04664906388153726
PCSK1N,-0.023553962991122803,0.03755063501823403,-0.015032604769763237,-0.13275186341553122,-0.03463966658186072,0.006487228032954202,0.03731276825228406,-0.027680401042828155,-0.022039041231824014,0.030493354579266174,-0.001704062726681683,-0.006891317616878059,0.021824185788444445,-0.06725004384295946,0.0018860902980280812
NTS,,,,,0.0006743770935725546,0.031595792158435894,,,,-0.045212111155753076,0.04453838525435205,,-0.0553193109046,0.01480438961640897,
SFRP1,0.03164889920625103,-0.015010664826512652,,-0.026773421780682004,0.08911559624838489,0.04580629298022374,0.06435016158030334,0.03556807422816091,-0.06916669156373913,0.026238467171619047,0.05488132469466721,-0.0368633104028589,-0.010983720284549229,-0.016559702000135516,0.040375182155839365
