,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016803103505249682,,,,,,-0.02356265500244286,
BMP1,0.024505242111178358,0.027342997897288657,0.06756144279330242,0.0064532459206593056,0.1483490617060066,0.1240883146651454,0.005637959085432182,0.006676036899686974,0.09255222552237331,0.022806448447995266,-0.014496441836205895,-0.01628537342897158,0.0810670972844104
NDP,0.035993409242771064,0.03172647850571456,0.07960384527775896,-0.0033407572149056243,-0.011513791197127345,0.06799646934450657,-0.019272732033802514,-0.010133187653706287,0.05360189742859353,0.05272223421352145,-0.053127051407444406,5.941555277409574e-05,-0.0011104053515834794
TNFSF18,-0.009118115296236351,0.02645274529813356,,,-0.013020746629988615,0.0058656547264904066,-0.01167476423610172,,,,,0.017999169633553514,-0.03174721713982563
RTN4,0.04780836970493052,-0.015241573851154003,-0.0045596242230676026,0.014048681645107686,-0.26512092255710307,-0.15468604233396893,0.014538844350775439,0.1112813632533646,-0.017247876433307788,0.0012038709809672862,0.010210543405267607,-0.0285750692963853,-0.029679247744160652
HEBP1,0.03973186092960661,0.012031206802903012,-0.005485837934743284,-0.03315198720840321,0.08256791364874266,0.06421385815191885,0.007872314253926458,0.03745563783408278,0.020267648547974144,0.02722559056374139,0.04668535496712812,0.007706009131620867,0.023846410032987892
WNT7B,-0.040262946749528086,0.1205232611013647,0.0861623207096778,-0.0009595969842488406,0.030520269791889137,-0.046543119787663303,-0.024268908228386017,-0.02552637591649308,0.00027586341730360096,0.008832978390857067,0.04257075685352242,-0.03264098859586066,-0.039033224234554076
PTMA,0.07582102800988823,0.03447490099875504,0.2131384666145757,0.00838385350311413,0.4060912639621,-0.037794050784961196,-0.07416996555961565,0.0214236283486732,-0.009047103499237702,-0.01924581699948396,0.06254642996460508,-0.015374014470454462,0.062376849903141074
FASLG,,,,,,,,,,,,0.02013928667697281,
CEACAM1,-0.019374223969930195,0.023854744463483887,,-0.028810557833521995,,0.015616749142107622,-0.018361622817168115,0.025328145878262386,-0.03314918862378054,0.0157886856909921,0.03210010443888707,-0.0284335292158365,
PDAP1,0.056090893504899576,-0.026264404047920204,0.09682356898427785,-0.021349455971657428,0.17057802481540207,0.07751629373611532,0.033935277006335265,0.07446630350397526,0.025884506012231877,-0.017136899375119436,-0.03069408596015473,0.009780192004785259,0.04385225931360875
QDPR,0.0201301641241128,0.028413001660053255,0.09540281669122931,-0.010962771276451948,-0.18679672141709874,-0.12342694730483351,-0.05550409179467733,-0.038802295563989016,-0.06832256453544534,0.03090618621368762,-0.032379603391161804,0.09100919883282127,0.005394484706045364
POMC,0.031075270519439285,-0.016315346424218488,,0.016943474343977256,0.03328568025932439,0.09437643824651921,-0.013546473200963693,-0.06624740034772636,0.058748068925408195,0.06886895161143804,-0.02402276784229349,0.05724049475484364,0.0097829439979128
CCL18,-0.030881567942623697,,,,,,,0.04487713518027254,0.028939365996263355,-0.03460149946413478,-0.01648308800555258,,
CCL17,,,,-0.01669895566143044,,,-0.014560704009197852,,-0.023517744862742503,0.021477449950368332,,-0.01852283226723464,
VEGFD,0.02213328141881826,-0.027647170248101555,,-0.01860448066783937,,0.09408251084756057,0.053958640772642584,0.05426684520067695,,-0.01800402257612805,,,
TNFSF13,-0.007871296579537735,,,-0.01151856588159125,0.021376880435294215,,,,0.11042165779220209,-0.015066880862189947,-0.029160795935827637,-0.0018568406876276402,0.05824842090039784
WNT5A,0.027546421170469956,-0.04375559148586894,0.0687347148599684,0.02119967701084379,0.2850189210156073,0.08975143888577139,-0.04833457477291263,0.020752366082276017,-0.029519647369807965,0.08183404226859328,0.07297668117107017,-0.025334085320902356,0.014800441425717955
CXCL8,-0.08136013883670645,-0.024626563148269578,-0.15442464784732546,-0.0059174448457180555,0.047266468351215576,0.035751635538272195,0.010872095241901266,-0.023719234492472166,0.000554875235166514,-0.06303823354855671,-0.025845067377503375,0.00504038501034024,-0.001029177352114218
