,UKF243,UKF248,UKF251,UKF259,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.03523299050946877,
BMP1,-0.027894859442829184,-0.017171190425320927,-0.012933825370801212,0.030597253864840343,-0.056299061733072475,0.030177197846906367,-0.0034522845370650325,0.15318704420731424,-0.03547656779737361,0.04281067680610941,-0.07855839972347567,0.10746900487962793,-0.09113366024758048
NDP,0.09106910630889156,0.051995458347730894,0.022308063591173866,-0.0253640585008823,-0.05841741151498291,-0.03443063613694355,-0.016890623195231175,-0.014712796791308892,-0.035439928359662164,0.05381536490042527,0.047921386376643386,0.06416095849268726,0.06942815679028726
TNFSF18,0.1086328575914813,0.009773926111472273,0.023343450903218828,,-0.01710412987456208,-0.04141829900764017,,,,,0.05867067355905467,0.0057402841888481125,-0.03041825230520436
IL36G,,,,,,,,,,0.026619419291860895,,,
RTN4,-0.05180570900244716,0.020565351027055315,-0.034099176883088805,-0.04318054319533529,0.0034164855121323633,-0.030074705100768494,-0.005137753342751366,-0.10863277126801671,0.020364764403268325,-0.016817761882107662,-0.004894126727891939,-0.10465740024102815,0.26420878685499144
HEBP1,0.060213725645133186,0.001819373163916801,0.01632128512456325,0.02140904630524488,-0.02685410354162207,0.08130371753636678,-0.008992920296227617,0.059436310075565366,-0.014939333830965568,0.008014729889064987,-0.06454264619256304,-0.04980044060591112,-0.04884750028982572
WNT7B,-0.06914140794625291,-0.02699718370727032,0.04092754265498269,-0.06780332719993348,-0.041948161702585016,-0.05107992378731534,-0.011723843136738025,,-0.0046483138523830585,-0.015686489390781173,-0.03673708944293073,-0.11293372154785303,-0.029257569614373688
PTMA,-0.00935209678696071,0.07205920485809347,0.02618322810968511,-0.02883196791535007,-0.10070763396157797,-0.052820334603278514,0.044336300133304404,0.1086654050015748,-0.045153797117424024,0.09504837543576708,-0.06001390395185197,0.11497945306433827,-0.24417006076792375
FASLG,,,,,,,,,,,,-0.00457666962536083,
CEACAM1,,-0.03584746321048251,0.050432270795410426,-0.009802626316112093,,0.0008520563583181723,,,,,,-0.061696325864389674,
PDAP1,-0.041408829110669614,0.0032336776673577323,0.015997075051305727,-0.008938249985329254,0.02000524910932578,0.0787735242398307,-0.04910862150663279,-0.08641867387740265,-0.06624175530303712,0.019512605800800012,-0.039703895130475945,-0.11306806229261449,-0.18102180103932963
QDPR,-0.02869993959982601,-0.01842719671166538,0.00900892807697681,-0.03883391949694731,-0.07868278876598724,0.05828997985786983,-0.0396289198294177,0.04916402100113924,-0.031557696913306225,-0.045442314487174035,-0.051671700144626014,-0.02739177849738099,0.3719302627729298
POMC,-0.0044193249409292396,-0.01144013639585409,-0.005843604417739843,-0.013886105174685779,0.027824539730791714,-0.024594929927659902,-0.031532486252058366,0.10940487740893787,-0.047124770931171955,0.03995627446548539,-0.06824087080060444,0.052024950024773337,0.06438489710464917
CCL18,-0.03972745138718902,-0.029880475648818586,,,,,,0.06963277468198445,-0.06826443045321176,,,,
CCL17,,,,0.06718395843759511,,0.028184770582106562,0.06498710038986517,,,-0.02328392276598603,,0.00802384810177356,
VEGFD,0.0775838917486757,0.03596102906244089,0.014944733290393435,-0.0020305630891328777,,-0.04422109980559895,-0.010643870231206503,-0.041505784788654514,0.016027069845200064,-0.024954101209088163,,,
TNFSF13,,0.006173750297609603,,0.04225938023248289,-0.016587437855555536,,,,,,,0.024131017093953044,0.0348825787124064
WNT5A,0.038826331539635626,0.02097734653245595,-0.048546780113239096,-0.03450063902072373,-0.09085626287962438,0.011783080190591686,-0.047622927767236194,0.009608260685142445,-0.027372231317316798,0.03584885077862277,0.06931290168241656,0.14859642788105884,-0.21934153220135938
CXCL8,-0.07900026110984838,-0.07464504136538841,0.03754335232721359,0.027225836094234648,0.12453487061301736,-0.0036729822954220856,-0.009912034770163423,0.09962956816270674,0.010303076285130911,0.054414809703271685,,-0.09389814634707569,-0.2955014491376016
GRN,-0.07516655786630984,-0.03731669583571938,0.044529501417258054,-0.006353095980917796,-0.08114179602298324,0.07575733453001142,0.01158935527087367,0.1475321199766539,-0.04300536741283755,-0.03934867807897532,-0.017754546844090054,0.2936650023810532,0.13127374140095455
MIA,0.052441410534656924,0.0194727045952463,0.009971394685311996,-0.046212616751670266,-0.0299932867162234,0.051742124914134116,0.011709573843714087,,-0.015465982553803836,-0.03417578519142292,-0.026322859127485363,-0.11740212370368887,-0.09896568666460238
COL4A4,-0.03189600008763114,0.031095490761188473,-0.040414788440828193,-0.01949091924589338,-0.01578221427965865,0.019296037036779085,0.037829594680071445,,,-0.012377389541217547,,0.15083107611784347,-0.09085741675871926
TAC1,-0.015616196791888536,0.021646374909921773,-0.005455395948907013,-0.09161933785679263,0.014555099334570488,-0.06581826136225916,0.007930023543930813,0.01217661609309201,,-0.05263871694304234,,0.0915965598752974,0.13706840131682754
RARRES2,-0.006817989146037757,-0.018667230953265775,0.05334106705424707,-0.036283982183410855,0.041885484893145086,0.025605917925163993,0.012629495172166327,0.07505472261864707,0.02954527133052997,0.04777082756976858,0.055672091828931465,0.047152504399590955,-0.23755467788596113
FGF7,-0.022977518100099244,,-0.0035993552416236905,0.08178974349070177,-0.04523448022336918,0.04354154178874649,-0.01094117722683646,0.02756674677368858,-0.037862643370778,0.11819275325036421,-0.09962363389807187,-0.0870884290641479,0.043835805190826437
