,UKF243,UKF266,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
DCN,-0.030761286164672545,-0.019585492052935603,0.10468230115524832,0.007354909951406314,-0.01457873739047228,-0.12221416008122042,-0.10066574824690776,-0.02176943231404757,0.04088384759603722,-0.060670232894729004
RARRES2,-0.08426034682882451,0.04989472402663393,0.10034296416446356,0.035263389198062677,0.005148439848065618,0.0779067646650114,-0.04694891496072462,0.002477166577292197,-0.028764653934688713,-0.012741416276120968
SEMA4A,0.004667384707780084,-0.061170225397397,-0.006965551356166581,0.03922000271732372,0.0007438011767612818,0.04118556650888484,-0.04890746107257503,0.02189237106623927,-0.035633372109562314,0.012515608398272458
GDF11,0.02089493928344556,0.04200898016668286,0.04134239793880052,-0.010812608086459103,0.028188538545437625,-0.06265939279451448,0.03142851335337928,0.011016315031194428,-0.015569727806200943,-0.030746607289228584
GPC3,0.06684984479912608,0.12466609933737371,-0.029928860739990168,0.041682193948278184,0.024275614144893824,,-0.03149468507837235,-0.03741310656177537,0.056666133650969924,-0.018742398580408975
OSTN,,,-0.022948369549822534,-0.02804739059076975,-0.01814184207847401,,,,,
GRN,-0.05613134767946024,0.013249038989652222,0.10413963955683876,0.02020137870908474,-0.006622791187732299,0.02473341082867409,-0.014343770477806318,-0.04787893409699618,0.0386817434916319,-0.0863848797740374
CALM1,0.03562789417445044,-0.10012671971772744,-0.1131001390230412,-0.04298982187768446,0.02569001705211804,-0.18937039691672264,-0.03532347590249045,-0.0049429317838504865,0.01816572582083091,0.10088254482332547
ANGPTL4,-0.06638866745814044,0.06234980689470952,-0.0348575908473891,-0.036505243668429915,0.012598663599396957,0.12086481231389035,-0.10421097042611455,0.01992152675913817,-0.019955761956103782,-0.1272226780893803
BMP8B,0.08138595461307023,0.07715488488266678,-0.02310637739022099,0.02753341703893656,0.054216156706231776,-0.007328309659045316,0.022822082789605846,0.031449390843356566,0.0022654696935087665,-0.008492390167998
TNFSF4,0.01777947963871435,-0.01832121187430073,0.06825171729456818,-0.015010936356718007,-0.00430872960592581,-0.00823210174079582,0.14477229849896459,-0.005768266568935906,0.006896354164827595,-0.0030374659309365558
RBP4,0.06225831533672138,-0.019778090254267622,-0.06777822467848622,-0.04912637514603673,-0.00677692247392558,0.06026965870438324,,0.11025466994193191,0.06281762940256552,0.0546908910912618
DKK3,0.048673414493568615,-0.12791983272087615,-0.07249256329564559,-0.05992897926406498,-0.07355888497075927,-0.1497380436334582,0.04152045807141899,0.02592736703873948,0.0973998493656356,-0.032773761391889304
COL11A1,,0.10669653673176131,-0.040251978023162126,-0.02831588788276556,0.024138686866197044,-0.044414366143825226,,0.02419798053797244,0.018540871558162707,-0.08551607175721156
COL5A1,0.0791268428052258,0.08238693871296617,0.1366939046200116,0.0003545832364106957,0.0002468426225544539,0.015602653469708598,-0.023560461645444505,-0.014880430786309152,-0.01805938951282815,-0.0787587862581794
KISS1,,,,,,0.03698917124920087,,0.028873238859826938,-0.01870945467677194,-0.02342221867448417
MEGF10,0.049182232030858176,0.03534438503069875,-0.03280150553030289,-0.046190142572262845,-0.010247287085406148,0.0009853489158834705,-0.009651101679378245,0.04730915868253223,0.05035232700711906,0.061166014220219854
CEACAM1,,,0.07256687868285366,-0.022552082174129753,,-0.04892182683077737,-0.03149469612314223,0.03361603493374679,-0.01827203359575967,0.0015328237564814135
EFEMP2,0.011439409418767869,-0.010187836226405986,0.10254215213000102,-0.024358187713040436,0.013625775156091629,0.05160506954074114,0.08453494930768768,-0.023506827863438863,0.019111097107199115,-0.010441779694423952
IGF1,-0.03749287336400966,-0.028860472639502026,-0.03904240198881192,0.01072690754724642,-0.04284498939642989,-0.06842811255221273,-0.04535746388744004,0.029083399770614398,-0.021177079072541367,-0.058558595292817726
