,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.0983698907085278,,,,-0.006210860290628592,
BMP1,0.11224516718917842,0.0029909251587465218,0.018074780555285264,0.026382398987599323,0.09989243348109336,0.0015823049745828034,-0.017197529160352387,0.09233037558759491,-0.03517072577484883,0.07234880878960923
NDP,0.04794799349210866,0.00621249541963429,-0.015305677491751593,-0.07152311746880372,0.05293670795470872,-0.04927143818040549,-0.0035044737462609516,0.03280990808878259,0.11657687620190618,0.03249816726113488
TNFSF18,,,,-0.014925464967897782,-0.03855226509856316,-0.020114124736004345,,0.07377268210393857,0.004895802072001326,0.011923779762528536
RTN4,0.013987971314611894,0.027217917396239796,-0.01163242743031553,-0.0978022721034088,-0.09360654700097742,-0.05893737129048244,-0.06897167732194719,-0.07280119647721954,-0.023494838271754685,-0.02509567761907012
HEBP1,0.030678193080409432,0.03473461074197824,-0.018251298585345327,0.05122213306173763,0.05565860548061419,-0.012158211506691273,0.00841605196207139,0.01905842574596644,0.12859450482567442,0.03714026384906537
WNT7B,0.08942054292246081,0.02832336960688069,-0.0410700958006564,-0.023349043833541028,-0.05957735702348182,-0.004174975086297033,-0.04458410498536086,,-0.004756106024270863,0.10288608663794585
PTMA,0.17972307954936767,-7.41682461011472e-05,-0.030308846137577297,0.11262615997957556,-0.06910174702584138,-0.07262426819133062,0.04429203198509359,0.026379629748208195,-0.13358940193379293,-0.05145896784842702
FASLG,,,,,,,,,-0.02043587233017599,
CEACAM1,,-0.005729339174090896,0.03326754173164493,,-0.035290461965882404,-0.01460767659165664,,0.257564016610147,0.07783521503432089,
PDAP1,-0.023630148308151487,-0.010876655167203323,-0.06854044665647757,0.07630313115979583,0.12894503597413953,0.017161946558629494,0.027026541784574955,0.05575745071684529,0.008576619486456192,0.014099793392337327
QDPR,0.09165890499584854,-0.01756946226063439,-0.007219073208402532,-0.023149630201531064,-0.06913336671500528,-0.0003338959994626109,0.03589943976554245,-0.04989129627603532,0.06956968383719841,-0.05244903730093962
POMC,,-0.039766938387558175,-0.0037400018326671763,-0.008063205938671263,-0.02695052811610364,-0.011037542371083843,0.0037740106454977073,0.05012177740304595,-0.07393252828227453,-0.037069505273462804
CCL17,,0.02384634645900511,,,,-0.025086229645596453,0.001642002159885034,,0.0035906731040945186,
VEGFD,,-0.016755973731308615,-0.023799229337487973,,0.05337634676952585,0.06844479888914673,-0.010474254307483137,-0.04160525301274267,,
TNFSF13,,-0.017072888742487587,,-0.014474587391228776,,,,,0.1112126178405052,-0.010671457185534684
WNT5A,0.021813530192075922,0.014468127566739998,-0.028753482988250204,0.02964713523191744,0.07550200884351967,0.007584376732127709,0.02558801745854117,0.039352811182796384,-0.027412909946748783,0.027578432699571886
CXCL8,-0.13401046407592657,-0.029210688094822936,-0.025842381304704263,-0.02058916175450717,0.03137481742856513,-0.04351813342156736,0.0045444127799323004,0.03467547722850494,0.0023724703838159194,-0.014687764354339305
GRN,0.03231360647005519,-0.0003558849519258588,-0.06340102254555056,0.0239213382405294,0.10942123715280151,-0.04960578450186692,0.04628403480849183,0.005485912712715898,-0.10589626870454434,-0.04134402651614817
MIA,-0.018706309813164484,-0.004331311976965013,-0.03657494862771589,0.09028686714406169,0.07935744693573642,-0.043715983510721236,0.05663521796950626,-0.07495666572553766,0.12945513013185247,-0.020662718520450027
COL4A4,-0.018564163784942127,0.0656398552891244,0.006946515410520267,-0.01377193040946389,-0.025583275243961597,-0.02619079988462081,-0.028910112826582398,-0.032577732492458815,0.012024342798954651,0.029336356921749993
TAC1,0.058119924232457536,-0.005802622054575212,0.03095696809319598,-0.05242038981049319,-0.04767741363372454,-0.04174096347653041,-0.027844234673241743,,-0.024350134205505542,0.031660003116143254
RARRES2,-0.07914086996915706,-0.009192905741142544,-0.0180511626121978,0.010211005611758476,0.09674540650028261,0.041034859337297405,-0.006412310787530573,0.03477467637702185,0.0600333582485739,0.10499200686371442
