,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.020322177786765087,0.002814797738074022,
BMP1,0.02693270364200853,-0.005668096531879329,0.023820515965792283,0.01045032609138047,0.02169152810063762,0.03831559846187924,-0.0551886120755771,-0.045153409032842734
NDP,-0.041112242548031946,0.08830759234113443,0.03116679004102223,0.047361072111568515,0.05870313140449743,0.12674069661386386,0.13703016078430574,0.05450588077644536
TNFSF18,,-0.019233692753574047,,,,0.004167268631294113,-0.0052475013622132,-0.027630982481342683
RTN4,-0.08794051152381009,0.06696936156369994,-0.006870452443513755,-0.07294607364004445,0.056536765099564776,-0.04078164765081584,0.044295370069361545,-0.004691298401896864
HEBP1,0.03366363773879954,0.07890901791897473,0.03790389477472727,-0.017511671422672053,0.058905992623107,0.012566681288778057,0.0770097177182996,0.06537388705752824
WNT7B,-0.0633337068349035,,0.008828799492012878,-0.034913542987515825,-0.009768937270128118,-0.03110089508397795,-0.040575642391757656,0.08295344143077571
PTMA,0.05335643126803748,-0.023261935757916206,-0.039011915600345046,-0.04768674859338291,0.052095070265612525,-0.05104784633635665,-0.04230677306584381,-0.003917137878284408
FASLG,,,,,,,-0.016487528979367366,
CEACAM1,-0.047691869456103625,-0.02968946661881217,-0.005781839395322242,-0.019563780137024183,-0.016893073170700663,0.13670808965179915,0.013527929871818233,
PDAP1,0.03123224197010488,0.0011516592679168824,0.005838353188274034,0.00395824233477996,-0.05045390633117611,0.007726513275725869,0.0081673127181313,-0.023073152108306644
QDPR,-0.08354720363568963,0.003478317166462041,-0.0751850490589646,0.03516053411306533,-0.0064196680798034615,-0.08089210174054125,0.03120663141643615,0.03145903489755905
POMC,0.01971685542248138,-0.046847606420904915,0.020965143490754755,-0.02711387809030081,0.01669993397256515,0.13458056409847466,0.06164767439718352,0.03823142649325113
CCL18,-0.040893284733811854,,-0.021103560188277897,-0.03580147766980323,-0.04125176602984157,,,
CCL17,,,,0.016815054786129758,-0.02438621165947677,-0.008367666305307065,-0.014944093146824591,
VEGFD,-0.04607085635986916,0.05800274038998279,,,0.032604220057413515,0.04191815429289404,,
TNFSF13,,,,-0.026632781483541857,-0.026506978335800083,0.12821190021739642,-0.024350152449977368,-0.03005856766503049
WNT5A,0.009066469842263138,0.046140913363240624,0.027662115126489504,-0.028976159193532955,0.07848843874385797,0.03811895575863525,0.05621463483360196,-0.019313626223932144
CXCL8,0.005523620684796961,-0.022915140217339095,-0.037156140324211814,0.00012258540519454418,-0.04986240886209616,-0.03804109625476296,-0.036588176493675385,0.007809047149083887
GRN,-0.0396048756107439,-0.008719011990499103,0.06497597610202945,0.032347441974626676,0.005759271385865029,0.07868624187634056,-0.11194293017915574,-0.00436568482476033
MIA,-0.08149753861501739,-0.08491888838698071,0.015799510002601592,0.026468408795186953,-0.008786090267375118,0.108538695072056,0.045044897536134436,0.04772938450172468
COL4A4,,-0.031604381261438656,-0.02668149395440398,-0.011500518357766712,0.034406536385131435,-0.04127340189731281,-0.0035515932029077327,0.20012474085907478
TAC1,,,,,,,-0.019645530020851315,0.016986812515297198
RARRES2,-0.09853819093760532,0.05472827268781758,-0.050698607466249816,-0.010822385728629036,0.009252316240208282,-0.01925375221708818,0.042858557814157254,0.024905211001279882
FGF7,-0.033169731501215584,0.048540547555924525,0.04347038989703789,0.014248782996116077,0.011808167378819677,0.11983870483176946,0.02934931832038734,0.01998181211155966
EFNA2,,,,,-0.01605573551231141,,,
HBEGF,-0.00018719503117981337,-0.02785375072374085,-0.059452162098372424,-0.02588372228547594,-0.027800042780532004,0.020685250785685203,-0.07464028916146341,-0.015918339566378056
CSF3,,,,0.007785961753245555,-0.02985333352173958,,-0.015733824685134998,0.08724307577993753
PI3,-0.06545945839602807,,,-0.047745809233009355,-0.06299872430135936,0.020879999634194353,-0.03418437398997626,0.057523734807056116
PCSK1N,-0.037471818088889615,0.07253580544096203,-0.06730374754668726,0.0719310328684161,0.01578099887380164,0.005723363678631298,0.10769855391544135,0.008146914182475087
NTS,,,,-0.004607088299589465,0.06556698204757959,,0.24930428500503543,
SFRP1,0.15074586174684462,-0.06029459314456868,-0.040102194946113494,0.0296075932835303,0.03245655393889006,-0.06963824154951202,-0.022758224063641818,0.07863895010023678
CXCL13,,,,0.03941544405724588,0.00979441528520727,,,-0.028663996962124624
MICA,0.0319318190447091,0.059775632962172004,0.0053190977737620874,-0.043448805043806,0.0013843865156390415,0.06593780750682435,0.0017886633907505454,0.08645053158676846
TG,-0.04637900945704006,-0.04919356576337776,-0.013517392008588317,0.004384214638004211,-0.02409134594886216,,-0.016281086584801856,-0.031587872986697976
ADA,0.06042851335624891,0.07188449316506723,-0.0007513507896579801,-0.014113991541824477,0.007201934381146881,0.07331224052706367,-0.026923104386020375,-0.013676768775404611
LAMC3,0.03269401606287891,-0.007708249759856123,0.013914303936141188,-0.00896764122902514,0.02179251636868465,0.08001758536748992,-0.05150567902573407,-0.07774077813418065
CCL7,,,,0.0002383626013188423,,,-0.01648752311659886,0.028745105593548783
NGF,,0.11291007050138241,-0.03136122281640973,-0.005545651988566899,-0.015839919415089613,,-0.013203646521526871,-0.04004891002307322
TNFSF15,,-0.004303346405365089,0.08227606871815296,0.024216644489892712,,,-0.023373950012481118,-0.013666200925978663
HMGB1,0.019604058721675435,0.04238636323003624,-0.010003157223244302,-0.06812325487058561,0.015447722423632229,-0.08808234474752914,0.12354078085395966,0.03141137772939067
ITGB3BP,-0.02918441900398739,-0.0378268763440149,-0.016198261228263115,0.02374658956990697,0.012487673093276308,0.036424837906426255,0.0499499134520865,-0.05200842259947515
AANAT,-0.055691033190053904,,-0.02198024255808889,-0.018249446283498665,-0.02160667137370279,0.07501405551706275,0.10006387418112991,0.024075073835449656
RELN,,0.005033702863559048,,,,-0.02942862771627098,,-0.07330438233763452
IL15,0.08006566588838304,-0.04610417425681874,0.002757031401255397,-0.019422811110091625,0.0036383820964525485,0.008477931179859375,0.002877017476939196,0.09723313842818386
UTS2,-0.0372850420851686,,,-0.01554073914336042,,,,
