,UKF255,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.01208979012448824,,,-0.03826608033815108,
BMP1,0.07284257629427056,-0.1568794440860718,-0.008916304467677993,0.13209951329239542,0.021761614641183792,-0.02188403352582232,0.04167801605050893,0.07496662897531761,0.10068447174782222,0.01385377365362565,0.018598355457701762
NDP,-0.04967493567801184,-0.017358724433930925,0.0018782050177867367,0.007368523406891864,-0.004918852227047127,0.04892355163275566,-0.08190645122704329,0.02534497281693519,0.04100695532801706,0.09178496795245392,0.002917309384016385
TNFSF18,,,-0.00024033426033277585,,,,0.03363203018065929,,0.03724475723550713,-0.0023157206711513036,0.14737542252407915
RTN4,-0.04972204765153828,-0.0754621284438223,-0.07952097256896086,-0.0025224260008782956,-0.11288245946578335,-0.06409655200214777,-0.05183214381746,0.008898153279726947,-0.13995163833875957,-0.007702196646539571,-0.0919498604238011
HEBP1,0.020447627966321165,0.09330486701700111,-0.010339716530120363,-0.04618526378327818,0.05060167032314995,0.04977309422282169,0.1597899556532426,-0.059462407457819805,0.11022080464301959,0.04834082852465208,0.07083452835517459
WNT7B,0.05980661318104281,0.0019239486369771453,,0.025925828668187885,0.021543683634985038,-0.04526929572587209,-0.05618367949119026,0.02647143980933579,0.09587772388564136,-0.04166872772890888,0.04198248006849808
PTMA,0.009069425281167985,-0.03554265643494001,0.04130221584292811,-0.12968125194077404,-0.05996572102362675,-0.0272811979817788,-0.05030575909247287,0.06817727083259621,0.05235337501628588,-0.10838883245728648,0.02649603554542028
FASLG,,,,,,,,,,0.016819790350839105,
CEACAM1,,-0.0532597399343159,-0.05033094729052398,0.04296855695145833,-0.030839003445538374,0.05245852150010576,-0.022678964047105284,0.0011417671321883316,,-0.04617644799185672,
PDAP1,0.007886998166255316,-0.03519802290893341,-0.0316179974799425,-0.00705386213892746,-0.049594193790693034,-0.04923044769960407,-0.011595657536897204,0.059392871800985826,0.03475403469175603,0.0038833169821756793,0.015562980672946867
QDPR,0.0361651378954408,0.022292993770522258,-0.023044258621077743,-0.09180953619412359,-0.010195791204465319,0.060380051460304764,-0.04620234302484742,-0.10191747535694823,0.12495120547932766,0.05983946653349368,-0.06519420696695624
POMC,,0.020358304148729973,0.024612561614024458,-0.05028481467669434,-0.04273564348562096,-0.04315152678711272,-0.0003019920575975577,-0.0052386939959979595,,0.007397163170036614,0.057366268648057855
CCL18,,0.028623797590914803,,-0.018348954664645957,-0.011458754826633258,-0.0068966995322205914,,0.023678708211206163,,,
CCL17,,,,,-0.03506443601005289,0.01971496134207652,-0.03972158496445013,,,0.03032102045134575,
VEGFD,,0.1170433638067102,0.02776600309311161,,,-0.02193086621067043,0.061005879297924316,,,,
