,UKF243,UKF248,UKF251,UKF259,UKF275,UKF296,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,0.006049123342117012,
BMP1,0.10606818756737468,0.08004694640408239,-0.03592431323762204,0.026119485782648777,0.01356722503716347,0.03993956450303694,0.082569842526641,0.04774751495859031,0.03677295237835745,0.06583087157682568,0.08213729052042305,0.2448099098658563,0.18455250037431864
NDP,0.021229306604421103,0.030030721013307567,0.015038127080885444,0.037970499725318324,-0.03631024503870137,-0.04378713743522251,0.11422877377695174,0.0263362800132821,0.007705281143624862,-0.02960242804278176,-0.06798598915860184,-0.027392814454856067,0.01816087342198663
TNFSF18,0.06593799083112417,-0.02753035513732248,0.007237289082263755,,0.017269740215654004,,,-0.02525769401339699,,,,0.05540349330820901,0.04812103757390737
RTN4,-0.014098055017690358,0.020192024935416577,0.004423728708116108,-0.06642064648963882,-0.04862565735488629,-0.013729365975776873,-0.07807118763581394,0.12468400544349671,0.01505631907869213,-0.0918977057068426,-0.08527006929348227,-0.04791809681255285,-0.10184468714697836
HEBP1,-0.003503004503328708,0.08110451825189369,0.03380587867597694,-0.00645824182231625,0.04531947165734924,-0.06282372705404814,-0.019929102610249556,0.018619859025321917,-0.014318037549583145,-0.022900751510967494,0.03477091778202454,0.023174681362173696,0.018732217740601367
WNT7B,-0.056221534188225675,0.032939386806341515,-0.020649632111700292,-0.014436674323387294,-0.07485405202401449,-0.02052280894713801,-0.013400924677041041,0.19343930513020602,-0.03139837175171816,0.024695425469086492,0.01820479024835211,0.04277161667290632,-0.012622304349227289
PTMA,-0.020093341554845927,-0.0004492295950860779,0.022136237887682753,-0.02263076079489142,-0.0036259474198825975,-0.03526158805095172,0.1936107185059221,0.01367344034752614,-0.0778639496127085,-0.027952488832324773,0.048493587947436946,0.15360248645006291,0.12854370295981177
FASLG,,,,,,,,,,,,0.0841534646056212,
CEACAM1,,-0.022047914311075285,-0.01584735065399011,-0.01676935201309783,0.03278473819068538,,,,-0.028158562705595063,-0.017644155513944465,-0.023477990000688554,0.10566478344903041,
PDAP1,0.04376806369926221,-0.002730456054992126,0.043022158553237815,-0.03763078698017833,0.021146427488785383,0.007860243005689752,0.148351259145272,0.03136535223313817,0.0607309530943723,0.021236380197002188,-0.035281637592418556,-0.012926603335359471,-0.05881821520658523
QDPR,0.059497583211709844,-0.057965875224514005,0.03601471716215809,-0.03912099835128126,0.060863785900668314,-0.05441739889984711,0.04392928584296638,0.023129193062484146,-0.08441294958495628,0.030053978633018116,-0.02268954376323998,-0.017370479517216635,-0.1406072039286846
POMC,-0.038215299269888585,0.034290123451447864,-0.02815821378465241,-0.03360181426745172,-0.04703419599662609,0.01621036389956575,0.052985035941813696,0.08646356335096873,-0.06705795464261866,0.0891841678357663,0.020083651443151655,0.006113345192253402,-0.01949452111470428
CCL18,0.05816957311283391,0.02973506944175025,,,,,0.15041375009794666,,-0.019964883929448833,0.14596356517558887,-0.004771247190580567,,
CCL17,,,,-0.015527524535241033,0.014097293748944298,-0.002531467135752018,,,,-0.012517674336011357,,0.012613391146167649,
VEGFD,-0.04716462367339037,0.017325170492732658,0.006153273580001839,-0.008282314468273842,0.04720250439238497,0.1546355540701801,-0.004020804862424731,,,,,,
TNFSF13,,0.00248141167054985,,0.03874537638709312,,,,,,-0.024019536867274923,0.001289954183271501,0.2227639410161883,0.0131931671708433
WNT5A,-0.0035209866516789576,0.03582772687651511,0.04760257528980066,0.022974549991270916,0.02973949242396131,-0.00961526933624709,0.11315334692572826,0.037846888255805795,0.007514623566864016,-0.0215728968646468,0.08635904721350833,0.08797288059837068,0.15470662160409576
CXCL8,-0.06632593233914706,0.00286288965377411,0.05753567458055182,-0.03180219586666075,-0.001986413128079556,-0.017351204165126016,-0.04100645910836609,,-0.035151321493671464,-0.035533020388740046,-0.04429740230616843,0.014559914446116332,0.07700771369185427
GRN,0.08630242760861034,0.0650515025362683,-0.03733005110821982,0.025666459193703726,-0.0002574664248417013,0.08364362521847789,0.07240742272086087,0.019736488154017722,0.09405196303803952,0.10100450542845225,0.15955203677609103,0.21328147450084234,0.07822311082007334
MIA,0.016945951878660707,-0.041438395987267194,0.012468841406362091,-0.045622731236552895,-0.023734954940941345,-0.021190312739291933,-0.049546127243128575,0.02946096697950424,-0.008764902420298886,0.01980555147898373,0.02060909287829293,-0.0257930107301644,0.17352900685575073
COL4A4,-0.020136915007229358,0.033997627685430964,0.09226936010242874,0.06273499478541252,0.05691307887515413,0.04797446095280731,,,0.0020178564585078876,-0.019696454827442606,0.01604456738890305,0.026849283007668284,0.026589076606574467
TAC1,-0.018615184795158127,0.04594581806801849,-0.03729003054088738,0.006581767215360133,-0.015453477855343435,0.013641699243769888,,,,,-0.030849506861857775,-0.010263794299773973,0.005591737351443645
RARRES2,0.011713449460917374,-0.041345184093014,0.024525854691899284,0.032369082716386034,0.07558875430795692,0.008272712368821692,0.006684790095597005,-0.026528755505269546,-0.004491939691906325,0.0017588510532032403,0.03622235994322985,-0.03908978503525681,-0.006621017553041216
FGF7,-0.07191416948796439,,-0.025619059758250573,0.0062348147307649095,-0.03514651027092158,0.00575869815621965,0.03262230521407411,0.03432913695454986,0.004652820169481224,0.03744510893371039,-0.02933106741925255,0.0358371938838914,-0.0014107230719187483
HBEGF,0.0021673504048154977,0.06486077178998301,-0.015717463634156593,-0.0016408930798438074,0.040143638778759594,0.04036338115689954,0.125023355396653,0.01143387564725175,-0.0030892858744835544,0.05288156514479243,0.06363030693974114,0.0884246226346557,0.13045952728123122
CSF3,0.006850875862116274,,,0.032204174732341835,,,0.007228149528204484,,,-0.053308165410319165,-0.03365890572809884,-0.019265948694390907,0.04586084203091954
PI3,-0.056246414492846654,0.008589031901799988,,-0.002364199040200035,,,,,,-0.05707669840525178,0.027285545153334128,-0.09033774457064406,-0.023955214745185832
PCSK1N,0.0217700456166091,0.010071641817866763,0.026808460719689807,-0.022511316978752322,0.04773346428690746,0.024256271414159872,0.06949621918511613,-0.09879411900516323,-0.07214089311759363,-0.034347507136066914,-0.01986921842415418,-0.0850831413439309,-0.06084756256027167
NTS,,,,,0.04701967370949931,0.005010022158129686,,,,-0.029202431184038646,0.021359516278787637,-0.03136548370168312,
SFRP1,0.04571922896652152,0.014914342857491622,0.011495527878200582,-0.019612275734934934,0.02311440511925562,-0.02540148461524593,0.08295642025710573,-0.008751172183238095,0.16077562855429162,0.03305133806327731,-0.02041353671125324,0.018771453182394864,0.023063435711852112
CXCL13,,,-0.020820843457966413,,,,0.13033918006225997,,,0.03293734755539236,0.018511453952468962,,0.04259764626730785
MICA,0.03360680347173002,0.10994961750775785,-0.004711566647129365,-0.003093535426819033,0.045894487642357484,-0.007931790589713088,0.09765105455706068,-0.008558855353038191,0.08961752243701918,0.03272339904319188,-0.02100576533847746,0.15739709925469308,0.07194316628820509
TG,0.07508509061510575,-0.01329538523409479,-0.02154920389699094,-0.0034841528274989304,0.07688121477261872,0.013705339241812905,0.016963753224122226,-0.03236891426566155,-0.03250749878420553,-0.016632859594612127,-0.027701796636520493,0.031282533724912354,-0.017265300978478337
ADA,-0.022192170912795708,0.04204208531448243,0.039590929243003725,0.021589325047677584,-0.029441300368514653,0.04130177065778459,0.1321981785347037,0.0067113291917682266,0.05301224894188854,0.05453795733338671,0.02800807291976173,0.22254933612354197,0.06211561317382281
LAMC3,0.003202178190056034,0.049622606400092924,0.00010880901683903794,0.06057024389376803,0.019393748134883485,0.030069159375770073,0.1336171060065571,0.10146715666071082,-0.04669893264239045,0.11815540362277786,0.1364041506910129,0.2377583578098223,0.18255179807759186
CCL7,,0.020117522973200012,,0.010504699919414776,,,,,,-0.018761108497962316,,0.01801626310100778,0.036590362613163625
NGF,0.01758331419985704,0.040202770888024465,,-0.017283205681019178,,,0.08900984192715439,,-0.006038560296242619,0.037888103246635954,0.11815333791481966,0.04595815673455497,0.046048271433470726
