,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.03899760188124894,,,,,,,,,,-0.0042061715030217006,
BMP1,0.08695161999110686,0.03970362875379317,0.012326156970247389,0.04314201333367901,0.09243516019779575,0.2125743906625785,0.00478306101244349,-0.028757701787777062,0.03445332955651492,-0.05228071849653239,0.1349170181974854,-0.0001830628273802884,0.008884709816078458,0.05210837365643392,0.030967632979990032,0.00789086521550812,0.06427824634265591
NDP,0.07126065197640878,-0.045119576512790985,0.0524394429659234,-0.035641598659810765,0.021458986175736244,0.044998839427267893,0.04655630831445383,-0.021750852321556328,0.07435595587122852,-0.05291366047352841,0.0026615965672622615,-0.05311366634251369,0.0239392081105476,0.01781336786496895,0.020674908514230164,0.06990296228811455,0.024324888288109515
TNFSF18,0.07948049744754497,0.034675586347629524,,,-0.019906587141062953,0.11341294661085573,0.018957070899733516,,,0.054652281121579056,,0.0740091338635426,,,,-0.03769056174143169,0.017245797525115486
RTN4,-0.03634984994398622,-0.07547543428457258,0.025808741373460405,-0.00987625970843667,-0.16210051356965305,-0.25602541876669693,-0.033848887884283946,-0.038274388608333904,0.010696024756915806,-0.13440944685977413,-0.044940212718062096,-0.03703612454032212,0.004553172124945833,0.026206530576221316,0.022330148767006966,-0.030348514512836076,-0.13882870219474494
HEBP1,0.01066207323216287,0.05518846755119582,0.000797629252831842,0.01596396401957081,0.02709538764536231,0.10087510972307133,0.012608520854738245,-0.023108936262475857,0.02009796827082727,-0.0346762057973126,0.0989041033856388,0.028199757991546035,0.005355441591204649,0.06033380494108566,-0.004841021493029762,0.11536973695846496,0.05851792357259651
WNT7B,0.029079022355358555,-0.03369478533449283,-0.03780712751905339,0.014251110535988603,-0.003896365632191044,-0.07649856980556956,-0.03245571872125589,0.025786388663268593,-0.010001033867901027,-0.037371502359221306,0.07539196229946367,,-0.03139834997265802,-0.023004350792856103,0.04026626545356769,-0.01125586347809531,0.09164348168305406
PTMA,0.06725053500695244,-0.04873184518824153,-0.009162184124511375,-0.021590658033374743,0.20763712474085078,-0.06979876121779856,-0.047078567170521314,0.009893761121721441,0.030664339923513247,-0.081494367499495,-0.1892766873771479,0.13466892320150964,-0.07231527912659315,-0.008685807584240281,-0.016860659177515495,-0.06245937753478808,-0.042110745719157905
FASLG,,,,,,,,,,,,,,,,0.03246015373934105,
CEACAM1,0.03022067886473645,-0.02585872113935031,0.07507307152299779,0.04549414916504198,,0.06717658340289322,-0.013484805281607613,,,,0.07864669500174375,-0.015427601178762629,-0.002429412554853017,-0.024907862107451655,0.013180757172600976,0.018512411763832108,
