,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.015533294877197902,,,,,,-0.027299282189111315,-0.018807323262686113,,
BMP1,0.023136306870136722,0.004547425822363698,-0.03115156707315903,0.030648942348864783,0.011050133295157027,0.05319656452193811,0.023975091345891708,0.04110551896541574,-0.01476915648252415,-0.015714833292260883,0.005043991292781812,-0.04134750275315819
NDP,0.02025901992315743,-0.012513394604186627,0.051783018633305644,0.0055033271072353895,-0.007810087269845072,0.032099747478620315,-0.022267249671825966,-0.01585174306786018,-0.021857899336124875,-0.021967318931782453,-0.008701894944343341,0.11509743369916584
TNFSF18,-0.030443518210567785,,0.11053747451924305,0.05834150304034688,,,,,-0.028153267861002577,0.0218742168346305,0.07333395640597865,
IL36G,,,,,,,0.23557215843543816,,,,,
RTN4,0.017798285224612014,0.050170755909680516,-0.009029152592907024,-0.0011183345675061073,0.005545777501713544,-0.029306540549200802,0.027218834385717386,0.06062974999631887,0.020429965175728957,0.03081934802684724,-0.005772177371457095,-0.020746694786118406
HEBP1,-0.006496639683552054,-0.024775511230424128,0.006716801286730581,-0.014662800081834591,-0.0024985340219223725,0.08632387492865,-0.0144042646541921,0.011901044139808444,-0.02810873075188256,0.004697993248983334,0.014189975128377299,0.10348713536006811
WNT7B,0.06610765153541055,0.03953854156365359,-0.0032195492950499944,-0.013863919200078659,-0.028798361145842288,,-0.013259120604719805,-0.03447726331011193,0.048179237902292504,-0.018493340166891272,-0.0022042448128642665,0.0009887931292813985
PTMA,0.04781003491948484,0.013291266912901162,0.016471735778204086,-0.0545168801861334,-0.01955824623664694,0.165722885837145,-0.014418402538419174,0.042786137525877274,0.05106658250216114,-0.062181202492007204,0.008955547119641624,0.09004146390343172
FASLG,,,,,,,,,,-0.01631158504951662,,
CEACAM1,-0.006175809046924569,-0.027750787659768923,0.0199641821163569,0.02542079417093549,,,,-0.030919761970840853,-0.04045330667531353,-0.02269517486063544,,
PDAP1,0.04078651666873137,-0.035270455263119914,-0.04292861070309463,0.03603915658436386,-0.018585979194521225,0.05058022179367868,0.007684129948349404,0.03631328043956799,0.009879580728097774,0.01637705453633875,-0.03417558151522516,0.11504575567686871
QDPR,0.07669485435499056,0.014048509040138062,0.040624401827729716,-0.024693857439195235,-0.013284282292424685,0.1256008861542443,0.02948561247353505,0.018927465734020696,0.0573980675146037,0.005611776432737899,-0.033808035695417314,0.10481429605581409
POMC,0.02477824101192934,-0.0023223863138803376,0.07754577782840143,-0.0174264087763054,-0.024555579394362998,-0.03252677077646434,-0.025846068672894268,0.06943841719042278,0.016020454957894923,0.03575552126547058,0.0481249362006237,0.04179082759597317
CCL18,,,,,,0.07531760362856658,,-0.021922619606978923,,,,
