,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03020225810466013,,,,,,,,,0.01092980887888143,,-0.0027892133478540776,,
BMP1,0.0064570856761134625,-0.01741415394011705,0.0436341230955193,0.014227543066060187,0.024702172172981686,-0.003945588148640457,0.01612283257675618,0.06862207457442926,0.14962315776689877,0.002574404548580969,0.05078590384053352,-0.02402189152741391,-0.02045038790061549,-0.0465688621776316,0.004340354546721356,0.0023857260851737182,-0.016839657351636474,-0.04497084436113557,-0.0004662356314093846,-0.0006858091568329464,-0.06435230778314013,0.022714096790582724
NDP,0.0737915618565648,0.08413723655302524,-0.018352286665596126,-0.005863513942251656,-0.016788808832350746,-0.00811543016342482,0.029919175791411394,-0.031464782451705614,0.042333279996099184,0.015471122515474762,0.00036617530519116585,-0.03582113121914963,0.028502706905603678,-0.024632786882236732,0.03178233979550835,-0.00902415329591539,0.05979576239152955,0.05172548333865927,-0.008104536000244522,0.06330746333521257,0.17847255428930456,0.008339100524882041
TNFSF18,-0.021229531165774987,-0.03439232281171967,-0.019916999166681392,0.015329871840976074,,,,0.07223529539820868,0.17903341240617873,-0.019684281489027573,,,,,0.07373263481174912,,,0.06011635075193481,,0.05923186357783324,-0.010361350507435333,
IL36G,,,,,,,,,,,,,-0.01838598804905701,,,,,,,,,
RTN4,-0.06309458197104728,-0.00485757222624992,0.07778003234269991,-0.01001897910325802,0.04258215900915995,-0.01474368843789691,-0.02203129278632059,0.006618674387891404,-0.179071454809947,-0.02307459896303777,-0.007295262197303083,-0.0651988129092447,-0.038714690836391404,-0.12453623902941967,-0.014893449723975301,-0.03738050478882459,-0.007985378599846498,0.0333683015234275,0.007957163911429968,0.023925523534215003,0.031386879847013126,0.10635256188497513
HEBP1,0.011973103235316718,0.00021073299123967328,0.05330562334779385,0.01434248249594551,-0.017799609112939194,0.04697162101511385,-0.03345706082081296,-0.01877485302889766,0.12507664493854362,-0.01474562391175473,0.010560241813810099,0.06769064159591612,0.060749139390557295,-0.03954320705828952,-0.057867323986602444,-0.008647549006214804,0.08812384250529784,0.032331660357159515,-0.005448112967925629,0.04974468775740106,-0.008510181257567192,0.07701788696060076
WNT7B,-0.031212438768580042,0.09274506226318405,0.018766520133330928,-0.00034363578510724296,-0.013675785728683153,-0.030912569992377275,-0.00968842928091547,0.044843151238954784,-0.02464087497627388,0.002476388875072497,-0.013480549973627257,,-0.020208319692907345,-0.03050592016112259,,-0.02344755732358766,0.05317488215837998,0.014164171307146686,0.0648700871154476,0.01851217484543007,0.04001570038572421,0.019209577148034514
PTMA,-0.017425056266870714,-0.060284356205009014,-0.08830376593942214,0.05167384724630787,0.06111307938896529,0.036551325810848134,0.008221815658636993,-0.01106121076855195,-0.0884386787643696,-0.010746040715670929,0.03586638901983712,0.04419389519479088,0.0393150581754368,0.006784707410630358,-0.01622120997048962,-0.02541266712184014,-0.05822096759854986,0.019421227078114885,0.03685229303732545,-0.03438455492267392,-0.05183406836474051,0.0891551903004172
FASLG,-0.0012074990971363297,,,,,,,,,,,,,,,,,,,-0.01894621121287833,,
CEACAM1,0.04396234185738332,,-0.0082954968199651,0.009671370759938923,,-0.010883399906110541,-0.0018887329817827382,,0.09840131411610946,0.015069532689529474,,,,-0.048309994339876865,0.05743711478666334,0.03014564962576444,0.13205602834871027,0.020275759719967115,0.027582531179780996,0.005847781516885685,,
PDAP1,0.026150321030556378,0.012322738683571675,-0.04771399476572667,-0.01752281052609384,-0.01922129379261547,0.010586690649577332,0.018703902644871723,0.00039747443249491795,0.12939128223320157,0.005757394226033853,0.04725173617728578,-0.017094693674615517,0.07580797593124348,-0.07143447838775435,0.07560415293373192,-0.010317845860334088,-0.047563925685894924,-0.0007305272247948676,0.07953700610041889,-0.043814398166206546,-0.08551566554412222,0.05467490966793054
QDPR,0.013886024843887483,0.02388374992334796,-0.06532224372566826,0.05722032630590192,-0.020416070705934253,-0.06230565732169583,-0.014362708734813974,-0.04648164615007871,-0.1678250373653209,0.012157380155478507,0.012099343613735769,0.08300691629528072,-0.0689146692568861,-0.061096748849997176,0.1268518831959187,0.005393966175827185,0.05125678815604774,0.07011799902014441,-0.031228553275631444,0.08246143689270007,0.11255923290835432,0.03651836716692001
POMC,-0.07584290090322846,0.06468061814002911,-0.008322320797309778,0.09386012254732112,,0.05504562632349676,-0.05046162116537194,-0.006228427031917701,-0.023106918491529956,-0.022840083643554138,0.012296756941689775,-0.059704607458523004,0.12744285475565528,-0.01610096127920566,0.045535572886781665,0.019515635151282944,0.026831196549113555,0.04962410432368595,-0.027561961545142132,0.0031155862461840892,-0.017169602282405324,0.08066613567054357
CCL18,,-0.0076740511662759334,-0.037992635790626075,,,,,,,,,-0.004648303432924631,,-0.04142329450615804,,-0.03563068275260886,0.06488450104882833,,-0.0024917157794638574,,,
CCL17,,,,,,-0.007116265301926857,,,,-0.024550131428706788,-0.015036429692612988,,-0.016796122060837318,,,-0.01752176937205076,-0.017478948190799006,-0.02307990611300892,,-0.017172612433250762,,
