,UKF243,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02759660027212157,,,,,,,,,-0.014490416543376359,
BMP1,-0.0590412119141253,0.039412036576025426,-0.034698846765805126,-0.05392891366903651,-0.047682100395432137,0.14715992144343476,0.036058489353058436,0.06776824591987171,0.0775417061980944,-0.08955930485403787,0.13861606518280184,0.03891916300315112,-0.01317269640868653,-0.03450853863365895,-0.014494153299345988,0.008950463369867078
NDP,0.09448263710687263,-0.0007234947460939908,0.0007071320046954401,-0.08494734544385492,0.001563779356839198,0.05325679476869422,0.0031676683409560587,-0.035038665291894956,-0.1326101649679916,0.09490064910010008,-0.03486917218807299,0.026671077302489347,0.04278754540596721,0.0006195342486346068,0.0891999223751462,-0.021184801751440656
TNFSF18,0.00621713265309581,-0.011610723276802765,,,,0.13417118290208468,-0.02127728547648481,,,-0.02256493635803124,,,,,0.030462513592762818,0.13784505513774703
IL36G,,,,,,,,0.06671449254464287,,,,,,,,
RTN4,-0.11773370736216791,0.04997919144452141,0.03562369808115145,-0.02796269347219374,0.015239081497380989,-0.1388022062246211,-0.05347030636838049,-0.06164808752151696,-0.07692106580086967,0.1367999279723501,-0.04399818614928999,-0.03554765703141085,-0.04536481431856619,0.05797541478121867,0.027214598825473866,-0.035561567565475335
HEBP1,0.016162591778360828,-0.014473451281978088,0.05481259947838198,0.017081128318884798,0.00328360927646301,0.10734231548176444,-0.07035475502338259,0.02421010900592898,0.017583480475942992,-0.0332323053310402,0.057850497184438056,0.004808469817860366,0.0576334606188995,-0.004831089195861402,0.04971527428947717,-0.008864468586582984
WNT7B,-0.04901653410210911,-0.03443738180915999,-0.04325968301258211,-0.008284764161592588,-0.03663057303190894,-0.009174663780698152,-0.00021850203045854988,-0.01113149171131891,0.021523029345269708,,-0.03925392486014147,-0.018076702270323177,0.06102702221019711,-0.02293268497606026,0.1334472298390384,0.01685775886597256
PTMA,-0.0005641421556322039,-0.07283870026880516,0.0007336591592310387,0.002102843259880333,-0.009107910595983955,-0.10333194490054244,0.015732309650774944,0.10186006485927045,0.029983910057985716,-0.14778969300945605,-0.08295105174587027,-0.05302326455952777,-0.054981360267607346,-0.005123621610698653,-0.06921550003864622,-0.055372463031516744
FASLG,,,,,,,,,,,,,,,-0.02539490503067201,
CEACAM1,,-0.020778480949535022,,-0.0248546303123238,-0.013079580345320784,0.06791990572892423,-0.024512574115977938,,0.0033601076610361973,-0.07181411634777074,-0.015198603851121392,-0.031988247114568054,0.026656344111922615,-0.022391973365555578,-0.023484797026830193,
PDAP1,0.05018743377877865,0.005483326169777673,-0.021758948517907297,-0.03275263845256444,0.03911389268530966,0.1186308510147248,-0.009708604446194485,0.040183586984453186,0.013333329628278786,0.05327325124224605,0.011982277532848631,0.08701283305315496,-0.03457964817120198,0.028158448168765095,0.033755004117628676,-0.001999244095033249
QDPR,0.05086042405149486,0.05769012661484208,0.016693000638926068,0.06662046859437577,-0.046013617107173936,-0.1425310692429655,-0.0728476821675843,-0.05591856455718467,-0.028615759341622797,0.04501735087208361,-0.10510477053879183,0.0060808058386846095,0.031906365266896365,0.027339043218987637,0.07351082885923589,0.012622463256244942
POMC,-0.03965336580902701,-0.019948698137893867,,-0.009932595307105087,0.017401137072030882,0.04061837578467868,0.00979442947229441,0.08624472541361235,0.08930416918287261,-0.043546839575462744,0.09017570068797698,0.004699283806014385,0.022959859092817097,0.06707128216951362,0.022726875032246022,-0.02201351273761883
CCL18,-0.028164048629495203,0.0008538539441037443,,,,,,,-0.0545489817744184,,-0.024959894729736913,0.018582094527292044,-0.0038278263970621795,-0.032035273411515054,,
CCL17,,,,-0.03182216687873349,,,-0.026536917549415794,-0.0046387174661487824,,,,-0.022694113053104786,0.01619695846952632,,-0.023017629064248573,
VEGFD,-0.0317326508834191,-0.025929589224317585,,0.0004851313235301994,0.04970133816821751,0.04303380225103233,-0.0282728411255353,-0.022159706372479413,0.044807791058763244,-0.07598666698096744,,,0.038000938160427114,,,
TNFSF13,,0.015397358658257386,,-0.02195021851182544,,,,,,,,-0.03306042549879155,-0.001761531056888144,0.005065452042621115,-0.004534222559916828,0.062489603042767496
WNT5A,0.053806469864652436,-0.047668296351095034,0.015061477553856943,0.056879002171895614,-0.009462389220950053,0.10449634510132592,-0.015220420977916059,0.023581138728305105,0.0037299772107752325,0.0002952649925437667,-0.0071252553318134956,0.014583876646883315,0.03853163119063774,0.04361676930359883,0.033857243557435794,0.0026309216281254987
CXCL8,-0.060572857671743724,-0.0172986772981959,-0.09407824360286673,0.04313374925434142,0.04044880543523952,-0.02412320416292156,0.0732944364051351,0.06764451811766965,0.06236449667981653,-0.028872357491416843,-0.02787748785865882,-0.03322541043525882,-0.05471210052270457,-0.0414189946402855,-0.0006513175284554939,0.0033265357610388195
GRN,-0.066783312870163,0.002235761955215793,0.025893134266779968,0.03782276925997864,0.02633526225563661,0.10741769057033144,-0.03985296249961181,-0.004847556700129063,0.05242145511751681,0.04752958825075484,0.07609151199315937,0.04081376826185447,0.044695047914901156,0.04934380777293008,-0.10170036105484702,-0.022761578580536505
MIA,-0.03943962454909983,-0.04417947659825524,-0.047101732007633804,-0.02616584194506036,0.022478383113020518,0.0465144545332754,0.039331312467633724,-0.018988597217264494,0.0013120718445388277,0.04588235549227483,0.10579731285287079,-0.04417147393908614,0.027578557743071903,0.022024406792084672,0.14369223915157303,0.055211054800368975
COL4A4,0.10217433278339902,-0.02046632688094135,0.03311691450940383,0.029980641188887307,0.009174355858901502,0.15113502002177354,-0.008133808094200208,-0.029439397310964854,,0.03725121161736088,0.01252921182923642,-0.025983441265344954,0.016169713278210453,0.003947622114437291,-0.03548674502802105,-0.04025137795252044
TAC1,0.018653842003737858,0.021832907004148704,-0.022130392573016047,0.02211156475862719,0.020075982046829935,-0.08577317409472189,-0.059207177110462667,-0.045407609444925445,,,,,,0.07018146576144672,-0.03025901393599115,-0.015171876376536941
RARRES2,0.0934052543661074,0.0035841866565679776,0.006903762045002426,0.050135707252238135,0.0969246634438777,0.11798727320200603,-0.05076449880883476,0.0728043103517341,-0.028854872404224366,-0.090935416790008,0.01015006349567141,0.03970142163459074,-0.008242672208092841,0.027640081354592002,0.07533456469782664,0.008991250194955334
