,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,0.021772572616504757,,,,,,,0.00991688462220004,,0.07326371347146847,
BMP1,0.02093035092801237,0.022146846604478472,0.0771178523707005,0.03562137125994539,-0.03943357146323123,0.03204539302329013,0.19913304984364788,0.04402152853471463,0.030270337335974645,0.0003953108679462194,-0.029962083721233383,0.024559482339468298,0.013927218142747192,0.033895944131101544,-0.026709473561893834,0.0624180275572673,0.03074376038390914
NDP,-0.005382879002826504,0.0770673097095073,0.02018162994226862,0.024766533737290215,0.0127199487382398,-0.035853355879672213,0.04921946087215258,-0.022831815052196832,-0.030212368055097128,0.04961421972708181,-0.03512763433030764,0.011357616238851972,0.04992857049276236,-0.02614056615019196,-0.009149833483801233,0.07298505833083388,0.0639797701025204
TNFSF18,-0.0046336808870498045,0.03839862444621603,0.05345990575291448,-0.01894969507411996,,,0.02921135416692443,-0.007898846110952535,,,-0.04478964602894254,,,-0.018559374455090132,,0.025876371516405546,-0.023592446670637285
IL36G,,,,,,,,,0.03186405582574363,,,,,,,,
RTN4,-0.01597644133660933,-0.07229963155711927,0.003054640537415634,0.004004268485880568,-0.021064964602229196,-0.050284466753872596,-0.19578570913203855,-0.014586552865886159,-0.034214164445158304,-0.01845690403649588,0.02052149647947198,-0.02857520534104756,-0.0661742787076888,-0.016173625787422846,-0.04447505403502456,-0.04371332440282062,-0.04515983040150967
HEBP1,0.01560860786224329,-0.06291301364879863,0.017653704018162637,-0.02582312728935583,-0.02771229610005882,-0.09012453679372912,0.07372988226465915,-0.005251528363239527,0.07577037500662417,0.02970231163794329,0.027399779079297394,0.025987832787490377,0.015593577872886408,-0.0068257753901982045,-0.04865072926368353,0.01495389032149299,0.012408789564341882
WNT7B,0.001086321948297964,-0.03306294251213971,-0.010426902453992325,-0.018434581956404385,-0.04462419659085355,-0.01642676252965261,-0.026161482637479805,0.006774849988813444,-0.014044273162791086,-0.016376434468831916,,0.00509403921732376,0.0012823427516848636,-0.02609950491132192,-0.025860407247953292,-0.007156167555108704,0.0018854230296987688
PTMA,0.015695200343877926,-0.02580748597225051,0.014177486246178024,0.013091325313737,0.04102116685531999,0.010403901007586196,-0.16498665200850568,-0.022400563494829502,0.05361694048114978,-0.02528091005422497,0.05024349857061393,-0.06420418824387902,-0.09284425001718773,0.010758611444911,0.012798531814277975,-0.011984738690890328,-0.04216128158390237
FASLG,-0.021188871762906618,,,,,,,,,,,,,,,0.05133300463836212,
