,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
DCN,0.039389044793129595,-0.06303616723302621,-0.02071400952450564,-0.05608957056253616,-0.002842204755335,0.012761875515498218,-0.1534324174504086,-0.04424563175818147,-0.06865897523364951,0.02504664939782933,0.019712023370204078,0.049736386478477466,-0.09620378222622504,0.03265853817476858,0.04719221238687128,0.03673716830019543,0.004958059161483465,0.10372017520792617,-0.0356374712570419,-0.06528027586848062
RARRES2,0.06235905674559701,0.042178313399606905,0.021582896955700204,0.04557811523041728,-0.03225072755064872,-0.020991482478668787,-0.15939845997858548,0.06494136477832056,-0.0024921429654602392,-0.0636451123178564,-0.01799952572403993,-0.0902182803929313,0.11472454170699775,0.054803098259120525,-0.013843705269206242,-0.0029807323680009217,0.031261850678440395,0.032907752185465836,-0.012622848674053036,-0.07563935236620838
SEMA4A,0.0438597899463614,0.03307552002671646,0.016652013073386478,0.040538551802848044,0.06603939528621451,0.011234811069351286,0.12883421786598045,0.012396592910843985,0.05456338458484289,0.05095670950661263,0.09047986616847517,0.14392742783865486,0.07020573021822528,0.08138114746375785,-0.007288167977229037,-0.011903341890444672,-0.01615716441067937,0.03816472824571212,-0.04770382136850452,0.04522360881262855
GDF11,0.08091507247116608,0.034990081917746885,0.02564152144619206,0.036493237626982714,0.012280127042739961,0.02942762841227065,-0.13856044128268297,0.005470737586990566,-0.005288808808785947,-0.0027390518648230376,0.01698595434486552,-0.024109790481457945,0.026539908316586657,0.0403743662758834,-0.0019628609789683294,0.006824985516389568,-0.06511885092829299,0.03865505941853455,0.001484820207259541,0.1568834308279413
GPC3,-0.027124333442658386,-0.0143381313203849,-0.03434371146703872,0.011259637366644431,0.005634425890962648,0.03592155593977484,-0.017297634408043442,0.08032101576815551,-0.027887700039948442,-0.008945788325113604,0.07306635691891332,,-0.03644220685179687,0.02633857195788523,0.0729511879637722,0.03525952466287024,,0.0684973671053809,0.030537643654951305,
OSTN,,,,0.02620202975522445,-0.012927116142058872,,0.046597183980014084,-0.03861880601015186,0.009094425139268033,,,,,,-0.03421871555268896,,,,-0.04831473319134107,
GRN,-0.0727738787798076,-0.03787680339480024,-0.05296996514978038,0.010153423444814421,0.02611269044175517,-0.010453109182142177,-0.20539630907990866,0.025980551824033186,-0.0083287573433479,-0.12517847165799156,0.005799330729606441,0.005129655787482807,-0.08776017335098657,-0.04361408371073591,-0.02175072226864676,0.06396336440665423,-0.006354124681718221,0.06171079678838134,0.009042596610983583,-0.11927025130902712
CALM1,0.20080432421511166,0.0335655496533546,-0.023753441828485027,0.016514173534747982,0.06382744587144562,-0.061602876922628585,0.17478711830617852,-0.01093928721796405,0.006888727796181406,0.2789048143304161,0.032924087269411394,0.19556282537554337,-0.07136825841910964,-0.01794622484288193,0.05754822057761831,0.017805742510904454,0.011646259402492337,0.0016921981047596484,0.11222540978463773,0.07441941200096344
ANGPTL4,-0.20521680758396,-0.01590817302124256,0.03137082452095058,-0.008698434335966997,-0.08008501217733834,0.03402408860272881,-0.03503185709670731,0.013822523037130816,-0.008930622204426475,-0.021654287163672667,-0.03487921668025499,-0.051843276589958597,0.12861983385490675,0.09590312543339924,0.025278214143601433,-0.02816638051311416,-0.043280153136720526,0.05390921680342618,0.023186060267704006,0.04778667831130571
BMP8B,-0.00041095462656816323,0.051011699565115406,0.06968094708156555,-0.018607154965848742,0.061980894577662544,0.03554131639137271,-0.03871891024080446,0.05545381789757403,-0.028581699657881425,-0.06803126125626278,0.06352094469002145,-0.046531756405046615,-0.014675827709581337,0.040059646654404445,0.013308011963473672,-0.08905264072614134,0.0042615619937067155,0.10318374820187894,-0.00959572199612612,0.0664707295810896
