,UKF266,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.20728792903918702,,-0.004841282671373257,
BMP1,0.08858382477841763,-0.030114669924584805,-0.013353010118362388,0.06117852595093239,-0.02485308932916135,0.07012524821200518,0.04374142517554249
NDP,0.0045307246600515515,-0.01561079845275941,0.07625697049992217,-0.017787952450471878,-0.007876223477604034,0.07771857450228535,0.07164473579406286
TNFSF18,0.05734816419022991,,,-0.025660717209407546,,0.015674506569988002,0.12273383666795507
RTN4,-0.0784409548116257,0.05574382511991449,-0.08793325726488983,-0.04974621593231125,-0.008239992914383074,-0.05428230894602085,-0.08828528505746831
HEBP1,0.03705311250524143,0.026727567258714738,0.06011248645616494,0.04822495880586242,-0.017802651411129595,0.06903488503015014,0.0026537433264806243
WNT7B,-0.017488219129923998,0.061655620275966,0.034989246122426494,-0.03538550783665267,0.018682914270159105,-0.04172259916498426,0.04808574103159717
PTMA,0.11384053943178998,-0.04322504837036264,-0.042929944798717555,-0.09042341474593077,0.060815042901909866,-0.05841122776650587,0.01435236002675174
FASLG,,,,,,-0.02029130780166998,
CEACAM1,,0.008119126275667035,0.08906713329096161,0.10033852930443372,-0.016848516936443063,-0.013451724310472766,
PDAP1,0.04047629679471982,-0.0076808152214400864,0.004575852298648799,0.0214329118247563,-0.0012516412628683824,-0.011839488183965291,0.0014832506327600407
QDPR,0.0033627210714677015,0.038746771112346125,0.03348991441228843,-0.05802517121131568,-0.033953205597385024,0.04766987907435436,-0.043330898201689644
POMC,-0.028423690570712444,0.017632860327889868,0.060071661559421674,0.03743100317858448,-0.027561960391953168,0.04332066632505042,-0.05303722507614465
CCL18,,-0.027495104446151736,0.15159282001921687,,-0.029162821487346384,,
CCL17,,-0.01796587935297696,-0.022230507854607503,-0.01784252586171587,,-0.018391791410254127,
VEGFD,,,-0.015399751345296819,-0.0028608608714123566,,,
TNFSF13,0.0005900292627315271,0.04454222241104508,0.009296117861669183,-0.03518011403099235,-0.01891975528930525,0.02779975928295926,0.03764846462543706
WNT5A,0.07761979732266303,0.011113740756984285,-0.028552494500201718,0.03993894350878274,0.03671746335917097,0.04651878198798691,0.02890424485697841
CXCL8,-0.012146933993251438,-0.06979219799630061,-0.018388590325918358,0.14235806693292083,-0.023138011407190393,-0.03882841104382345,0.027200152652722333
GRN,0.032790687937773254,-0.009238825330883138,0.014971927132284615,0.0656355514372652,-0.04041540114995438,0.01744276054359728,0.014430074468878805
MIA,0.154189873590403,0.06676681578054061,0.15649704628970712,0.021399769908457853,-0.062349675718942926,0.1262179276032814,0.12369795785586779
COL4A4,0.04359077883253531,0.13019180794193014,-0.024657409792196005,-0.01009121078376545,0.013414434618391435,-0.012984640994053652,0.02522993724263505
TAC1,-0.06258167636439799,,,,0.0593535626149309,-0.006590033353859627,-0.04557400337650256
RARRES2,0.11627171078978013,-0.02600239582577265,0.03295116147541502,-0.0171615601644207,0.031035064425257494,0.01791749997498347,-0.011495665436581447
FGF7,0.030986515842958202,0.03102067160861224,0.027958958450152862,-0.07007647309276786,-0.0175595666350006,0.06555779812979759,0.016366645512020606
EFNA2,,,-0.014636433054956832,,,,
HBEGF,0.12714279471914558,0.051590287799211924,-0.019591898825168604,-0.015960402362039355,-0.01476889081716435,-0.06943192205824815,0.11098564012819749
CSF3,,-0.06747538561408185,-0.05721681535397853,,-0.024154650513326825,0.11254180109086653,0.08276312668501765
PI3,,-0.0831412535415939,-0.048192232586328335,0.11569874359607883,-0.028829335403679504,-0.04207092860949895,-0.016194019692096866
PCSK1N,-0.00910611182236576,-0.010596936300810617,-0.038420089960855025,0.002887250104071095,-0.039648291544124116,0.056232815910113705,-0.036513139667958
NTS,-0.02174187221744862,-0.04191252635137851,-0.017831716217815763,,0.07637871415579905,0.13724064073105666,
SFRP1,0.11650138045079202,0.07825306482140762,-0.03267490647509955,-0.03215105660925663,0.051362957972262216,0.0012487817793291603,-0.03334423922944052
CXCL13,,0.04771698119104143,0.005394513158311521,,-0.03940126147023438,,0.0870078372394863
MICA,0.002736718660999912,0.14247817951019803,0.06708691244736321,0.01144584867791825,0.011055929368398363,0.03554813217569943,0.06176160748407958
TG,-0.025095851985072873,-0.023872161932839062,0.03479045704617633,,0.13134179289251155,0.07769008287118759,0.044640946700880015
ADA,0.14177825207674388,0.017076228714928393,-0.004134979972412245,-0.026339897503040874,-0.0033771701695943525,0.02618533781256957,0.020687225974001848
LAMC3,0.06069155508589161,0.010022475232115972,0.021553407364614814,0.002741802981209578,0.0477557361975481,0.007309605231409493,0.06605432019704645
CCL7,,0.004875095562927111,,,,-0.020291300586323127,-0.00625100211859266
NGF,0.021516356875310522,0.02424692126875232,-0.01443969477057573,,-0.041468256442964986,-0.04659510560821526,-0.01390854529819357
TNFSF15,0.00951283949861196,0.038714991775094985,,,-0.014999623284592666,0.008589399570955768,0.0192372847768009
HMGB1,0.069349737621145,-0.04760904097605683,-0.0027137888844846513,-0.037845425193045915,0.05507470569105928,-0.007564601538632679,-0.0318778426527661
ITGB3BP,0.10906132147367409,0.015214014932027,0.03345285643727614,0.021965048708060222,-0.02431415878083808,0.002879144165402776,0.004569520163688937
AANAT,,-0.023622324201021325,-0.019696674677977796,0.027135610751092106,,0.09580743611194897,0.01475139163370712
RELN,0.03754885396877613,,,-0.020610311000023328,-0.018117919383693993,,-0.0038279516767799437
IL15,-0.020690962887225467,-0.0009988561909839038,0.12874945901254425,0.031154731199753746,-0.00608529873230275,0.08931088225637886,0.04004777466073903
UTS2,,0.19334917710152816,,,,,
BSG,0.006373376884651034,0.0012649933596510256,0.07251063146575726,0.049387538781994825,-0.04759051845981743,0.018866042400683434,0.1373628479617167
ADAMTS3,-0.010921276231811166,0.08431911502575024,0.013217005648107995,0.03633147805528346,0.017348056875856666,0.07864278527920568,0.01765355102234118
CD34,0.06585987994282654,0.025519625000233068,0.07946837136220987,0.09293880009385411,0.03464735076308082,-0.013266384194998603,0.010125408677873425
PLAT,0.09092363919660679,0.00427138948986759,0.0067173183269397165,0.010041768552859102,0.017210416398487367,0.042210532033946604,0.058293510927674055
NTF3,,-0.03840209168264248,0.01338899580470463,,0.005913598266651092,,
LTA,,,,,,0.0284516125144353,
CKLF,0.11803942123352651,0.0302075313415659,0.09180373229810034,-0.04641970084075954,-0.013121882121118639,0.09311087898949016,0.022751265290672545
CD24,0.03909300959557019,0.043374096012352585,-0.006508158043406382,0.07162745257885024,0.04704783629540235,-0.003966115631959156,-0.035744722722409715
HSP90AA1,-0.035781843980931524,-0.14805750708581356,-0.06526494768260324,-0.07803767772689237,-0.005956559404349852,-0.06745158776133414,-0.04621425643584015
BMP4,0.08486812271032967,0.03560350406947193,0.04496527808238163,0.08923776242961433,0.06437542666607533,0.06502463694247156,0.029429320182072206
SCGB3A1,0.11674837353306139,0.02582126379498383,0.10515804047419633,,0.08501240483118891,0.05790413214280495,-0.04099987750304609
IGFBP4,0.14013932293850917,-0.01582772257563265,-0.0037883920637201106,0.021969205963430997,-0.019094533664811997,-0.017783990323197163,0.04812599565488537
RSPO4,,,,,-0.020977852175417505,0.07534570742795774,0.10802397316257667
LEFTY2,0.134602101617857,0.014194724640701739,0.1507007873660803,0.04451628116454801,-0.02852849303896119,0.10259327110708709,-0.005931715197660089
PF4,,,-0.013415304222334676,,,0.03144152012857486,-0.025330280982039245
ANGPTL2,0.11800532751161624,0.061510101262336546,-0.006594429101773387,0.05757004577929936,0.06423859992806015,0.047694425575832665,-0.027489934726419894
LRIG2,0.08041507634021668,0.05217049350444714,0.043322195399597266,0.007186756885135646,0.004674700142416726,0.08251570328956315,0.032429314194668754
ICOSLG,0.04404672739607188,0.035324523704873205,0.02496217846063966,0.0724159051676858,0.0020109276786817614,-0.012110934444497146,0.03209293123470289
WIF1,-0.0897171565025055,,,,-0.019500945551797676,,-0.046480524403493935
NPPC,-0.021673050812568092,-0.040196725229475504,-0.00878871791524953,-0.02477625340639664,-0.006461085643767296,,-0.007647475608485049
LYZ,-0.03892782372177423,-0.008326951852490248,0.0795562850197201,0.0071169234556091214,-0.06179666485355719,0.011407236477034125,-0.048757404689145696
EREG,,-0.023384316829899467,0.005412441444039229,,-0.0261282685725487,0.0343098044895563,-0.029162657070134008
SPTAN1,-0.052330667261949584,-0.0062914234025618476,-0.026775982585969072,0.023185762757397203,0.054986007042999295,0.07662058457513662,-0.011183358136628942
PTH2,,,,,-0.021172028161699743,,
LIPC,-0.03208637799839646,,,-0.013128070907198608,,0.03318954041443153,-0.01438046577396288
COL8A1,0.1002666944388504,0.07732624425476774,0.13059249643618234,-0.004406158255708579,-0.051272262250866264,-0.025859034076734795,0.11103918900067332
GSTM2,-0.017496995213332454,0.054415382416263626,0.019568873844767954,-0.05998082165966602,-0.002367475903250314,0.15070026917148238,0.06137727941525248
SPX,-0.009373698606414666,0.0231015147849762,0.05632237300594074,-0.010723008876485647,0.03530561751578791,0.0945134029743335,0.016540631484577354
MFGE8,0.07324239036051537,0.03283620885426593,-0.016175202846435203,0.02661634359408596,0.025412207519145698,-0.0012476812418080244,0.060631602445852244
TGFA,0.07829669635825798,0.03281899631169774,0.07605277199710031,-0.05876192519045156,0.01234429768847758,0.03809775624090336,0.08275184896100085
SLIT2,-0.005525022567940606,0.048312875348015795,0.012777642657124262,0.026109955586112135,-0.01922313232823948,-0.01438745337789128,0.027822603674330117
PLTP,0.08144078451541903,0.019558407082948183,0.042428802406583095,-0.0034820079195513965,-0.030863445937845943,0.06284938785727509,0.021851381683439856
APOD,0.005547545988459233,0.10624205562479598,-0.02312365921263266,-0.02088489882900622,0.05683689785964982,-0.05527987941305271,0.07805669632763503
B2M,0.11361845159278171,0.05412401833507971,0.11727873389551699,0.058304028811095907,-0.035051335510829916,-0.04496722061937993,-0.050955205212277095
OMG,-0.020986522813493433,0.1331388982165075,-0.06600891898941225,-0.017886457255643782,0.05361441433503442,0.0992325329278378,-0.04169543387563014
CXCL3,,-0.04103426693524837,0.05433254605088534,0.04205365352904185,-0.029151806745974403,-0.0006218266299008838,0.059860406021924224
CXCL10,-0.028282202229413557,0.0386667987456547,0.07113038773866735,-0.011298710480820595,0.024719913123555003,0.046347228877274244,0.013066911257407665
RSPO3,-0.005495264387857493,0.04605002303757912,0.029857829979849943,,0.0007968458567052077,-0.00023146032320234795,-0.00319107624826743
CORT,0.010555621598551487,0.056808505396854975,0.10119567629106668,,0.1627079937588863,,
NCAN,0.08503409012555728,0.09590665863857098,-0.0009933724476479243,-0.006518222807448582,0.046201291788008136,0.07684957195265078,-0.0057039994705305064
PRG4,,-0.029492201022727104,-0.001548286009558841,,0.07082969614227319,-0.02007094617150476,0.18733476156837847
ZG16B,,,,,,-0.025675636722585812,0.0701872638736662
TGM2,0.023076214931046054,0.04068487844565448,0.03622827999069034,0.12428762626209347,0.01814221034641644,-0.04720470973158262,0.04869911919167474
VEGFC,-0.02526804720807578,-0.021809258416089636,-0.028127905354235108,0.061116985888564145,0.0534658598893014,-0.04328951589826467,0.07615987804623102
WNT6,-0.02122255258424647,-0.01761245557078036,0.0668707490410015,,-0.014601117173845591,0.09002720907584222,-0.02232891862165052
NRG4,-0.02598032759735964,,,-0.030266696427315092,0.024980024868210812,-0.020591704632733146,-0.03357926882134029
PMCH,,-0.02736914923813663,-0.019696673979494022,,-0.01594955159407187,0.04440195966658699,0.037101003859032415
COL9A1,0.11013323457942008,0.1153742056424365,0.04080533116463888,0.03604263981001919,0.04393399945971758,0.13794134643545192,0.10078584841923663
