,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.020044164851540088,,,,,,,,,0.07819765746729575,,
BMP1,-0.002122196969114968,0.0476341734409297,0.014808048661041687,-0.04239625239693229,-0.02258456419981368,-0.04223503484107953,-0.027485122476128873,-0.07978370167686565,-0.025795878655807958,0.027786396646724987,-0.01803938976321423,0.07327421445289188,-0.025301723213257236,-0.014808761592653125,-0.061534487131223,0.017886000369442212,-0.01616773245151716,0.013742860046271349,0.0569936600914532
NDP,0.08541098495832931,0.021462806833003892,-0.0017097780285663445,-0.01999080999748555,-0.0134113935465454,0.16543468784167054,0.05590714332154348,0.009116611701404882,0.027262550789325855,0.01855494237704396,-0.06182591647130704,0.012087897064984112,0.002329160806391181,0.07697496792257202,0.10049459680924694,-0.03899730151703762,0.023079700542294128,-0.05501756909551797,0.025082938041871256
TNFSF18,0.08116064022974288,-0.010491344534770755,-0.0277342187591086,,,,-0.0056598189001562695,-0.003932627390890996,0.02327701443232838,,,,,,,,0.029511477223933595,-0.044315761655479353,
IL36G,,,,,,,,,,,,,-0.018982327477831067,,,,,,
RTN4,0.09682102727861222,0.02498988832234828,-0.03053125438121862,-0.04887966641787266,-0.023326572904352246,0.08650817989076044,0.03915648466125584,0.12393948271629343,0.05959994124102804,0.07862454820004992,0.15462318306942047,-0.019763287289654315,0.03968935419807587,-0.011023872027407441,-0.044853735280794726,0.09137747297464258,-0.030723630538336173,-0.07210574296597098,0.08360408892136018
HEBP1,-0.010060678853775904,-0.016892025097225042,-0.00947834944875707,0.07223749654003957,-0.02067788657744298,-0.04534379961589851,0.012088559471098761,-0.06377440896673897,-0.009602694934939265,-0.10263155011433972,-0.044571446387100956,0.051093820849962064,0.005839191418826306,0.036588741836296505,0.07781488645848736,0.05557790205995685,-0.019590964800855246,-0.02785672932159068,0.00630970474861385
WNT7B,0.19756044849237261,-0.001599702098116397,-0.01722763696686439,-0.046102319213165446,-0.02158298024581044,0.042690618788677616,0.02027244442605654,-0.01565370589795258,-0.044736046803227916,0.018343931927331858,,-0.0064778291239219465,-0.004318920410890911,0.028196552079052833,0.043347741622918275,0.03808317257988889,0.05726886225604035,-0.010247766226429289,0.07450044634422884
PTMA,-0.04143985679571696,-0.009259072681485406,-0.04769567420054465,-0.0033732926459807606,-0.05413756479054684,-0.05693826574444785,-0.017866979901465494,-0.04102728176250751,0.0721070058721026,-0.05186620942238428,-0.14433683033201408,0.026827757916534307,-0.08344907523871843,-0.07228326414259646,-0.012166967259222582,-0.01655099007973035,0.013848316312250556,-0.05929973067062324,-0.09982363254315482
FASLG,,,,,,,,,,,,,,,,,-0.015026694220717765,,
