,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.047795848316410046,,,,,,,,,,-0.031117216842437796,,,-0.023228213759853907,,
BMP1,0.011401515786411161,-0.015126953207706115,-0.012303999941950616,0.009215826142983137,-0.01868801547970474,-0.04187842512789904,0.008338143519973766,-0.04685856144881116,0.004691338340134694,-0.03127172615190376,-0.009442615648462205,0.061187017143148704,-0.042643109094394976,0.04654135992279774,0.030478580478942,-0.03295060825595981,-0.016765498446368397,0.028338627506677684,-0.008371966588387172,0.0694307756550047,0.00564683071775518,0.1090815068773426,-0.03544083224156553
NDP,0.03275247752745772,0.07230401517043585,-0.040924028000591334,0.05422639181983682,-0.008396417688076559,0.0987590691321547,0.00827838767917851,-0.036031269017325604,0.0178897679795313,0.038296765539612275,0.0643806564816831,0.044856225676603106,0.014850001244869654,-0.05724097927060582,-0.01622883571443261,0.04499386609804926,0.12290816373227775,0.011735570859766554,-0.0005454516005515424,0.021445101626776878,0.017268782584478642,0.031468610860258914,0.02818892392470588
TNFSF18,-0.038589321086172836,0.037656278878807126,0.06940940833741653,,,,0.011748853646536862,0.012696770345171794,,,,0.020374615307834756,,0.00903481148565584,,,,-0.03209063647847404,,-0.033140151486892235,0.04673110562759364,-0.028501603515998147,
IL36G,,,,,,,,,,,-0.024685022155737094,,,,,,,,,,,,
RTN4,-0.10322326628988877,0.050224772996060575,0.007935695952640463,0.01568309694537084,-0.03314745005889074,0.11185448582233018,-0.03644010503969481,0.041568509522174606,-0.041612229360385715,0.02129527875793821,-0.0037298442884151893,-0.015681769974033227,0.01596997739754358,0.029857282790162778,-0.09242317222942768,-0.0010084420774283298,0.0003364092684385053,-0.0492973495579801,0.10135333068737935,0.11267520219952992,0.0521295609546507,-0.09799957671403084,0.03902246544399324
HEBP1,-0.01584265038517143,0.013976282841543699,0.031178370187102008,-0.07277480976289814,0.02434561396632501,-0.020843666049450513,-0.0005229976089776553,-0.02072100286652233,0.009587956647591026,-0.016619747882070775,-0.0041377823145262544,0.00046336109426327896,0.02302467521959766,0.049217374004485816,0.028710337073172804,0.0225436873909146,0.020517451310015183,0.01025763721135977,0.049943547640704175,0.041628016251674206,0.043574301507728286,0.004059964656305539,0.006887255839879839
WNT7B,0.05219971214346011,-0.012484981180741024,-0.014405733494114949,0.10446367654730229,0.015574146326847884,0.026843749672100983,0.05346967339053279,0.03076461831037214,-0.03215759778226745,,0.02208167774329783,0.01227449840231869,0.033879724639186815,,-0.04217649992302486,0.019222877726053876,-0.04440795492208572,0.11329951664725878,-0.04528366846478503,-0.03314011712304463,0.0730651861238319,-0.0021208211870729896,0.0485716638595074
PTMA,-0.054739049173449045,0.01692416048728487,0.00674462675399744,-0.008989377751035017,0.026588012385256266,-0.07653654129872178,0.00967328232252734,0.007421157082507896,0.005863136288508993,-0.011398482429379244,0.04231215211667789,-0.030462095368868777,-0.10808583066564288,0.0027810138408966415,0.04012548712629147,-0.015261269025631281,-0.01065674088556769,-0.07807891359268893,-0.0038788524764703193,0.06359077725263558,-0.032111579572845786,0.05290184476229155,-0.1423420992890252
FASLG,0.025722069810856427,,,,,,,,,,,,,,,,,,,,-0.02014582186950166,,
