,MGH258,UKF248,UKF260,UKF269,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,0.05798203293986681,,,,,,,,,-0.02111009409018237,
BMP1,0.015697529889878454,0.10680347338194933,-0.05413514955349959,0.13272058118761526,0.022319131516693628,-0.026554230914782838,0.05176771705986197,0.06843546109603085,0.040055665487145675,-0.009800401221071574,0.0450889623808441,-0.0035737144293817562,-0.04888236698262025,0.04370887676163519
NDP,-0.07511486411960917,0.04386082364848089,0.05095058433492153,0.03516504960632944,0.009983442414024012,-0.018123196891176502,-0.04085859317790501,0.07124845844632008,-0.11913568322360883,0.01288805263673348,0.05929167762599891,-0.012955661330345078,0.011070298340814458,-0.055253982904970356
TNFSF18,-0.018998236517261798,0.056431499661031094,,0.010773692910747656,-0.012622089446573373,,,-0.030975989463603165,,-0.04352266035869172,,,0.0733180407350995,
RTN4,-0.029998569696102158,-0.0007142130220396006,0.012196886192161647,-0.12686744116044332,0.022753593438535932,-0.017488993104649433,-0.03303783927166233,0.035795696204361016,0.011321686315985523,0.09437581880740542,-0.10735327431559967,-0.003726757742494138,0.03854147673367991,0.051537162077050246
HEBP1,0.05292770801535949,-0.004847467177894283,-0.037556688872266916,0.03382234108172671,0.042894270357577265,-0.003760796124380501,0.008354593413931239,0.06765221814772046,0.031279275096958624,0.05197530048527273,0.011418705676523346,-0.0346259607233386,-0.03907876788555543,0.013371340193863077
WNT7B,-0.016736851330393054,-0.011100998098130862,0.05818821546456673,-0.01481670249551771,-0.03618004443778265,0.030596135682710787,0.06302836684522431,0.05222384567793861,0.01970624595386389,,-0.03761166535595334,-0.03732251807387855,-0.022549790605297507,-0.028343099328428975
PTMA,0.03834963094518426,0.05804956994248129,-0.020614165317467653,-0.07269935345874769,0.01839748242988684,0.027530941591432257,0.09882812432640366,-0.04862322833609781,-0.017341264835905434,0.12955905798694095,-0.04375023477539315,-0.015794418271279115,0.06456471091780729,0.030855855781835355
FASLG,-0.01673685606185805,,,,,,,,,,,,,
CEACAM1,-0.003319628630712475,-0.01411903730486398,-0.018242958752033512,-0.017658727772268262,-0.01985153968813039,,,,-0.044493121790676056,0.0019294216413733266,-0.026535769213592,0.07441348458699808,0.0011958443593106643,-0.018811727237824684
PDAP1,-0.029070934879882323,0.018798856630383713,0.02061148546377098,0.07151360241468396,-0.01134574828604659,-0.006785520368658249,0.0535367134099374,0.0038968810110597825,-0.03065088429052364,-0.029317487723198983,0.01635907077405434,0.08612037725133996,0.012547457353159127,-0.021598369264543227
QDPR,0.013612730445011292,-0.004639035718645539,0.053574268769543715,-0.13919557787123835,0.016482151480185992,-0.016073760454015318,0.04949566054571257,-0.014456236198826446,-0.04663284574789003,-0.0867643046484187,-0.05089502029826238,0.00728821671846309,0.055300576440645725,-0.03268540166552234
POMC,0.00543551488114406,0.11356529756001127,0.0033551877632566176,-0.01947874435475398,-0.014645674462481979,0.012419006594900825,-0.015334059277598667,-0.023401470431338948,-0.04153131518343593,0.02991471305517486,0.05402885779458517,0.006956174082294625,0.014253831349284981,0.01833477341172233
CCL18,,-0.01761922453296594,,,,,0.100496255646861,,0.021761763934903623,,-0.030436548094066547,-0.02499956246595605,,-0.031855433578636454
CCL17,,,,,-0.01574220298520926,-0.02761699758118784,,,,,0.07490443477673983,-0.026101090965796724,0.10156876161505668,
VEGFD,,0.07938531712960734,0.10578932999048567,0.07483443489818635,-0.00046230758596259113,0.03497325566120828,-0.01931166728105787,,-0.04298083187758249,-0.017143767720800087,,-0.018081022410423,-0.029354633349194255,
TNFSF13,,-0.013296036452287824,,,,,,,,,0.013256927000152527,-0.028370993511911705,-0.02984669212864162,-0.02112430887842518
WNT5A,-0.014926428721755274,-0.011649877249760634,-0.030295438714493535,0.0800304932218918,0.0238599138996594,0.054649885356428375,0.085749018836681,0.10176433609555817,0.06167382846420208,0.029898943992580005,0.022359567574819626,-0.0154873882930588,-0.06439220110674573,-0.0009239645151977734
CXCL8,,-0.029857878772891113,-0.03542196808053101,0.026953212760861423,-0.012634466519017762,-0.01886457329337326,0.02104869005534889,,0.13199447073451478,-0.08033566005761916,-0.021314135948174356,-0.006925608505371794,-0.011614388529404298,0.003893083941845099
GRN,0.030824085349675245,0.09960782741723036,-0.006810578254072468,0.11624730180396972,0.007293595715803863,-0.013729232742875234,-0.010090887113175014,0.08586484850779295,0.02822836474067061,-0.03311208982096284,0.033143333782349946,0.005068406212194661,0.029742717725571383,-0.01612429820797034
MIA,0.022066399591497282,-0.011561737313390639,-0.024476677070888943,0.019467905168184755,-0.030941508203853517,0.05423980322325122,0.003824266048985765,0.06753715015059297,-0.04503266069426103,-0.06611221228017837,0.024694743191462334,0.011575929712089456,-0.023942664346272846,-0.06970365836567838
