,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.007611290221460479,,,,,,,,,,,,0.08466549128208462,,,,
BMP1,-0.03393414138882224,0.01027112845553478,0.026922492614618022,-0.030977982271729612,-0.027888739957331127,-0.012837834865676743,-0.056540919021695696,-0.2802084675198965,-0.02213952424680957,-0.02022853355817755,-0.008964138812572152,-0.013405727162342484,-0.11426955486988095,-0.054374250158984956,0.04825539306644479,-0.022214239561385834,0.07696724181433608,0.020543557572335554,-0.04268874696037638,-0.0444589339583298,0.019089752864273595,-0.01852202574552546,-0.07353661043173508,0.05077428480657492
NDP,0.009963862834048766,0.0946547740773081,0.061569569262922924,-0.010684867932431914,-0.01071309475258863,0.1614651730108683,0.042082763329092616,-0.05335150095631578,0.010631256981754501,-0.007498194599298088,-0.024276723717745568,0.03181753755613884,0.017739876985201734,0.018326158020259466,0.043506850488439844,0.14213209323402623,0.11106207857888016,0.02303432566814972,0.038701750461116374,-0.014510694168156207,-0.015678769170501945,-0.042740326958397835,-0.016816769496049287,0.06849408789646312
TNFSF18,-0.04068639527864004,0.055159867105886766,0.029573650833454247,-0.01783845700766323,,,0.026303171699551132,-0.07540252843924386,-0.026141345108566433,,,,,-0.03498234569871708,,0.07281985296202324,,,,-0.023412952427457733,,-0.06398196848763903,0.028626538941218964,
IL36G,,,,,,,,,,,,,0.02613544173548693,,,,,,,,,,,
RTN4,0.010860865327103855,0.04171055039450205,0.015737666004928028,-0.008928434362801373,0.041520874186592296,0.12992288656683418,0.2230891787316676,0.3292845614338891,-0.009089785886675913,0.0921933270886689,0.05508285087576448,-0.010178133327270786,0.19344113382611733,0.14102611755578445,-0.04175243457634614,-0.0301201628580145,-0.11446295003903031,0.018035542203292627,0.014460243689528475,0.148628755178954,0.14264526892542198,0.07599816711778608,0.22438114891290226,0.0767250596720469
HEBP1,0.03261312238150057,-0.015280447959751487,0.02996697179929666,-0.057688720470355184,-0.010424755263625718,-0.03916909006755168,-0.12765638693052556,-0.18103192260502074,0.06870940684704126,-0.006697082486906889,-0.0027005173498546664,-0.08000373336912002,-0.042823833050339086,0.08905419771759986,-0.10407156454049495,-0.07336871723359811,0.038275739279411136,0.04059801931585629,0.018143472712771995,0.00806375644778625,0.0385070253851233,0.020195512267445596,-0.01858966038292565,0.035154529062226665
WNT7B,0.01772266684071058,0.07984820157320605,-0.04045434274551,0.012752056364381517,-0.043818561857252566,-0.0005805503568887732,0.08042688254674435,0.28173101800728156,0.022594238869949643,0.021708287825914902,,-0.010208462836041196,-0.01871272548194958,0.009909278902328587,0.05211304619564795,,0.03716798656777667,-0.012970354792068097,0.012353608013594142,0.02694378616383015,-0.002726298093677693,-0.02572609033417682,0.06212591387009506,-0.05167748266576468
PTMA,-0.0022601599215683553,-0.04727966748871161,0.04828659775724018,-0.007732821214105108,-0.030581196299292457,-0.0473390501812932,-0.24894045756860683,0.1108445817141541,-0.0813493753157551,-0.08209176224726963,-0.0298595532285066,0.051519200962911085,-0.1978242940729788,0.0817841751435952,-0.06769001928944793,-0.06897836076075908,-0.16484461723842453,-0.049269694666302724,-0.01818937861963404,0.1379176344202497,0.0018306709528719098,0.10936571380785298,-0.12309518455117335,0.0274010040432766
FASLG,-0.03584345003999382,,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.02847522492427106,,-0.027132062162875857,0.015476308137262928,-0.017130881268892627,0.018478280658063236,,-0.09081711256014775,-0.016665937835901732,,,,,,0.01059315673125607,0.07907955240828121,0.1371259887073005,0.024873561825146585,0.059092713203676435,-0.05922620784811053,0.026812165810150515,,,
PDAP1,-0.07494175136052318,0.00017576688447874038,0.048807441596740594,-0.0434321718485406,-0.008007172957256812,-0.0198127770536594,-0.13512323998797118,-0.2086773514810615,0.05641704259267781,-0.010348583468149751,-0.05891365742651413,0.050085967299819116,-0.07807169293697411,-0.03736672460762309,-0.09686208514757683,-0.03761986056403006,0.08356755201531843,-0.045335897116049184,-0.05464338825188343,0.06882929247781486,0.025056008780333188,0.021576906715327058,-0.025693360697833515,0.0033316879546142165
QDPR,0.10285120999046972,0.033148007447579744,-0.003782145230179013,0.03275631641116427,-0.028873043476072,0.15259292579878245,0.08414833218446362,0.09160787494399819,0.0038304204251824996,-0.0016682877349468727,0.01325279725630894,0.07378275819053579,0.07295631186228967,0.022470216451388327,0.06985038675850158,-0.029454697300531546,-0.08781330109182899,0.0483631340884788,0.04652590143216679,0.08638240676247494,-0.018698985481259332,0.09136952823310147,0.12128850479560783,0.03216533843140431
POMC,0.013745214613796639,0.013040904339082341,-0.009100608679992895,0.0408525224444344,0.011282750199603075,0.09526740635610392,0.026882789375085314,0.03315207045391984,-0.02817416675876877,0.004856236878421277,0.013942896810166423,-0.02285734514917419,0.004137982048352808,0.03369232818649106,0.014443288573084481,-0.08403853376516415,0.03227890261542798,-0.003051560044112679,0.04541342969510714,0.042240538118862296,-0.05876402623342617,,0.05972147032479685,0.05529739586333203
CCL18,,0.034773503142443214,-0.05784687942397092,,,,,,,,0.10446729617477372,0.06888822593254916,,,-0.02812252700473591,,-0.06020611048175818,0.002654930921864698,-0.05703417045231925,,-0.017472616400624804,,,
CCL17,,,,,0.021978357200193966,,,,0.025121999927164393,-0.019684231061518113,,,0.05585395574969479,,,,,-0.023050107860387647,-0.0415009016624427,-0.04338671659683259,,,,
VEGFD,,0.002199341886867168,0.03198430572584477,-0.028564145247678776,-0.021822670681555963,0.0023597306625579213,,-0.022397633638222825,0.02164007661561382,-0.018226055613452533,-0.010545232953512883,0.04711716362329514,0.04072904859610871,,-0.019730063322906177,0.03120531381096059,,,-0.01485629569343408,0.020208706896899725,,,,
TNFSF13,,,0.00562777493276307,,0.05280088683073711,,0.0021891307811537763,,,,,,,,,,,0.09920184873839699,-0.01684293189860689,-0.04914178891431231,0.016316269547146378,,0.047261068035891,
WNT5A,-0.046236588722926124,0.024794204170298838,0.01291303774522544,0.004075714705503151,0.03136374570463406,-0.08654117204441515,-0.12191004795287257,-0.20622170675964915,0.04134479895194689,-0.01401531420296189,-0.02280726147477138,0.08831927166968799,-0.03896657587783492,-0.0009296304602781569,-0.07264155039061848,-0.03376599991492376,0.15068164397451494,0.0545963192391256,0.014770809276602332,-0.0052013193766033425,0.07782728620178815,-0.003922303534916839,-0.14671759337073934,0.0285371832353871
CXCL8,,-0.11064737278358842,-0.03716648927020719,-0.0249699242023787,-0.037891346134806284,-0.10690025799113839,-0.01672264599128809,-0.03998143314475298,0.009961299039810982,-0.022915966668214553,-0.039372942794413265,0.09426743594520408,-0.04908122400922719,,-0.025037943428972066,-0.1124043779138959,-0.04406320741536261,-0.08531105221942571,-0.17222584627262247,0.03379041368994846,-0.06571660749873481,0.023390153407379044,-0.0477865239740449,-0.0672398518351837
GRN,0.08293268516514646,0.004580292785069598,-0.009336444309695931,0.03292886637123883,-0.04491894844208689,-0.11224095303800151,-0.1302685150807725,-0.2638340941414946,0.005936811917596879,-0.01697433284989122,-0.056977375183121265,0.0006906888206735367,0.042839054098964165,0.01296740832802985,-0.048698865796084005,-0.08657654597614511,-0.028820555143094003,0.01138411758392128,0.0189607501354552,-0.09115981206174892,-0.0637757504219978,0.07474630579577182,0.08560997593773592,0.05160069316079787
MIA,0.0267624000252118,0.006008113189924352,0.028159912373440826,0.007203346589158935,0.024684494148670095,-0.07535475954566075,-0.02489551441430169,-0.09841880802287137,-0.011037793886907453,-0.02111563752565653,,-0.01314726482680369,0.04917827481729444,-0.03385699992479635,-0.06813513253976963,0.06394644141183622,0.07088827127040725,0.12125457090763272,0.1507151395519903,-0.045875671628512846,-0.0329739477982345,,0.0057712566349502024,
COL4A4,-0.04151108264743618,0.03891726304405623,0.0395000027811021,-0.020484172747930414,0.01577596510535097,-0.08629050984264353,-0.03552260425451866,-0.029517591022867194,-0.030582411735297774,0.10939630112567701,,,-0.048341038214031344,,,-0.00034063254420136117,0.10319835205310972,-0.01629701806610363,0.02598334953264359,0.07328412774554849,0.052019034564617664,,-0.04403551549721036,
TAC1,-0.03584343053904747,0.100688210896747,0.10316309480569613,-0.047755556744538484,0.07290422365886781,0.20246541939511434,0.14940228629940586,0.29813769662289674,-0.01932829561528235,0.0464350652863183,0.03635515776239859,,0.14210407438093178,,,,,,,,0.017006267059161327,0.040311469302337824,0.10523868118180311,0.1164649231371024
