,UKF243,UKF248,UKF259,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,,,-0.01799641701851111,-0.0029423837806704946
BMP1,0.012517228319682718,0.05296269616917339,-0.03945088919418891,0.0746201402218098,-0.020536169743532607,-0.027851850991897804,0.010892776497010776,-0.0015544603333173855,0.06061827785530439
NDP,0.04284534080951322,-0.006090432116617738,-0.04383151236384574,0.058379826470386996,-0.016038212963566043,0.0492672639578195,0.09370070589744292,0.016324873926454098,-0.03083301340529286
TNFSF18,-0.025747740679055095,0.0212511977744989,,,,,,-0.018559387215775804,-0.03684872023151895
IL36G,,,,0.03498154956040402,,,,,
RTN4,-0.12602541955693491,0.0002557476239837076,-0.01986130330053183,-0.05425075080689675,0.05276345808058363,-0.039653835951155555,-0.057073657420245144,0.037655730984252365,-0.04978648944936936
HEBP1,-0.07413056141531094,-0.015064633388656493,0.01424449780552764,0.029753190296289606,-0.02375558904393245,0.06094226263855475,0.02854020547996188,0.058504123238390424,-0.009403137784842763
WNT7B,-0.04930983837633156,-0.03223536251971552,0.06560234738643317,-0.015116034573743229,-0.03318916773005302,0.04643229273272799,0.050878211033258944,-0.013339305083149025,-0.028177348002168763
PTMA,-0.04953053522071842,-0.030149299867859775,0.08258398896117748,0.06670531002976282,-0.004282026009338369,-0.06140187865767067,0.009424265424541707,-0.02517148356052171,0.0071515307082712885
FASLG,,,,,,,,,0.025473544335153576
CEACAM1,,0.046952751662457,-0.008006448887971284,,-0.029764577222768557,-0.0187637893835166,-0.016893070930898636,0.031225324172213197,-0.026360879617596793
PDAP1,0.049344119109935074,0.0026147427960018657,-0.013667507034350383,-0.03112185402120853,-0.03236123965699057,0.00109603398582958,-0.011730541982847644,-0.004660053054099978,-0.017504120044748456
QDPR,-0.07142030465589512,0.013691819217077033,-0.0330717569024391,0.020420936673113982,0.010612055364911284,0.006197555745788856,-0.0014925242992701343,-0.04473442406220131,0.006018182926772793
POMC,-0.02334893481017692,-0.011927514803179431,-0.014424103358238627,-0.029465760158764898,0.1311992632777613,-0.0150689981003947,-0.03957443380377609,-0.0064402566339237,0.02603912953208347
CCL18,-0.016781836834297358,0.07073152388134853,,,-0.021103574627536474,0.06758974758400393,0.000879715326132988,,
CCL17,,,0.030643289101952315,-0.012563675042489455,,-0.013312000374670204,-0.02438620842618193,-0.023727236275534098,-0.01717261856124268
VEGFD,0.06592295364010825,0.044090640956323805,0.06002084319217019,-0.013464879681973988,,,-0.016893070930898636,0.014647903032972424,
TNFSF13,,0.01711447491000142,-0.018465632839078178,,,0.04305942926644939,0.1454038046103643,0.13163822583258536,0.002062747513688681
WNT5A,0.005209931026531235,0.010113043460785091,-0.03346345473517343,0.03296678049208548,-0.05584859432464818,-0.01809334227272456,0.02060377658620757,3.350814240669399e-05,0.10045083644392719
CXCL8,-0.09993008628724823,0.050076224415169644,0.18448771396497524,-0.02383681365263262,-0.018824143805863308,-0.004676854255283642,-0.05645727043579892,-0.03368750333873599,0.004213772989062575
GRN,-0.04803062447389687,0.027263402890665554,-0.10109830481351822,-0.0020342491010609965,-0.03158464750930231,-0.033546164651099095,-0.013922307916653335,0.02056609416197388,0.03855357966789522
MIA,0.050609536910845694,0.014012311545363173,0.05474569846710713,-0.01844076978704828,-0.06694427937530227,0.0750197790740348,0.0654972966651441,-0.00131622953701728,0.0015549884468642812
COL4A4,0.1299347353120989,-0.01887074983987402,0.006097451512299593,0.000795830498069906,-0.026681512210138415,0.04165277258024857,-0.011793794681168174,-0.036549889490701315,0.017023035114461734
TAC1,-0.04905074170019505,-0.014327476010282541,-0.016064293091077347,-0.03170168871892075,,,,,-0.0225751532841059
RARRES2,0.01921580863424579,-0.03171516569806535,-0.045268951364355596,0.08103006119600492,-0.016613479844798124,-0.005215365088115492,-0.07790542302476285,0.01033393787051659,-0.016287343821450893
FGF7,0.03617085516885929,,0.020845242256646527,0.004137312331719599,0.06379294660148474,0.02074081808189579,0.0223327790574955,-0.040236895030494844,-0.04057092372873122
EFNA2,,,,,,,-0.016055733383529478,,
HBEGF,-0.011164966770251132,0.09131580183854604,0.06174395380020994,0.03727013721414634,-0.03351533065255356,-0.05570609835459004,-0.020586877359552884,0.008858007578798443,-0.07101242799714214
CSF3,-0.03916467559479893,,0.17036030560189952,,,-0.008237020332195918,0.018446203768712012,,0.028171641010160946
PI3,-0.04639639851697547,0.039865143107360716,0.08286406437007722,,,-0.025247823533148778,-0.06977482122550323,-0.02016015704087583,0.06595498889447028
PCSK1N,-0.023988569713342137,-0.04062482268210337,-0.0886807422955919,-0.03610550356564225,-0.03637831874243877,-0.0599365371533867,-0.041806288127062184,-0.0455922766732203,-0.03447111080431662
NTS,,,,,,0.026128090722338244,-0.019560864336891744,,-0.02677418956195629
SFRP1,-0.050517469114315615,0.0585494398156717,0.026374645699789586,0.021572855861546916,-0.015220528432300302,0.016932242500828632,0.027452988257626713,-0.007289716161622062,-0.02615202522738951
CXCL13,,,,,,-0.029901482184002105,-0.006669759296298393,,
MICA,-0.025894799581038522,0.06586727588774664,0.05362936905743693,0.03148267922159901,-0.026726617603676648,0.05130113489979338,0.051249662637660634,0.05242578254249524,0.048898398181135276
TG,0.04064572910619687,0.003757002288881555,-0.001982932111411958,0.05182951138405925,-0.03436155346413635,0.08153323463681593,0.009080989546825185,,0.05017956059623798
ADA,0.052756348692447476,0.014854443468851763,-0.024676638308156848,0.02635929748609659,0.030557288414912027,-0.06345377336018086,0.025655477379869368,0.03134156357627672,0.015571118680786856
LAMC3,-0.08149791535634181,0.020414869867628263,-0.02985062710225431,-0.03576486664235137,-0.1085743316563089,0.01838898519924739,0.042335637889641176,0.023214259521639156,0.030534533095737004
CCL7,,0.09115600782398776,-0.018224781040600983,,,-0.019951620137266056,,,0.0024008578804911567
NGF,-0.02256388292475459,-0.027587521868696303,0.03589467872503939,,0.058218241236348396,0.05210661352915886,-0.01583991731492209,,0.07301354856993157
TNFSF15,-0.0279143392273702,,0.036044648400759834,,-0.031672205170978504,-0.01945058926011892,,,-0.03240771481454504
HMGB1,-0.07808639828497478,-0.07659257210898059,-0.12137946063955828,-0.005103876354771476,0.046164637464735266,-0.009330001292726002,-0.048227841785601196,-0.020216550255433598,-0.10246062318726488
ITGB3BP,0.015666290767026286,0.0003527132416557303,0.0273099532348778,0.06442378008405057,0.06394147917768349,0.0772845934223038,0.037960931308896426,0.027302243667608705,-0.03048429886040787
AANAT,-0.04044219234968682,-0.023311854821473875,0.09191677104002446,0.06342524573235597,-0.021980257597181967,-0.01750320050782655,0.016128683417370393,-0.029349830053789935,-0.020045881586731495
RELN,-0.03890501394235693,-0.03626254019912989,0.0057761395080024956,-0.018657690592845277,,,,-0.036703772213050295,
IL15,-0.03967975137073117,0.016472657679432522,-0.0357898971130316,-0.015630349204753258,0.037622010781160044,-0.03206658046593782,0.013821578809734274,-0.03654988485886595,-0.005126990146740262
UTS2,,,,,,0.014431722333244678,,,
BSG,0.17251222959120294,-0.050897939598300516,0.017863519156529277,0.05735659710523829,-0.005327792441246317,0.02908769553038636,0.010080580751512828,0.004133271668410987,0.0029227718928551707
ADAMTS3,0.03208107736434335,-0.04546437382960029,0.013359091524331299,0.012653476833606202,-0.026319120789645878,-0.04382549678298005,0.026388824627164874,-0.045475630123013734,0.06806828936560705
CD34,-0.03780424672987593,0.018245684109150305,0.04324684009625905,-0.03619738446670034,0.029378325599322175,0.04454040074319729,-0.0004255812426099764,-0.007356678679177016,0.036651021221359825
PLAT,0.006618402062001413,0.029822266141926335,-0.11646664176641468,-0.03771127221550799,0.040475091193694725,0.07134687631268793,0.08140665329631185,0.08034716776780051,0.011012151339947478
NTF3,,,,,,0.007948445989868654,0.05255866613262246,,
LTA,,,0.052359260683841724,-0.01563035113417086,,,,,0.03591689844789887
CKLF,-0.019525817596961387,-0.011132651287562466,-0.0696280681047423,0.0131531939935729,-0.014133319196022167,0.04851460588598854,0.04222892924285799,-0.0316112734944739,0.07993672050760042
CD24,0.005970610002545187,-0.011153668365066169,0.0822108037536466,0.03802790057043956,-0.04447870219730084,0.012217878364732225,0.013111419827778277,0.011252615844792712,-0.014683264772980162
HSP90AA1,0.006168091217079516,0.026829736648872286,0.002509087188872578,-0.041794227881221876,0.10885602475408453,-0.0343793112357879,-0.08948284600300004,-0.021141437937648642,-0.04069253236003974
BMP4,0.03468992369065689,0.03650777994099615,0.08207992001341911,-0.01331867353815036,0.051307653272791354,-0.026640843871306476,0.10122533435050243,-0.05190942587838482,0.05093176969220953
SCGB3A1,,-0.016067744332837735,,-0.01090665231867554,,-0.0002434370324261094,-0.030734799673673596,,0.0258194796391648
IGFBP4,-0.049506925954664584,0.003787424313381227,0.016411038345720247,0.03825091758064597,0.03500023478697336,-0.04226106824209617,-0.028451832720548225,-0.018440693013665542,0.08319327788987019
RSPO4,0.013875899402527984,,0.014377133658499871,-0.021681757737862125,,,,,0.048612013749756454
LEFTY2,0.006751122503583231,0.06478557000285201,-0.01014073934796202,-0.019295493921087897,-0.02808890638603948,-0.01693666615397823,-0.018461208703127,0.011981862602549428,-0.0034760441069551316
PF4,,-0.01666770549508034,-0.01590076240832855,,,,-0.014716191236210869,,-0.026978729385802005
ANGPTL2,0.05681792416411849,0.04448296575190769,-0.05162833405633323,0.08117309922183971,-0.1571362790970323,0.0680143535165838,0.02363622596589106,0.028588602245038595,0.007177114507131878
LRIG2,0.10454563895764277,0.04372419609970733,0.05190989003098552,0.059465524569220295,-0.024496769554217028,-0.04353847510589353,0.006797766226140782,-0.011719040450016588,-0.01262010566530791
ICOSLG,0.015418529624697235,0.0115663420887408,0.04399600519547729,0.006311468520058331,-0.05991770309543566,0.02433746968117376,0.0304949405679484,-0.03889750360749339,0.013931083024176564
WIF1,-0.04621264489193654,0.014706645705604603,,0.0015992357057968759,,,,,
NPPC,0.050232810893641726,0.009229462495401075,-0.024666003725497657,0.0929380621520737,-0.026319070242198372,-0.029784170916556156,0.06207246343681004,-0.027844429178228835,
LYZ,-0.021185094214142674,0.04646535891081244,-0.017483219789363364,-0.03568045111994532,0.009504784376777627,-0.0027824872119974454,0.002690252147563502,0.005151672729783444,0.04844878379838043
EREG,,,,,,0.04331657306723801,0.013293143288538638,,0.0031819900856365512
SPTAN1,0.07326921190637771,0.0010154734146792014,-0.11010997808690329,-0.020574038684860727,0.0676442840887906,0.016108200428271706,0.09901183354331186,-0.031428778830466166,-0.031968000858994594
LIPC,0.0705937674000563,-0.02040565254555978,0.021935479123432987,0.05753082669756312,-0.011732424692520437,,,0.06432488737784596,0.10426848870100161
COL8A1,0.038790839376281465,0.04926961221964997,0.018250755163906993,0.05948674052453979,0.09960569608633868,0.06890931804033833,0.061240597093315044,0.03890193883346314,0.037427583339722126
GSTM2,0.15371610853439627,-0.01267782068185333,-0.042131526780009455,0.06043073768695728,-0.05243682368079098,0.05187942137648776,-0.008723188146609185,-0.027189162642801013,0.03666720839866313
SPX,-0.027141346474063126,-0.022775914663392786,0.014793091957876288,-0.042560784342114744,0.1292786312163907,0.0228545333301698,0.02571588627772502,-0.009656221900726951,-0.018834486951067993
MFGE8,0.023475518287769923,0.04623986898618342,-0.006118484392918495,0.05635663228214409,-0.014065879864084084,0.03656479767050513,-0.013824006207882973,-0.002375354302388172,0.06295803169176745
TGFA,0.09928304099155444,0.018559197250954396,0.12411239194690186,0.0724983914638097,0.062020451732666806,0.03148775588001863,0.018103240169487448,-0.027157823129862806,0.029321515600023728
SLIT2,-0.05586050317723073,0.015408050673218078,-0.026749226760415603,-0.015770340590459946,-0.029764540855667536,0.02450213281232707,0.07992751397492902,-0.01728829678425852,-0.013007649411176514
PLTP,0.07127962882430341,-0.06140385514653625,-0.10113974252822087,0.06203333166533832,-0.06119766795106904,-0.03947049923641138,-0.02841049544002119,-0.0038456453580129712,0.05444189066461097
APOD,-0.06157676124618251,-0.05292495490445523,-0.04300703984189304,-0.042544652361845216,0.08021462842876419,0.06028083967170141,0.07562225732804496,-0.017128900886616,0.03524273099500567
B2M,-0.11836112750367336,0.10463758845600162,-0.06252214151270236,0.03992498633016915,0.050136856791532014,0.03455517085746286,0.016563997178180044,0.02544812666930768,0.08460065305942267
OMG,0.03224609982384165,-0.06794377012533717,-0.09321267410068235,-0.014183323853292238,0.003923043645255947,0.021232218682715777,0.08696485972970266,0.01784477310120676,-0.029357636414088614
CXCL3,-0.0066321278735407075,0.06038478500940264,0.16279015072969477,-0.011256683260452602,,0.01084743161810577,-0.04035356378327069,-0.020668164458060006,0.03497053417454718
CXCL10,0.0005495321214766803,0.05267317293330711,0.040192149213925894,-0.01788823195946559,0.10127640083640392,-0.02060260733705059,-0.019738678619922734,0.008685217734141755,0.045040801952997755
RSPO3,,0.07302233940376648,-0.018465633445478673,-0.011763017055854972,,0.06938818223626196,0.005922556508480438,,-0.01922669965444019
CORT,0.0616783657595073,-0.013952994303105199,-0.02035659103955054,0.014732422693749761,,-0.0035261264666185963,-0.01539974616202919,,
NCAN,0.07208644711235301,-0.04270433986775844,-0.10304629934774297,-0.027796421859271177,0.06392657103724754,0.009675919146416391,0.10597830595959092,0.06721237411025038,-0.07019786715396983
PRG4,0.042077900766230095,-0.009511202293333375,-0.018224783880662575,-0.013752911436744552,,0.017802652673493086,-0.022723267834844817,,0.029530305357093358
ZG16B,,0.03816535724102002,0.06350465982902895,,-0.024434687648203342,,,,0.06133311327396248
TGM2,-0.03143318095235785,0.11266135312550994,0.030076595630475676,-0.018226795301588012,-0.004979112751490038,0.0028194935947529155,0.0015496101890996317,0.01629361282036881,0.05466293131318384
VEGFC,-0.030262831368347922,0.012776156264232123,0.0028682576740538058,-0.014035394310368043,-0.03167220799539952,-0.025676588945081635,-0.01777945960537551,-0.027261649493280922,0.08524246500184106
WNT6,0.06751459679890884,-0.012632027882858915,-0.0014137036725642583,0.042294024916089204,-0.02323739082216392,-0.02978417493497501,0.060871711704931254,,0.0015064441782859663
NRG4,0.012591900049972465,-0.01479895810932198,0.0044763112946786705,-0.016373924540280926,,,,-0.02189071077603946,-0.019226701809294505
PMCH,,0.002971590434969234,-0.03073309912277965,,,0.0675196994807386,-0.002376345966417126,,0.03437297462914356
COL9A1,0.011008900261579857,0.03398689163307492,-0.023165804447390515,-0.01865769774925569,0.04512088255690017,0.05499707573733874,0.046105073147330894,0.045517095616774854,0.016007699728351664
GDF11,0.004842382314961586,-0.06028093101691759,-0.005593157922606129,0.058760487048222634,-0.011580007716661829,-0.04318782304313856,0.008520867296058955,0.04026405895117584,-0.015557371766320794
RAET1E,,,,,,,,,-0.02109155527539474
IL24,,,,,,-0.01511986812153059,-0.014481549048936213,,
SORBS1,0.036356795773722396,0.03347121239468779,-0.08623558353648049,0.005238649229659272,0.0074490179810492805,0.01287363465499108,0.03982456221524008,0.03725473332781904,-0.046816022470635016
DLL1,-0.04334264024882402,-0.024390714064958404,-0.09129000629407535,0.03860243249962266,-0.0005276012435317591,0.008274072850947611,0.07109866740876988,0.007194786735903085,0.024349123809676795
TLN1,0.06258328222425716,0.032136017350216,-0.02372144995018081,0.011609061017745236,0.025233848399773474,-0.008288556419186325,0.012579925625676676,-0.027809608429057737,0.10439600399733595
COL2A1,-0.029277187604039204,0.002289353703913835,,-0.01142784454038692,,-0.03305401381409412,-0.03774334683586317,,-0.027981346442258304
SHH,,,0.11906067943772744,-0.010906651365366232,,0.02265563862723184,0.04426078858183381,0.027818467061293133,-0.03760534981881282
PON2,0.0603284315857768,-0.003675848592320783,-0.18726400695713497,0.028154462413400607,0.0014444787344138827,0.022113033456918604,0.06551993526043469,-0.02632876443552448,0.003255529067016432
ICAM5,-0.03954542238314299,-0.04330591562681168,-0.009245004957039662,-0.021300100972264126,,-0.042264190384821716,0.05406964484570337,,-0.03140408510342315
HPX,0.031191303442335536,-0.01332986573425479,0.04128716666896188,-0.015585943670406803,-0.020898853327871093,-0.015224738090797493,0.006712713169109337,-0.02934981803456616,0.0036520246888678597
SFRP2,-0.038117204198063734,-0.021362108910082868,0.0060482973200418405,0.010139413095657567,-0.0604195480446601,0.034407283128241505,-0.0020117901044593746,-0.003540646990773518,0.08227510035610995
CD70,,-0.012786948426185956,0.15519809784101815,,,0.06029756395839812,-0.06982534515479372,,0.11323072078239226
HP,0.03217585613762952,0.001125399524485049,-0.008406894033879933,0.052432616828176105,-0.020181386320754953,0.03134124507283374,-0.014388943447453093,0.11501696173749515,-0.01445120523986142
CXCL2,-0.06211997074694804,0.025476481480366835,0.11811212677830789,-0.02158688440563317,,0.05179117164379846,0.03344659732645966,-0.02288983747802528,0.03664285605120282
NPPB,,-0.004084784009881743,0.12176750968994922,-0.014035395331202521,,0.005703535766144176,-0.02202019219226443,,-0.019503347703510976
CCK,-0.024353587807693117,-0.03849109083802123,-0.04420599300428944,-0.061419903847672555,0.014399384329043691,-0.038252905731448225,0.08375746806849195,-0.024243016552942323,0.056961629595204
SEMA6A,0.12344492906902593,-0.0016487565219221346,-0.04785821713471088,0.08560018992453539,-0.019992391263230613,-0.04559922953617474,0.047513095363294296,-0.03340087052755183,-0.032875217928672415
IRAK4,0.0872874546104578,-0.020320348362152785,0.02474333400562403,0.021988844160265236,-0.009790684308272485,-0.04258364355367877,0.041928620446718905,-0.031294690755742635,0.02359894817230798
GSTP1,-0.013550126249840425,-0.05437685954578231,-0.02419663960162161,0.022628169930088867,-0.044020098060256675,0.04827368414458723,0.05437227569068159,-0.04997057480452955,-0.0010199655511275022
