,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,0.014752222480235168,-0.034179771205749346,0.000743685921530904,0.024414646308499297,-0.009923075174572839,-0.02813877313725521,0.04691267689902815,-0.02688987064086058,-0.0025476676430702494,0.009704862500516406,0.06585009120279459,0.04083053644977954,0.12993981712537514,-0.027276734157075717,-0.015016643392320466,-0.03055701031356543,-0.051847158167693336,-0.0395818826002791
RARRES2,-0.03610648628582266,0.027858772566794334,0.04943595013821403,-0.046752442661153575,-0.004930620881991673,0.046583698220974155,0.028088671195575215,0.06493851660319316,-0.011769251153949665,0.04537420828002306,-0.004836261709425314,-0.012125655137844884,0.006396123992470374,0.031906351885135624,-0.05634929910296718,0.06683887744527767,-0.03201056908220954,-0.08366015212015902
SEMA4A,-0.008061295414971496,-0.046575454734424405,-0.02188864703419789,0.03508605857103449,0.019084158315194208,-0.02345778784981179,0.0012979536626996086,-0.0038738717469085334,0.049320093742002975,-0.032482022371747334,-0.08307762546990853,0.08712776617399827,0.11099855327863613,-0.008632242451301118,-0.035052608751096684,0.017934957959002424,-0.04151117294455685,-0.0002883134178862709
GDF11,-0.03449492314241435,0.04206168190239844,0.006289132865823519,0.009639585268321803,-0.01338573925377579,0.015674475173638618,-0.039389020641037845,-0.04558671960142353,-0.0370600114355846,-0.008957300613126416,-0.001399232471785909,-0.046383159680090075,-0.004696132136845501,0.023894666117320364,0.007394335935411737,0.006502165099578219,0.0842053224327473,0.049663813381089016
GPC3,-0.01812188724017946,0.03898654591900505,-0.01650320896106664,-0.018281503382432063,0.01490717399863768,0.10234685037379654,-0.0008565920099191652,0.0058329309060830515,0.03081744017174982,,,0.04161630562222054,0.17032918371962386,-0.01609532425061615,-0.038054759829049954,0.03151998319656471,-0.03540756931127912,
OSTN,,,,0.0007894614502838262,-0.020986859537648447,,0.03406267929430166,-0.016648632223109878,0.0940667092435955,,,,,-0.03592186711994624,,,0.05528308666349182,
GRN,-0.045344704386315215,-0.058486240285102804,0.009756033965747918,0.019214249416509437,0.017895596633481805,0.06434905776209619,0.0019986652946451843,0.02457054577866696,-0.02057206108976705,-0.03630800492763436,0.0052361228872744685,-0.04070062595291617,0.02701491059031675,0.009015976426076083,0.05475247560018602,-0.07399246767506366,-0.03813521451438499,0.07497335027733176
CALM1,-0.02772982855519331,0.06272052981242432,0.04812879431029772,-0.027098560995202768,-0.015616953345576284,-0.03610690723756632,-0.01263171481650202,-0.031581238570003785,0.015794646417289684,-0.01837088667113164,0.045060400063112765,0.020584653561244122,0.010297853912875,0.03458414979411959,0.013127736893850292,0.04661791813469182,-0.029288968417311045,-0.007694283626499576
ANGPTL4,0.09032043498571277,-0.015165064422852424,0.028607395524575894,0.049089967514536405,0.03523160610293261,0.10944407845591474,0.0417113776565802,-0.011213960329475865,0.019170663644781743,0.02499185056645024,-0.10355345347835003,-0.08050628367340729,-0.08433638405067845,-0.026621627179460653,-0.052988068302277744,-0.020591634598336017,0.04172839579799504,0.01806364459285579
BMP8B,-0.07112477221919498,-0.015346485701817176,0.0062853772968133265,-0.018054782016825484,0.025270046399785067,0.05471440450033265,0.019670937519060117,0.022296341282501877,0.046372720898544634,-0.026605875165109934,0.029594205090801056,0.08566733258311625,-0.013734013040878195,0.024105441481025006,0.03961613364536436,-0.0015879553009814735,0.033615107605831376,-0.037611000456906414
TNFSF4,0.042090854961439966,-0.02425989644886299,-0.01690692772976477,0.024299224279530823,0.04630624736033634,0.04883738824812594,-0.007436039042421974,-0.002585525431335822,0.033934144957522575,0.00689616764601717,0.019186246154637952,0.04769871868114604,0.09184166228869405,-0.0041827932838927225,0.029157943914886932,-0.016198066233383743,0.023075605094218535,-0.020127237204789747
RBP4,-0.020879555330973163,-0.0034902060500999754,0.015068580209833466,-0.023306903397679483,0.08465317481442058,-0.04894739341768217,0.008817546317938308,-0.022655212702026892,0.000766644977206659,-0.037372900856586774,-0.06528849431856162,0.09349311894085516,0.14071190046495624,-0.007124185729654083,0.0077820346880925475,-0.01130023036840572,-0.035804158195636586,0.02395879409221447
