,MGH258,UKF243,UKF255,UKF259,UKF260,UKF266,UKF275,UKF313,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,-0.022429296387602805,,0.09506883073224817,
BMP1,0.0089452757151351,0.004166390692335012,-0.008459410781172336,0.01608550283383858,0.04317038335908669,0.019182698234826066,0.0064361715814670135,-0.009015428141123437,-0.012658748282784018,0.03866636948554091,-0.012538145234208419,0.008409107194438076,0.03896697855881859,0.02835906696361075,0.03217654113352309,0.02504798263657926
NDP,-0.035171030906338434,0.014893556624868428,-0.05523687078715463,-0.028686560145038162,-0.018235683751185564,-0.04136681282081933,0.0013061764603777173,-0.04234631319562971,0.08434953151672722,-0.0006174990183745925,0.039430497246798125,-0.03496075084731599,0.04241042810777974,0.021774792645648855,0.04987230765333165,0.023193374091872953
TNFSF18,-0.024504301592237862,-0.02731102102344183,,,,-0.01221319133418012,-0.015563757139973147,,,-0.02106241755187716,,,0.019387726753182198,,-0.027381362862104946,-0.036428829021980545
RTN4,-0.030580345297303906,-0.019924207173714358,-0.04230587482726213,-0.011871158345448602,-0.04461784543871248,0.024312262020587446,-0.02083415684798481,0.05766788787649352,0.009886749272181087,-0.03335091955921633,-0.11209548066392569,-0.0063809222203988145,-0.09588834536401394,0.03979125727527473,-0.0010125609542339107,-0.08544137758973519
HEBP1,0.00951631357618694,-0.07315899502869556,0.02592540285822433,0.005950903507160111,-0.004082407884687774,-0.031663207542692175,-0.015547190172412344,-0.012160253449945433,-0.0662056490542455,-0.0004137145231667538,-0.02897341695668853,0.014988469935576095,0.01816777907951536,-0.016022805133480873,0.0533532692261208,-0.02566375368486527
WNT7B,-0.02158752220669321,-0.005882121696018845,-0.019665021731575145,0.0024873096068683377,-0.028537760348636906,0.07800661189820572,-0.007108433613451182,0.03986111789403733,0.01829137652962738,,0.006250068923186729,0.09051939991315303,-0.04836866148180157,-0.038797397869544246,0.02613270922233083,-0.04657029283939101
PTMA,0.017838938226376097,-0.021305417009642138,0.04712475475591108,0.013409350678632128,0.023223740513413277,0.01294836832696244,0.0006460827618067795,-0.038099111328540804,-0.01977196789080948,0.05455486098107017,-0.03383133795700461,-0.012772206300187945,-0.053050741082031304,0.008318651111306478,-0.06365052116465836,-0.013817345004458758
FASLG,0.021172383534249085,,,,,,,,,,,,,,-0.02702587197618424,
CEACAM1,0.0015028621009505804,,,-0.029241380381168015,0.033606716069318504,,-0.024478082164476885,,-0.05637344558661308,0.03352957529337838,-0.024697621865533544,-0.023187180510348314,0.029612584005144615,-0.025750397223749263,-0.03760253147678157,
