,UKF266,UKF275,UKF296,ZH1007nec,ZH881T1
BMP1,-0.05575774133651438,-0.018031311714967056,0.05598908033389208,0.012024426659954785,0.010975068627863164
NDP,-0.005785651513187777,-0.04364546195207372,-0.022646337002199927,0.13087511389191686,0.06367088341066197
TNFSF18,-0.005484847692649926,-0.012358478409238519,,,
RTN4,0.137425097012628,-0.05709969339022174,0.0029988502571139893,0.021744152710438308,0.018866878996871585
HEBP1,-0.06289622409496615,0.01927033180318992,0.04391234202206872,0.12359085438605122,0.004848290017716631
WNT7B,0.0927402973107914,-0.01993848182105975,-0.00687472857705146,0.030661129319445764,-0.020366667203300704
PTMA,-0.11069646372359908,0.003993164336835259,0.0035036302275796806,-0.0950122943655812,-0.0010336116564007443
CEACAM1,,0.009016787898873136,,0.020835282404277927,-0.013517653229537588
PDAP1,0.053956595083648994,-0.011429481796522747,-0.03411484159940061,0.06578956651048222,-0.057273143381789064
QDPR,-0.016452609180707543,-0.04059585177608648,0.0538052101977793,0.00245967318380078,0.04616813959839238
POMC,-0.0024635069776746776,0.11826135557906489,0.011991910046644579,0.04560559762416544,-0.022113104928470205
CCL18,,,,-0.051514081637424776,-0.04655136031576174
CCL17,,-0.015413428698160184,0.014896537048696751,,
VEGFD,,-0.016421704592153846,-0.025437782864969206,-0.058036371278975624,
TNFSF13,-0.021299363853268014,,,,-0.015179418589380616
WNT5A,-0.0749549141454524,-0.00454179453612349,-0.01992394556303502,0.1304563492220859,-0.0008498583010154386
CXCL8,-0.03029696362251954,-0.022128122035856776,-0.023688769475429944,-0.0675039689007611,-0.04859443364500972
GRN,-0.04338507781959431,0.008919480474703728,0.03873861199607785,-0.017603154941694916,-0.05354955181307373
MIA,-0.038513357667849225,0.01845421322508966,-0.00848656544146525,0.09888331496541371,0.05564657994082259
COL4A4,0.015964842192439627,-0.016092096431886374,0.06983116222628018,,-0.00011010679652848247
TAC1,0.031168460098468017,-0.06284858526074767,0.03280725733006578,,0.0090873614635003
RARRES2,-0.05736708825117097,0.002900893994233902,0.01414075797238345,-0.0036642917029072147,-0.02655573656685027
FGF7,0.06592744072385129,-0.03668399126238985,-0.030429813409698546,0.005821103375019782,-0.023202751336601917
HBEGF,-0.04885658795191714,0.07127761593063775,0.040812182171490435,0.04552538858934296,-0.0009351576372853859
CSF3,,,,,-0.019379402397939206
PI3,,,,-0.02352975827359028,-0.02936306822734963
PCSK1N,-0.014516081672731291,-0.0028214847609130058,-0.03933403662312812,0.09274433392368175,0.007275989633942678
