,ZH1019inf,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,-0.022429291314868094,,
BMP1,0.05026924691274597,0.1452571044223124,0.01599146396202585,0.03547579472634991
NDP,-0.12647076326956871,0.04206702913692092,-0.002275342908838749,-0.08255938123773765
TNFSF18,,-0.0011660335994645341,,
RTN4,-0.00878754900267544,-0.02208660729112082,-0.0010720685358090788,-0.01908695921734765
HEBP1,-0.014010588596694698,-6.758945573599149e-05,0.04852019090254439,0.06216648060020369
WNT7B,0.04526721925042425,0.09312519568727404,-0.020366673885378588,0.15831859139239754
PTMA,0.019241784742993,0.0012434350973755048,0.043634497849079266,0.043999977699664364
CEACAM1,0.012378146752448731,0.027465911108826065,-0.01351765766452986,
PDAP1,0.014312517310095644,-0.0051340029603251895,-0.012797081462092085,0.006422885134327285
QDPR,0.01606605416639806,-0.0645611538888984,-0.0031503755843761403,0.04648644007508721
POMC,0.08141732299596642,0.09528389547967785,-0.02211311218353496,-0.07436019390990613
CCL18,0.13944482796193994,,-0.046551375588747355,
CCL17,,0.07493624140963559,,
VEGFD,,0.03208142077503011,,
TNFSF13,,0.03144391469141713,-0.015179423569579693,
WNT5A,-0.014599737418586353,0.010474476333170286,-0.04537663715829407,0.018638648380901127
CXCL8,-0.039533463573772694,0.008555141978141681,-0.03738138268989564,0.020779102192457613
GRN,0.02447635024056118,0.07353972925662072,0.009143454197531332,0.0935359861650705
MIA,0.024882842183630464,0.00732475506877745,-0.04775094688507494,
COL4A4,-0.0043843711041015735,0.003089596839615476,-0.027242752328947763,
TAC1,,,0.010384249846113648,0.062475190010362155
RARRES2,0.037561281361072056,-0.010169362474967268,0.009524525163704995,-0.0020395724757830015
FGF7,-0.035822719406484425,-0.06599800654074532,0.053902933889443096,-0.1303260191682553
HBEGF,-0.04556218440784106,-0.01977165074527985,-0.010794780156052664,-0.09018777811975073
CSF3,,,-0.019379408756106446,
PI3,,-0.025126003401576148,-0.00602144195708836,
PCSK1N,-0.02286225305836331,0.06929750638294482,-0.02188814511818157,0.024701760197983494
NTS,,,0.009235780344943932,
SFRP1,-0.034297833504041954,-0.05422804882872665,-0.0032871789490007018,0.01202609846629495
CXCL13,,,0.05015292404006959,
MICA,-0.015006431986010208,0.08294860380381207,-0.014443171199673213,0.050457046006787666
TG,-0.0365600485117244,,-0.01594955120152648,
ADA,-0.04193636037384067,0.003928168997030979,-0.008953024823780645,-0.03420955699830606
LAMC3,0.010709797028383808,0.06251694832404811,0.03407539721314669,-0.04696203697249689
NGF,-0.03336777579757413,,-0.010454047319848685,
TNFSF15,0.008654432225593542,,-0.012034280134144542,
HMGB1,0.019348183223968057,-0.031615310007092286,0.011022050101213921,0.02582718937734071
ITGB3BP,0.0029077382474915875,-0.04578433148982291,0.05427043666964629,-0.03285599764806221
AANAT,-0.023386581892809354,-0.0365792750657646,,
RELN,,0.07034956147820233,-0.014536106219093087,-0.04687012897939541
IL15,-0.039533566897988474,0.048894559178529313,-0.029355313048465385,
BSG,-0.06098244000293964,0.07293448647795758,-0.004934059481138107,-0.024710877469547272
ADAMTS3,-0.028003050963911723,-0.012256084499051877,-0.0018470374783731579,
CD34,0.048196433965979,0.06584226552102661,0.03150772013711866,0.06966587030549674
PLAT,0.03282072574197512,0.07866860003620484,0.0023179211290598935,-0.05850040420466053
NTF3,,,-0.02462439502702608,
CKLF,-0.069482088006374,0.01887993598344172,0.02702233239832691,0.031653027651615685
CD24,-0.05729649317831521,-0.0421117519352052,0.03315255570055638,-0.032241248044007215
HSP90AA1,0.04184704330865002,-0.022009381489837894,-0.03225233373283101,-0.0007777002766228735
BMP4,-0.031435744758965704,0.047416479636952384,-0.03285167170919512,
SCGB3A1,,,0.007146503414045685,
IGFBP4,0.04033793280905785,0.08073901141239075,0.050459131216381806,-0.07690198037563575
RSPO4,,,0.07334955820273721,
LEFTY2,-0.029886069650102178,0.12480494830814874,-0.022888566634103626,
