,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf
BMP1,-0.04544758793672697,-0.003126146331117007,-0.008640640921236205,0.012161782915387621
NDP,0.014690586367896444,-0.0037377307425128592,0.05293095545794098,0.05568670522705999
TNFSF18,,,,-0.001098236993304888
RTN4,-0.06013904149726057,-0.0034667536934268727,-0.007245467546488392,0.04624924713243989
HEBP1,0.04566120880407283,-0.027888051999973996,0.033958207002028874,0.0401730480828357
WNT7B,-0.036736140582563054,-0.03178788401209902,-0.020366673885378588,-0.0005031464854127558
PTMA,0.013997243495931627,0.020035649979647206,0.018365067828166104,0.04062802509398775
CEACAM1,-0.020585071463445074,-0.015399749879281405,-0.01351765766452986,
PDAP1,-0.01059641075224581,0.0546400135229452,-0.0161900903035886,0.062038824516711555
QDPR,0.03512977525413673,-0.0425319904971977,-0.031189802478203323,0.08267481416081576
POMC,-0.049426165773472294,-0.036076115745043616,-0.02211311218353496,
CCL18,-0.014067390359858394,-0.037605169439507556,0.035729710972750864,
CCL17,-0.014604111857848885,-0.022230505738322217,,
VEGFD,,-0.015399749879281405,,
TNFSF13,0.03777033919738377,0.047934855997048754,-0.015179423569579693,
WNT5A,-0.041889296134577335,0.0035113749352121593,-0.07470961136062627,-0.04225690693813685
CXCL8,-0.0234047900825528,0.0016927157225638805,0.003709601813654229,-0.11648892531164712
GRN,-0.003563259405065219,0.025101868343357474,0.03731654096797109,0.11464317054117963
MIA,0.01945742262885265,0.013742712156063618,0.047606492431484834,
COL4A4,-0.026997880120009914,-0.024657407444876104,-0.027242752328947763,
TAC1,,,-0.006816631377036296,-0.025741011871875174
RARRES2,0.005924024111885648,-0.043187211276166614,-0.023289321531564385,0.06646983847380639
FGF7,-0.0017955489128346676,0.009043932887733676,-0.03924504451535102,0.028593205281508792
EFNA2,,0.06912880911390326,,
HBEGF,-0.013304175289805332,-0.007484915020131887,-0.008412672103758678,-0.08911338528558874
CSF3,-0.008449652669092112,-0.04709784371366906,0.038907419842299014,-0.028893866351100212
PI3,-0.02718718979034536,-0.01517495879936848,0.012837441786035962,
PCSK1N,0.03135867585596279,0.004900967076834312,-0.05804142248653454,0.027597663305960304
NTS,-0.006046187688865111,0.07210276338067269,-0.006703070351848125,
SFRP1,-0.004042883564207422,0.018119435029558144,0.06328867939596051,0.06313500489578106
CXCL13,-0.03280382949519418,-0.02668545217138004,-0.03161184845612294,
MICA,-0.04408662420718137,-0.05833410317243743,-0.033453027385422274,-0.04806543404179525
TG,-0.019405213421857644,-0.02196170573103182,-0.01594955120152648,
ADA,-0.07613433201241569,-0.030479008586305232,-0.027868516724708976,-0.06415774142506102
LAMC3,0.030538717101497314,-0.024037590543507528,-0.0718205474471283,-0.03904955212990088
CCL7,-0.021888197418050516,,,
NGF,-0.008544453310596474,-0.014439693395955152,-0.03327020987398998,
TNFSF15,-0.021338534650010347,,-0.012034280134144542,
HMGB1,0.016308432418175176,0.04483698722057463,0.01073260827482671,0.05538809751377127
ITGB3BP,0.031053378676791744,0.025637120234548325,-0.006632569068539271,-0.014914199268253018
AANAT,-0.019202125217262035,-0.019696672802906698,,
RELN,,,0.09017495608286881,-0.05238518931530106
IL15,0.04494921028181904,0.014724860720715318,-0.029355313048465385,0.13617829581730495
UTS2,-0.01635201497973352,,,
BSG,-0.047057929233837274,0.0168710417539017,-0.04115002003108508,-0.021959980936558085
ADAMTS3,0.04813924166276725,0.005845375009868397,-0.028222093820032206,-0.03513466375758059
CD34,-0.0067673018440489235,0.014305051383741746,-0.04775295244223965,-0.0014317263405025527
PLAT,0.04633702230302148,-0.028383952368663593,0.028057619479093486,-0.014910530090218024
NTF3,0.015013187861239388,-0.021183110806902095,-0.026204610985706034,
CKLF,0.03239800615109735,0.009742860801163536,0.008018323389642023,-0.011110864710652982
