,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916inf
IGFL3,,,,,,,-0.017553689347494503,,,,,,,,,,-0.014719728503960406,
BMP1,-0.008189293422273746,0.014189758327658,0.11275441523486425,-0.027516640125535726,0.0060997488172268525,0.06897457276128884,0.09376190168172177,-0.030389075996438576,-0.039937235625709507,0.05637776875899311,0.02879497122056022,0.0038989929909729374,0.017321042870979877,-0.0585349272710182,0.030834680106144336,0.03263050338603467,0.015481978025899564,0.015821769862048567
NDP,-0.004658406214764397,0.058716789994432986,0.034515283818961864,-0.028493276291113392,-0.03321215113144583,0.03317231470657531,0.04067134678830231,-0.0019479482711055982,0.01239596699067036,-0.01505050153644797,0.044697104821742766,-0.014118456387860093,0.10651051967043022,0.0670982551855724,-0.03989917895189706,-0.0010988550640235282,0.004948619071271083,-0.13413621222450714
TNFSF18,-0.05461157821029625,-0.009234447143352963,,,,-0.01978691152586162,0.08006674369474326,-0.011674764661574738,,,,-0.035828956472533396,,,,-0.0025031929727659386,0.011360366188235452,
IL36G,,,,,,,,,,,-0.01956200301224353,,,,,,,
RTN4,0.016722678882920495,0.05236877195065055,0.032374090505485696,-0.03816166446896061,-0.019631475678316638,-0.09780856365752594,-0.14271916617104521,-0.028916135424410117,-0.008650907745809651,0.04451962357339814,-0.08978814849409034,-0.008296910985044316,-0.04633873681207791,-0.0334132908914418,0.06898990631167841,-0.027318617716387602,-0.07516682442084606,-0.005272874145017557
HEBP1,0.04462221463583832,0.012525478593211273,-0.061221226750953636,-0.020095253221733524,-0.007896131257234894,0.014797194900319855,0.01655755464082162,0.06654572334426653,0.01544070210234385,0.042288091469127306,0.04242994230809586,0.0443682847239276,0.04031988142125047,0.08242696872467038,0.02944475714013733,-0.08148652081532341,0.03947418125116678,0.07714483227678545
WNT7B,0.0060977527080075585,-0.0190109430906173,-0.027379919119617974,-0.013949707672197397,0.03277788542598785,0.027420781541591572,-0.039038551942213534,0.01572284042194127,0.011945010731967014,0.039618621567909594,-0.021500895663059506,,0.008240654155820048,0.05750843810054398,-0.02060957234357848,-0.05687023688890853,0.025300692687136365,0.13544971592949676
PTMA,-0.0729200490953449,-0.00035780812575337737,0.03387950095696006,-0.00033114357899470114,0.038480592669202195,0.1779713646291983,-0.07380322140410353,-0.006319746729581728,0.0017565196695277206,0.07251774747727252,0.07175431591735366,0.0897212935544197,-0.11655786794711202,0.022072787082660927,0.031001161681435505,0.06143248067864094,-0.002477671659109639,-0.016144533112585117
FASLG,,,,,,,,,,,,,,,,,-0.012766415509776918,
CEACAM1,0.04474611537713572,-0.014589755390816792,,-0.036588394505522356,-0.02460862689009513,,-0.0343022947952441,-0.01836162348633581,,,,-0.014545027659408113,0.02264378904789962,0.07730844780848306,0.003837614648213673,,0.005241588192983142,
PDAP1,0.08613209849928395,0.026419043355807036,-0.005134974818172759,-0.028609433935288635,0.019739520490717123,0.013500663250461838,0.08224079841024114,-0.03205862575961426,0.07272161569548806,0.014663497107243252,0.08847576192447779,-0.0999883356864676,-0.09672156916890785,-0.07123201712583685,0.023832363055712517,0.012411615087017274,-0.01668142238682032,0.02677585243918562
QDPR,0.03048116282966915,-0.04439246387593516,0.03776919211694017,-0.06123100788621416,0.006927627607743835,0.001775307259622782,-0.11046010201139764,-0.03380228674765913,0.012361965422960286,0.0370497608153164,0.00385119881997893,-0.030936334245039238,0.11839218337708966,0.04520780656669291,0.023522873357857455,0.006210662052075082,-0.004781374338033711,-0.0164514428278512
POMC,-0.04946705405859464,0.0004890547623287866,,0.010189792842458543,0.059971582499697064,-0.008426662477640451,-0.03546254311374331,-0.013546473694648937,0.035279004016357765,0.026882221029215333,0.04893643577743057,0.04273095090205075,0.0038882277322608277,0.11059718513615197,-0.007249459724689834,,0.006488684461700116,0.03791213589548084
CCL18,-0.026672120817191235,,,,,,,,,0.0303630306996514,,,0.032360954462923266,0.021036639007767238,-0.0012944312864151823,,,
CCL17,,,,-0.011084383831395215,,,,-0.01456070453984554,0.06214728336216274,,-0.017870445116761686,,0.05816212003129091,-0.019207895313180675,,,-0.01157132174068772,
VEGFD,-0.01864658135598485,0.011514317893409187,,0.008254507788963125,-0.023544140913304305,,0.13161481229960068,-0.015513199125871216,-0.010784510073505373,0.019408328173979476,0.05116386864922923,0.024223375869827982,,0.034625892474651435,,,,
TNFSF13,0.032812010952583556,,,-0.02156087149934412,,-0.019189176397493214,,,,,,,-0.026154239999649703,0.026646645939666997,-0.006816076073215022,,0.002993754038368239,
WNT5A,0.06241698202655781,0.10919939599105191,0.05374323563813415,0.0407369628875906,0.01344935972841733,0.12198724413244015,0.08930801727907355,-0.010797178611745513,-0.060002952415547456,0.0036679815959226097,-0.012934845348789376,0.015805376015697335,0.06192018148151431,-0.02937115087421562,0.04049312123019161,0.05628009266753079,-0.013197353042902637,0.027494302223070113
CXCL8,-0.026350098072072968,-0.019566616186646915,-0.07545503806737121,0.09742399075926673,-0.028861863991981276,0.00044104732329816284,0.08170602304108299,0.0569986793590299,-0.010043004706535774,-0.03728377342447686,0.053545991325656975,0.09402573389578173,0.01326259762894988,-0.10830855169657899,-0.012700307430764191,-0.10590055291084627,0.0006276452155465274,0.00012152829517234717
GRN,-0.00719249229175054,-0.06250715265602669,-0.0034686813813831424,-0.0387094928445439,0.039518794377031166,0.08952318667053162,0.09400125955813352,-0.05654349861720621,0.03551220841274536,-0.0359678589890983,-0.019400677837860106,-0.018320354855579236,-0.0933408423288981,-0.03474462918600033,-0.035271637004817884,0.041224100481269906,0.04641941814189381,0.06520200674452543
MIA,0.03523134907449123,0.050732124997951614,-0.01300424350960347,0.11991942954338929,-0.024145179237907023,0.029957451974291196,0.017243490801263132,-0.02861925738073749,-0.012265109011938608,-0.026436426019483625,0.02563492331110001,0.0989677909284618,0.21664029833705983,0.12457635537267861,0.024905123354333612,,0.0018564198886825017,
COL4A4,0.02590154777259763,0.05025952796237623,-0.042920906525416004,-0.001314180543399774,0.019904429484837824,0.06267784236249295,-0.017297857926430245,-0.015201826028453276,-0.02060440772829439,,-0.025444039756768247,0.0078197077412294,0.09631297979029571,0.04942998712542168,0.002200933629940611,,-0.006134092585840205,
TAC1,0.02287536926550768,-0.04025453847654601,0.1153784745275071,-0.025745078359615304,0.008857520305521996,-0.10384090486289785,-0.06605630823875668,-0.024002491824818447,-0.015323183019166693,,-0.0450921634349977,,,,-0.010698779941115321,0.039070481016043046,-0.0152116790496527,-0.026207987610970682
RARRES2,0.026089860603543368,-0.02829872442312488,-0.048672440843345974,-0.02158248475816837,0.011388229687525498,0.04900157495028586,0.12273192050382724,-0.015512801526269732,0.0039051609334610974,-0.01346011249415361,0.11051068928013298,0.036446079423902655,0.0422197811954287,-0.032767995114370854,-0.02361414600919637,-0.12173482615056501,0.00883548369267396,-0.02389266980892936
FGF7,,0.005144498466159767,-0.015290958954785685,0.027871391445067714,0.004337017887306017,0.04799425319485273,0.03278025344949046,-0.0022120466203174125,0.0041423579309783675,0.022586712651257577,-0.06343668901643051,-0.0233685805939397,0.07691551161148359,-0.038690274870934606,0.01489193017060068,-0.05843508515196264,0.020743288992423753,-0.09298428861664643
EFNA2,,,,,,,,,,,,,,-0.044100793834027596,,,,
