,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.014158630793852984,,,,,,,-0.02872461190623762,
BMP1,0.07623314487038703,-0.007005603519110275,0.12332668226989732,-0.002394424387665498,0.12629501745701924,0.04286473485627694,0.06724527338221377,0.05785927375309974,-0.006415650295098079,0.08334774046310879,0.09894198304030598
NDP,-0.01931211422146462,0.002617071536307721,0.04094113605238796,-0.0003118990915659489,0.06257172386255887,0.03873819081206734,0.021684723002997126,0.04778102899631464,0.07757935475183753,0.019113024495417966,0.01980378555454904
TNFSF18,0.02629044249173648,,0.16364295226040787,-0.012622088600084996,,0.09674280485814457,,,,0.012167785841238333,0.25274180442314337
RTN4,0.00697259682069773,-0.024145209115635613,-0.09668853717649313,-0.03821078160815904,-0.03929326714432945,-0.04938696733967462,0.05359659879970341,-0.13133260341928568,-0.01272679010320164,-0.0336536903615419,-0.06842363721465457
HEBP1,-0.01055748607033629,0.0012777501085430077,0.024909912128913064,0.004212385877255417,0.046294758477922124,-0.024635945184489937,-0.0024308930937651262,0.014631208977101233,0.0032674831518420093,-0.016305651146564404,-0.0529061907792804
WNT7B,0.002937515854999792,0.04269911080240323,0.014068318437064669,-0.02768923792899668,0.017234296002198203,0.10262007026022252,-0.015975429274792872,0.029254567836644225,0.015413320145185436,-0.0008314390887941517,-0.056573161315701455
PTMA,0.050383347477786354,0.0019774731691996846,-0.0433015414115861,0.008388403936770929,0.10346446438739032,-0.00013740465350865904,-0.09075427713584816,-0.02964161586497567,-0.01062742662269688,0.005109181503708577,0.005214708703452737
FASLG,,,,,,,,,,0.1476359537165335,
CEACAM1,0.025988771846071217,0.04470806062692383,0.015074129662405062,-0.019851538356805837,,,-0.026740873290618174,-0.016893073170700663,-0.013517655829360117,0.014122787390312091,
PDAP1,0.02886582484261912,0.04739047324132612,0.07434556366258464,-0.025957541765619936,0.06715263660070095,0.06133230413175395,-0.006432895668662016,0.01565950181867726,0.05485700574520823,-0.060785411224013396,0.02964965940884142
QDPR,0.010211132652216235,0.014675923379329768,-0.11903062690178944,0.000499868642995674,0.044236315142363626,0.0024227542944036885,0.08016248999433144,-0.001944355480452552,-0.05633085313135973,0.005254073314037871,-0.019959792294887348
POMC,0.013473141882104836,-0.016719329021405827,-0.014368245627754832,-0.014645673480283805,0.07339099178458922,0.07187642059916792,0.07911992509802745,0.0011319464536113275,-0.022113109181438335,0.062045154093737384,-0.007497373527080109
CCL18,-0.020559911177114004,,,,0.036115562835080585,,-0.05497246731011922,0.14562654981851067,0.03869978612123517,,
