,UKF248,UKF259,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
DCN,0.03393571707046023,0.030470662795033125,0.2279699755637516,0.05309250679052392,-0.045349542580436226,0.055378661861508735,0.07646079605951314,0.06286486848430248,0.015313690139946368,0.015260612333625663
RARRES2,0.006274728051532783,0.027462574938223055,0.27601912196918643,-0.03878484568160938,0.025643798612330477,-0.011273987786937124,-0.09342310272149154,-0.05869208273103356,-0.03521286123816358,-0.07726090934999964
SEMA4A,0.012776080341612895,-0.00040868188344197814,-0.08822205240339981,-0.035096734489105885,-0.016685140110565915,0.006271237456962177,0.005216712093445435,0.062067260300494295,-0.01920253809556015,-0.03997743502348893
GDF11,0.0963682291184244,-0.0017585805929680029,0.22752011883062243,0.021432249486031438,0.0031692859620451623,0.03067147208470524,-0.0001817394937479141,-0.00525713880459136,0.03257000078758281,0.05072408689295018
GPC3,0.004951622743030903,-0.011483609101439836,0.051605359376727326,-0.013477034607531989,0.0003742501264355921,,0.07058103298046056,0.05840249612579934,0.002416548062172826,-0.05010688022811875
OSTN,,0.03365126634289686,-0.051355624562759286,-0.02082652460430218,-0.03083577770833453,,,,,0.1161939604979649
GRN,0.011267313021313447,-0.000601944365359537,0.20725325848228202,-0.048374591237375,-0.041670288110697264,0.035673671084247925,-0.020772678349327015,-0.035724534352158235,0.0418901260255176,0.025687557299872394
CALM1,0.13219287376184338,-0.011832049086452263,-0.2760675129807991,0.02572669971658247,0.05362230453658913,0.01766310895320976,0.027015117006593866,0.00619794105836915,0.056950421511099365,-0.06364072380496594
ANGPTL4,-0.16169389056642017,0.03862242655137886,-0.046908200397038205,-0.012402407449872036,-0.028917832188623493,-0.03360147553645811,-0.13595996405282554,-0.06130025819826772,-0.00978703473067899,0.056764110827500845
BMP8B,0.026552271301554322,0.0009880948675767116,0.0059014540482048745,-0.02920309909792816,-0.016631244805773254,0.03899421189517477,0.0296579470841242,-0.0038207171541883565,0.05602849598844611,0.006669789920982869
TNFSF4,-0.022909640378834122,-0.02823786170443159,0.12231957884339037,0.05678001005886402,-0.01009297364025875,-0.025798321056342416,0.0693616527820045,-0.041703930640070414,-0.024438575202462714,0.0511779232050331
RBP4,0.04069913972733255,-0.03048005913289659,-0.1782764777093694,-0.028051345398805393,0.04770612720492387,-0.017112342511074928,0.038483609957441704,0.040690682009766166,0.031379023180724844,-0.00032986779031519146
DKK3,0.10159193138548277,-0.0032513386743551545,-0.22186220696375888,-0.08044088945133979,-0.0031340011871158046,-0.03745369444232177,0.04972200542052304,0.07535286025742921,0.05734727651964855,-0.0006568938265201808
