,ZH8811Abulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.0011003182575314216,
BMP1,0.012353399985843007,0.0012408341599211103,0.08071035629536384,0.08986483419330082
NDP,-0.024608000335280728,-0.014201114670998792,-0.04868817376612222,-0.036736395947044684
TNFSF18,,,0.017244579602603796,0.0287876579247121
RTN4,-0.020812938673032536,0.018939390177848115,0.0037313948545394013,-0.18395266430146945
HEBP1,0.04338936097308628,-0.04140670149511251,0.00902073822469465,-0.007399252180157419
WNT7B,-0.042154389800130976,0.0036413178934594755,0.05545925186798083,0.015048540930512635
PTMA,-0.051467770678086014,-0.04274820037401647,0.055601412473722536,0.11577691495360481
FASLG,,,0.07791386252516021,
CEACAM1,-0.023621183738214944,-0.017163928396483053,0.044353673140984436,
PDAP1,-0.0010577391061907032,0.021646085457381125,0.0006736907240606951,-0.012933790431831158
QDPR,-0.05721101849739171,-0.0760359024554258,-0.0488085716621823,-0.17773834185627707
POMC,-0.01166093644946493,0.07098357181535012,0.09814015232346697,-0.016261421794331477
CCL18,0.11838116951340703,0.05730551643283714,,
CCL17,0.03533819070528841,,-0.015566880068429895,
TNFSF13,0.021478452166521268,-0.01927394121925446,0.007858082702208521,-0.052384268178141735
WNT5A,0.03342880631056942,0.013340290525031462,0.051895537156708506,0.08921878794627357
CXCL8,0.026249379785196647,0.005268408569575712,0.02387357684174848,0.17442323520413863
GRN,-0.04412935808737468,0.03215488632522451,-0.008717870979816005,-0.046341020272206684
MIA,0.06394551455246823,0.017616372874499752,-0.006358877713254147,0.08154454700109921
COL4A4,0.041697002175643885,-0.001672641031294564,0.07209733770842812,0.08916907381021638
TAC1,,-0.003066718670821096,0.05888350077923132,-0.12122801879334527
RARRES2,0.033550487367956586,0.014035055772466071,-0.02102757027862669,0.13306701551034275
FGF7,0.03734300644992712,-0.017687406169690736,0.015144582749275217,0.059754812601591246
HBEGF,-0.05122969410539931,0.0012331334803828897,0.002335523653483478,0.255757685943651
CSF3,0.05432954958839398,0.08071768593113084,-0.016389523237362966,0.09772580993659181
PI3,0.015231927386053161,0.045555784222457596,0.011769191819446665,0.002617981770821189
PCSK1N,-0.06465079465202098,-0.024898907152215276,-0.08549096386796652,-0.1873927147874323
NTS,-0.039094871503235026,0.04731984881907929,-0.024270649019191896,
SFRP1,-0.0195567686197752,-0.03704645223838384,-0.005876724176093252,0.01099206167492712
CXCL13,0.0007038400279378203,-0.04013886997634944,,0.2748243482504447
MICA,-0.008049418084321898,0.027541405647348784,0.05756458867318478,0.11323509568005714
TG,-0.02226730728289935,-0.020251804090095804,-0.031962696489518896,0.023880326247546036
ADA,-0.05927398387341049,0.015126890728079705,-0.004134227440334333,0.13634772410792634
LAMC3,0.05420616056267063,0.03351695106080891,0.08507288231522817,0.04239261339785697
CCL7,-0.025116509011310705,,-0.017174631639397697,0.07963106061894973
NGF,-0.029007557179487525,-0.03345482787475962,-0.0051991719033342544,0.05491612484711289
TNFSF15,0.02739553538071353,0.009127541563079565,0.0026371732100789083,0.1454897080204494
HMGB1,-0.05452730301962088,-0.0861219227402332,-0.008349183195652466,-0.037977101364830027
ITGB3BP,0.0480055263369662,0.018658505287284233,0.021880322688205646,0.024780341007801812
AANAT,0.01706203457267446,,-0.018171476494031846,-0.008591889391116058
RELN,,0.060802329635260104,,-0.05939401097502953
IL15,-0.04036767699532846,0.016705211008028003,0.07446000183935171,0.16809296080436334
UTS2,-0.018763789623574414,,,
BSG,0.010096618290809482,-0.002841172141673625,0.10324228103452648,0.12031732636122582
ADAMTS3,-0.047239177804101584,0.008596339608003614,-0.016771662858603185,0.02903697494871499
CD34,0.03237522350162302,-0.002302113687978403,0.03812518045285228,0.10892956551262534
PLAT,0.019755472402313873,-0.04084503870486662,0.011457366371294684,-0.0037132616119581806
NTF3,0.012484001137845742,0.06121934622472739,,
LTA,,,0.008859106112010497,
CKLF,0.06515057816025017,0.026161841641675482,-0.0008141836841799952,0.035431719644461485
CD24,-0.058020439095961586,-0.00938974394545619,-0.011816301919671972,-0.03440469500001224
HSP90AA1,-0.002812036739931188,0.03747978084933845,0.014476407791849685,-0.16071729819773445
BMP4,-0.0349504568532398,0.0741861773887931,0.06634051970656692,-0.06961868063320537
SCGB3A1,-0.038228388512737056,0.0396519547924945,-0.00047288155413353336,0.0483985038006682
IGFBP4,0.0434274157105734,0.03692811977731181,0.06268545592384406,0.0490266300052894
RSPO4,,-0.00400657940703155,-0.03225499483163049,0.11714130918636322
LEFTY2,0.060474204661775895,-0.02906255865886727,-0.017496612732890923,-0.014304696405644971
PF4,,,-0.02445606319441908,0.016451223588536505
ANGPTL2,-0.01972163889059683,-0.019174602157598787,0.02614438398537082,0.029368928420188845
LRIG2,-0.01050695167567497,-0.06314506541766192,-0.005678508461430106,-0.023041981522394617
ICOSLG,0.10192730998627797,-0.010265661064200512,0.031696466904776,0.0658796857131971
WIF1,,-0.019866011612618067,,0.06311630960493472
NPPC,0.009483262104587357,-0.0022191520510905726,,-0.05017398422090019
LYZ,0.022636785584312123,0.011903106027764858,-0.03064780787315341,-0.029050983602948253
EREG,0.04048995792473315,0.13069286107192032,0.007254294535377801,0.01579209289213946
SPTAN1,-0.02385245881459505,-0.028091949095071917,-0.045619159340680566,-0.17051066226986533
PTH2,,0.013968560895175064,,
LIPC,,,0.03715766169736126,0.010880560605325294
COL8A1,0.09259429429991553,0.06801475597148712,-0.007478170144877001,0.17843842801253695
GSTM2,0.06630444445438932,0.02533520224243564,-0.029788811405768594,0.1121262160044333
SPX,-0.025323621362230066,0.013168927304154856,-0.007646268154832426,-0.06509354986937325
MFGE8,0.058375059051903225,0.007708771019327281,0.07996778310005359,0.04608775428545604
TGFA,0.03962370050696652,-0.000793455701774924,0.03593186894888707,0.024579459622825723
SLIT2,0.030820685881521676,-0.02690411921409742,0.059499058080242466,0.10004067406825526
PLTP,-0.016640127338606047,0.048298159509345,0.0047372271940770445,-0.02190657016513054
APOD,0.02132490764394881,0.01001904199201427,0.019494797054921756,-0.09324015260205847
B2M,0.047866964693191856,0.018692724589313647,0.027601379923927305,-0.09011276651568406
OMG,-0.037521136908258985,-0.011946874024043022,-0.0380885015023348,-0.18018503319476128
