,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.012843355306474352,,,,,,,,,,,-0.027299277678283912,,,-0.017967682694126214,
BMP1,0.004444019971658864,0.0634825336731472,-0.02390971010738582,-0.019319720377303437,0.015098774240480811,-0.046780231376356785,0.03698296241170919,0.027715412507982384,-0.019077841540822746,0.009137934098435252,0.027758685656030565,0.045619784596341154,-0.007222170065675139,0.04914497093694694,0.0194065241739626,0.02422322225770605,4.575733941418993e-06,-0.05750932227279387,0.11050008417148756,-0.03279850080137178,0.07945579570891124,0.04670008665351283,0.009604789704283344
NDP,0.012460299111211584,-0.05934521402850002,-0.007248664089370245,0.01782545925851904,0.11457548746050501,-0.025050307201256655,0.019101852450864047,0.09493293395051121,0.018322646439260088,-0.028576035127966068,0.03931246527920034,0.010324058178095149,0.0024106686898278376,0.026458302061030246,-0.06270532361848635,-0.035448159435710495,0.011076948675994685,0.06489087253899702,0.05476091980935922,0.05429165649963607,0.026867962057531107,0.0198181359771804,-0.02622188167790894
TNFSF18,-0.02949852314014861,0.045064762207626674,-0.036189772712932805,-0.037000319474089154,,,-0.02376359840963567,-0.01907199706202238,-0.011674763729586283,,,,,0.16920622624233517,,0.05795771160555102,,,0.028184292419763904,,-0.03687565630353116,0.006886981089377261,-0.0517713463327232
IL36G,,,,,,,,,,,,,-0.016645199522310798,,,,,,,,,,
RTN4,-0.10099204046449638,-0.05965807486430749,0.0783366066346515,0.021679197582495972,-0.08825989303379397,-0.06076610950179876,0.006819508430875713,-0.0659415987724926,-0.05151667889657035,0.07296787812221146,-0.0887897645037935,-0.008838127697157024,-0.014699858256100163,-0.08243286061296196,0.040845270423071345,0.05795218321910118,-0.0900538367690058,-0.052414716636967035,-0.10542298194097711,-0.009893248955736345,0.04399093912984784,0.03330260535508775,0.009602425209886974
HEBP1,0.032063204169677346,-0.13033522273791562,0.027781047716039776,0.006345019045174015,0.013540397641408531,-0.03017661137512862,0.06710121827640073,-0.01140227236808508,-0.07518368890484886,-0.004989227393836755,0.054653839029444894,-0.012982242718152641,0.04794562434167562,0.05242897044318312,-0.012379634967766201,0.02115297106722732,0.04241498815754404,0.009767755220719362,0.024448975649343337,0.013741710631198866,0.023991474225934624,0.027226805498535945,-0.00816984082025946
WNT7B,0.02640451741257113,-0.0684589644817308,0.0064983198433232,-0.022983451493410596,0.052868391480393996,-0.03818584053469936,-0.013563362533266617,-0.05315825094954015,-0.03346462345437708,-0.019958662393510403,,-0.030641270701899863,0.11067865266055536,-0.04990643985803887,0.0067868731603924985,,0.006163984463696603,-0.0036088965985907576,0.0390503528210078,-0.022338912311980718,-0.03687561806624567,0.02109370309171562,0.06509015941050127
PTMA,0.01010411273622278,0.013470604828460108,-0.0552098284632321,0.024866819871940973,0.023920230325503684,-0.007505233938293578,0.025110924639101816,0.005201783281586409,-0.028929050301977566,0.05770706094143715,0.14562218719154557,0.06478445981812554,0.025251435336457916,-0.02448566310128456,-0.033692768410765225,-0.14477362855423687,-0.004161151294577416,-0.010200433381356198,-0.08247644467576218,-0.013668311164518077,0.014967740268424566,-0.01248729444422256,-0.10355216571071134
FASLG,0.020386452947950016,,,,,,,,,,,,,,,,,,,,,-0.02725235062178311,
CEACAM1,0.0016490694619368971,,0.06422368345862127,-0.017638416659669004,,0.02992268196575887,,-0.025097661873891373,-0.01836162202054,,,,,,0.0248645061329063,0.05263737426010157,0.011181058466963344,-0.03876808484516015,-0.0036637536808615838,-0.014826660991910582,,-0.037917643248474076,
PDAP1,0.1139765694437892,0.049173456771218774,-0.008012086195616589,0.040264084935728243,-0.03382689473744043,-0.01900813231737838,0.02728552783269992,0.02036441285185605,0.047548824475181835,0.005754699260393523,0.06490747601867379,0.04388337477595942,-0.01120419212287248,0.08355051700578124,-0.06569460857103247,0.07066753963057157,-0.04466731952431619,-0.03990567246455078,0.013088567287080312,-0.014680945760125451,0.08521448456860155,-0.04893833632013696,0.011320815594294369
QDPR,0.013562418858637654,0.037112021924731925,-0.01170684327173643,-0.005483061488912847,0.046659784585542805,-0.021275966934923635,0.0511205068969838,0.01341910554552441,-0.053955436523590285,0.05248040782506151,0.11115071639627126,0.05093838919253661,0.04742703071619619,-0.025368821959727596,-0.031139516431460373,0.024940919169639895,0.003939628864805281,0.06948330963949502,-0.03426771669777553,0.016689757862237684,-0.04754831469303288,0.006983179018873043,0.01600873650409801
POMC,0.006526783709718538,-0.03179766618049516,-0.026827164919675843,-0.031340652325420826,,0.02844236357901179,0.029770096540026172,-0.006035598321890753,-0.013546472613243234,-0.042323528535806676,0.16731038400215942,0.048686512967100824,0.006457163493201017,0.09334206452544992,0.04128498882009678,0.07018701798509576,-0.02156049573888972,0.0391785015032231,0.023214594910845772,-0.024254469669081048,,-0.013682549418453403,-0.0032226062658515767
CCL18,,-0.048023667800143076,-0.0048555212404396905,,,,,,,,0.12537932955472325,0.02305478221744238,,,0.005198648917315967,,0.09021894886251115,-0.009014129416103515,,-0.016418146101037697,,,
CCL17,,,,,,0.03086318884133443,,,-0.014560703377474485,-0.024703229072092533,,,-0.015205862320685132,,,,-0.026600472688453346,-0.04023644359401374,-0.022155066034342297,,,0.09386143178253628,
VEGFD,,-0.00826067840542887,0.0045703665658372705,0.11904813635909377,,0.06339667458530264,,-0.021516065288322783,-0.015513197887463172,-0.018120117271041326,-0.022142146621774075,0.024488219123181887,-0.016296593625372644,,-0.03970369798122469,-0.023479122498408472,,0.014944794132893884,0.016496806902635972,,,,
TNFSF13,,,-0.030518362399162457,,,-0.02060114429537532,0.04007890415361274,,,,,,,,,,0.0613595411050743,0.03808413141345337,0.08381563982733681,-0.01664934657350659,,-0.018997176574200133,0.05481398227767555
WNT5A,-0.00398260393734951,-0.033001802885786205,0.02504906520790424,0.0007302043242873263,-0.014418488699580958,0.01963497450315348,0.03497685159018904,0.053266852654974835,0.02852732749890451,0.02366303151402833,-0.032556453936105116,0.04675051644309362,0.003410535272045638,0.08783604586415066,0.05817340275733074,-0.0007631364583229654,-0.019514489283911644,0.04951485139994577,0.11125543049417137,-0.012873788963203294,-0.015157380325508056,0.06584028219656367,-0.04893943899145174
CXCL8,,-0.003410969077544014,-0.00025321938782299865,-0.023655237505704387,-0.036536720227869114,-0.02659253383721066,-0.008664314865602287,-0.042782229316989474,-0.020031581643382357,-0.016874241091686212,0.22020535682692743,-0.027009861615330234,0.04380781937227662,,0.0226313406094647,0.014749067534243926,-0.04864589012150757,-0.15489457032259196,0.06702551933077365,-0.023251118527535395,-0.04315349806308679,0.014088227203885048,-0.02376516112054033
