,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.014513715902830036,,,,,,,,,,
BMP1,0.02055931766911384,-0.05430164075965781,0.018175954683428797,-0.07682449328560174,-0.015024597588413754,-0.015498523652610497,-0.0841910832728324,-0.14360223578747497,0.00849458994596633,-0.041865065815627274,-0.017223078714776414,0.1191607383540912,-0.0703193694282436,0.015344314819754451
NDP,0.050905283977685616,0.12584636692348788,0.0016621840579921234,0.033380118894129986,0.003426581178306537,0.060675896848025275,-0.037459944790941696,-0.033097170031038285,0.0955249664744836,0.09033646795570215,-0.00797035417559567,-0.11164891172670553,0.07746496537327206,-0.06834058583691799
TNFSF18,-0.036340291412762064,,-0.021070457882542935,-0.021552432402011327,-0.011245537347956826,,,,,,,-0.01466034077217006,-0.03973908605675744,
IL36G,,,,,,,,-0.025487899473508404,,,,,,
RTN4,0.03893269812269739,0.07772579549934003,0.022008659537669298,0.08305500663540885,0.006209505815664937,0.038019012994409546,0.18540680809277302,0.211687478522608,0.041023569667622495,-0.08249093313668668,0.018580361256504793,-0.0004888904813359303,0.09137810068531722,0.0039016048844066776
HEBP1,-0.033272725007106346,-0.02262029552636785,0.03403562715207103,-0.011139243519439143,0.0008520964961659754,0.028150491508142604,-0.11317099647470608,-0.0634783199736123,0.054205715833846695,0.04799607650734606,-0.00048661671984902977,-0.021905214384840714,-0.0019375340157842924,0.008412599560385904
WNT7B,0.012597342558029368,0.049693947823297106,-0.03582919502029926,0.009815581974488634,-0.03223428598711739,0.05582754740776245,,0.022400382846778248,-0.040648674486721846,0.003932051989959681,-0.025676705192496697,0.059336793571582495,-0.04150539286075697,0.05961002458666204
PTMA,0.04137729806752688,-0.027230166583649365,-0.0023788925252578672,0.023102635107411475,0.06596607255660081,-0.06240753809764852,-0.22242780797713135,-0.2051269386748235,-0.07516336070424835,0.010520070146068611,0.04525963859627482,-0.10831426855800141,3.749717861104605e-05,-0.1812324538280469
CEACAM1,-0.023129599553205846,-0.02337615322613119,,-0.02836177350628338,0.04445966889880893,,,,0.006344382196942467,-0.019200432451433793,-0.02429374171122933,,,
