,ZH1007inf,ZH916T1,ZH916bulk
IGFL3,,-0.022372710582539587,
BMP1,0.20390585262132943,0.2092505584286515,0.11206233194278555
NDP,0.030559869631973366,-0.06387963532798957,-0.012778205364090998
TNFSF18,-0.01982055167349923,0.09321169612027302,0.01661325884469694
RTN4,-0.047519675329531406,-0.0375486973094603,-0.013184890016756613
HEBP1,0.0009357222451439335,0.013925088930695958,-0.03025309233766213
WNT7B,-0.0424462726973958,0.19933186241562367,0.08237926646582966
PTMA,0.08383531932735155,0.16597597738463432,0.08466088069798017
FASLG,,0.12921768010300452,
CEACAM1,,0.005095574278854173,
PDAP1,0.016706541578373157,-0.04451886100754537,0.0083541291812682
QDPR,-0.08314196298135977,-0.05108567194300659,-0.042406591620728316
POMC,-0.04076952425551588,0.012345688818758577,-0.008651094234327429
CCL17,,0.14787468615865207,
TNFSF13,,0.01482277604787969,-0.02644443158509638
WNT5A,0.09161683416536345,0.05002876091416742,0.0327682942564532
CXCL8,,-0.02186753206401123,0.029349824816245807
GRN,0.07402048074134063,0.1558973462681981,0.03350062537849855
MIA,0.04105779867334214,-0.0643787902591407,0.027603682334868
COL4A4,,-0.004754192568112495,-0.029555656455248637
TAC1,,-0.023120432741731232,0.04882754008385791
RARRES2,0.04791497279418209,-0.018764563607383534,0.011200719823831301
FGF7,-0.06502942538822168,-0.014799197617044027,0.018117228278925084
HBEGF,0.07770929517234747,0.13496650256908063,0.09017348678245458
CSF3,,-0.01851682469328922,0.12905148969925512
PI3,,-0.04023090844658124,0.01079528341659648
PCSK1N,0.08301645022875927,-0.10959941796608534,-0.032851567331461384
NTS,,0.033222730671267,
SFRP1,-0.05821209648951646,0.03601494246333634,0.12752262967106426
CXCL13,,,0.054052268794947206
MICA,0.13211063225993797,0.08284744287889044,-0.006850153866765904
TG,-0.033037791328878484,0.021753230660044903,-0.02778985863279328
ADA,0.02998298268371208,0.18875871829368304,0.06498858378599776
LAMC3,0.19342391132077547,0.12387523338750331,0.07281484473355777
CCL7,,-0.019403837355900667,0.0802692375790717
NGF,,0.06397154933868539,-0.004796660496003329
TNFSF15,0.02405047599865117,0.045372115786497906,0.06732194931186797
HMGB1,-0.11711262349663305,-0.09089910174500741,-0.09040443590022332
ITGB3BP,0.10103866051890782,0.07506141464640043,0.002307559899589983
AANAT,,-0.00043318205658363177,-0.018983008272571215
RELN,,,0.0010382620986554283
IL15,0.07788636748050305,0.11764846540896023,0.06310556514966874
UTS2,0.010846236048759781,,
BSG,0.017602097784914335,-0.06428267724931436,0.029299595441072263
ADAMTS3,0.037544659708349866,0.0023192286144860593,0.07983758409635118
CD34,0.07586057175314002,0.18296743132192098,0.09815311829596304
CCL23,0.06828026882745547,,
PLAT,0.1386676621698838,0.14479282924674808,0.02028307752823073
LTA,,0.002623386404505654,
CKLF,0.0632615077686999,-0.057777841431806275,0.03134794730932057
CD24,0.0553452931783972,-0.08458443266328308,-0.020328152286571317
HSP90AA1,-0.05487727434392234,-0.10971763404276817,-0.0053044264394383304
BMP4,0.09797257178871932,0.04890470422482845,-0.03362118555828479
SCGB3A1,0.006042101340781035,0.15184293805154403,0.08721548722102947
IGFBP4,0.13758320796460546,0.19362264680966135,0.087582151103143
RSPO4,,-0.025042649968377455,-0.0026423763990874715
LEFTY2,-0.06277585324173207,0.12795096425764882,0.06395618495640942
PF4,,-0.027630372665551867,-0.0187510667366814
