,UKF248,UKF251,UKF260,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,,,,,,-0.015610213446944405,,
BMP1,0.025199050839091568,0.01591395395971711,-0.0018219661514605073,0.03497275677809346,0.038325238197550314,0.06281750279034108,0.07878308709917202,-0.014926769499035953,0.06139533371943089,0.06361521719603466,0.04518318803127804,0.031387559707470536,0.07336225712455846,0.07088861659408557,0.07893734662999559,0.010847060902512213
NDP,-0.06923892904974745,-0.01290673632139208,-0.003948638226748344,0.07180077229708388,0.03674557172575374,0.02011727472384802,-0.0039052451734755854,0.06157230355007904,0.08305402378271202,-0.038305121808380166,-0.03914476413980778,0.03845445679123021,0.07956201072519677,0.00017313522769967096,0.0499926746863407,0.002299470047168404
TNFSF18,-0.026901506711120345,-0.02528979802809401,,0.02863360244082712,,,,-0.030036639489445186,,0.003171050554130954,,,,0.01466466819939789,0.006643065543040213,
IL36G,,,,,,,0.013264898178563281,,,,,,,,,
RTN4,0.05163340507742697,-0.07921020301973704,0.04583197574397028,0.0009627533623759947,-0.116840123614222,-0.03673487292976485,0.003063066940971922,-0.022365795352401525,0.06048751058731813,0.023469374290414548,-0.06644995443365918,-0.07012415281703038,0.0018463482121626356,-0.0735833460011816,-0.0578226114502592,-0.040882276626785966
HEBP1,0.026101740193671674,-0.018092615988171964,0.021942230973888574,0.02697621123097611,-0.046105401272981884,0.002736361241254079,0.05812235318792496,-0.062277624495561144,0.037677623593479814,-0.001855658532981115,-0.017556585204012234,-0.0015576800547895107,0.014952913901637242,-0.015793082425550706,0.029250322718044952,0.04911646241969664
WNT7B,-0.005162695870731004,0.04625406386341549,0.03528911658081035,-0.0223841614842973,,0.07564575341390017,-0.022273915138849926,0.08325876338852163,0.0816506099103081,,0.0659920669845809,-0.010580349156353067,0.017961195423781714,-0.033663344441391026,0.019052086525544888,-0.03791658534357703
PTMA,0.004817772129063422,0.017712586712925766,-0.04356279395385947,0.04875207770082482,0.11253874352087725,0.06810953386225839,0.07431050954321147,-0.023278349849979965,-0.06332426918054294,-0.020714290818324668,0.004287362756094049,-0.039327884616705555,-0.023635802490531477,-0.06819373638497007,0.04071089757188934,-0.0010884781055775128
CEACAM1,-0.01712207176708496,-0.012055895765191327,-0.01734562568051223,-0.02065704840885891,,,,,-0.012223713622143405,-0.030603842339149787,-0.001459644151790093,0.0021555053485747995,-0.020263576132640192,-0.023131917808748147,,
PDAP1,-0.015660740489108187,-0.014355982660768735,-0.019513608664248668,0.03485178900821625,0.049148209602210446,0.059641189993378474,0.04904177122954238,0.08336047200799193,-0.022071194810940206,0.0928732596032778,-0.007424393902115258,-0.0703178864609394,-0.05895679088298363,0.028372728260660517,-0.011288677181905364,0.002573703472586915
QDPR,-0.06033933172093682,0.029930148155137986,0.03713170601058573,-0.05790800654983628,0.044230364294699245,0.07055941182407857,0.033971947428958635,0.13961761696302186,0.04819306658168785,0.015995388292815032,-0.013387803082013948,0.05042395694511409,-0.02177576576810981,-0.029339835164405054,-0.03965580908753098,0.053387151457492225
POMC,0.01672354013638407,-0.021421403345818518,-0.024195024196826977,0.039732069786398774,0.09316585348208603,0.002709434602424471,0.013417697359127137,0.037326908401197734,-0.07624334948668608,-0.056116354324939756,0.09420539538075298,-0.025188901660405938,-0.014037074055831813,-0.003250580199267943,0.013992254150437035,-0.056770379361981906
CCL18,0.12643041314756895,,,,-0.004533690199081741,0.019220310658475934,,,0.05406739648275511,,0.1626791077600113,0.014338137389073167,0.17286968568754787,,,
CCL17,,,,-0.016380968642043758,,,0.05452614898226153,,,,,-0.013879556400771625,0.07510795401249629,-0.020581164705518285,,
VEGFD,-0.021366734587964845,-0.017267651916911243,-0.016595312573729346,0.030387091998296534,-0.019823606473594033,0.09840536108433344,0.11718047016348519,,-0.05232751191992254,-0.019388502689832523,,,0.0006637121476625031,0.0010249357296979737,,
TNFSF13,0.06834320885999218,,,,,,,,,,,-0.02663278399172544,0.023777048241823737,-0.022070637526433973,-0.030734320297702736,
WNT5A,0.04007393478452696,0.019288186411435426,0.03168478533598186,0.027201524409248532,0.05009608983311481,0.02346875837492564,-0.016820934848446868,0.05274341732297943,-0.009015812685696706,-0.002888953768851785,-0.07755141293707077,-0.04618579028006235,0.024874594578194194,0.0393257963495054,-0.08843638119704031,-0.01464755982296219
CXCL8,0.04660140582131364,-0.016168405768625736,0.02908544301002346,-0.03358755960065592,0.03880831400831471,0.07793557015369808,0.02481136587784656,,-0.03647983968366607,-0.07709868504054677,0.11362158299791321,-0.058488232716945414,0.0823155512273867,0.0045570761960954465,-0.010205538491266094,5.123535442729843e-05
GRN,0.025147699985527308,-0.00021070671667967634,0.011920506476643581,0.01948108648533496,0.06002520204467906,0.012482057054209914,0.021956500898214153,0.10073497782742366,-0.15792686141885065,0.03026015008535566,-0.05174889659416237,-0.05274568604877116,-0.03790939143200317,0.02267405122781119,-0.005499803989058067,-0.03453769747115605
MIA,0.016879323291087753,0.02668484665259043,-0.04256373872262768,-0.02307597035586822,,0.02123535667523977,0.07467980892391962,0.03966627494479309,-0.0037220398072751438,0.08800853000629986,-0.024125908293901266,0.12106727617011856,0.02520252043244875,0.08795467013942283,0.04141103674805954,
COL4A4,0.000857279815028575,-0.0005032349483284212,-0.04685294269655899,-0.017102238067701305,,,-0.02635882668392683,,,-0.032577732492458815,-0.02487014617812183,0.0785908752333518,0.017118045532497548,-0.03170362054986881,0.0889543023821378,
TAC1,-0.07608576207584995,-0.03276680727898885,0.08808043263342373,-0.013000057767896936,-0.07342485816880981,,-0.046713357318593246,,,,,,,,-0.0015215225115625072,-0.014512130154367116
RARRES2,-0.002030634623118839,-0.002189860925068336,-0.01393712835158977,0.015418522902266987,0.012335335266136132,0.023526207860831507,0.03126989509364373,-0.0006120993591859025,0.057359188193229355,-0.007304970911371132,0.013185286512012045,-0.019264958345500387,0.0824690691363488,-0.001346808350470333,0.03317183218808588,0.07797082918229001
FGF7,,-0.019489738114043084,0.1738866701006865,-0.031575302374837376,-0.011447391137513611,0.09895395773300504,-0.0018355551065755355,0.03930978359149872,0.01966333389651529,-0.003982711071170083,0.002486535845324668,0.011901893272436685,0.007724711356325228,-0.03271261184593447,0.01433456012049023,0.0013767119454447811
EFNA2,,,,,,,,,,,,,-0.019259173013205087,,,
HBEGF,-0.00016750311334749925,0.020532114947432265,-0.05475235702216757,0.028928235627567772,0.13212544841949525,0.06849299789418231,-0.018850692440786607,0.09455279519317081,-0.02039869808428992,0.016469490758952404,0.11493976372682374,-0.017826444389312617,0.05414968205910294,-0.0037838444586985017,0.0022218976009816547,0.06697201785301103
CSF3,,,-0.01858778816200778,,,-0.021545506893276962,,,,,,-0.003817943937627665,0.09688139415861212,,-0.036132539788444794,
PI3,-0.022478698507511205,,-0.00453949637522081,,,,,,-0.05595753826980756,,,-0.07302762041064122,0.03197541332014209,-0.017487056129466546,-0.006049525127743298,
PCSK1N,-0.06142467739274387,-0.03460588087993324,-0.018724212522144134,0.02995926793647625,-0.11314785997985288,0.10047310510279044,0.013295420888814424,-0.08177295730832349,0.05394868999400341,-0.04366165592116315,-0.09420856303143614,0.025713707792916176,-0.10251563968275666,0.04354910967553736,-0.059702184512971455,-0.05195145302636313
NTS,,,-0.04155052002531297,-0.0055203935510749974,0.101544652756674,,,,,,,-0.005365052254887797,-0.02346364762997932,,,
SFRP1,-0.03650544827690987,0.03298595653686876,0.0007823423144685381,-0.018680582463792676,0.058004919186375584,0.07243710548405125,-0.038885121208418486,0.09442067186681391,0.02742328747216661,-0.06215154506448276,-0.04352042418824651,0.09901874012047901,0.006246984457403539,0.03947061764537809,-0.021847055873738502,-0.05250244652933652
CXCL13,,0.016581694621656064,-0.018762228101036005,,,0.03881682202631348,,,,,,-0.031176329383915527,0.08376116417283011,,0.11134950492146682,
MICA,-0.015019446845207722,0.07789480736151225,-0.007277307698714319,0.032993000950982426,-0.056817762346130486,0.036607650078399064,0.00675791459611639,0.10792512065263503,0.05150584702500783,-0.04401682943268209,0.09535464659278144,0.0377170989928133,0.04907741098078867,0.04689388814119215,0.006982053673379576,0.05587267761985448
TG,-0.03364741271977724,-0.016393589166878518,0.017598382089204122,-0.01650320599378139,,-0.0034886843334291833,-0.0035939727394856576,0.04301200469432866,-0.057352065989894924,-0.06644832017676149,-0.03202880147234302,0.1688691932524735,0.044233389165217976,,-0.032298006236197774,
ADA,0.01994776133748467,0.04597215094053295,-0.011611055172562624,-0.009205362311547196,0.05286863678762013,0.11339401450569883,-0.004824247495617708,0.04616564517758935,0.08686889511160555,0.00046836541836487225,0.052832145930461864,-0.005946876773562582,0.013435637249152397,0.06545869792925466,0.06755950841133565,-0.03083812609551944
LAMC3,0.01624457957699257,0.04200511712344844,-0.059860190744468494,0.012079257878859764,-0.012279269801628589,0.02421317103833118,0.04979177691933301,0.05754062165521297,0.0508067087421322,-0.016100385022640953,0.08070825236376457,0.00928653673444594,0.004760851687096195,0.030865523445975856,0.035171636850429164,0.08589862993270989
CCL7,-0.013591043896140766,,-0.010013687824916892,,,,,,,,,-0.02080225579837513,,,-0.035761105183737506,
NGF,-0.02333514745085285,,0.030995873968396696,,-0.01784762545726465,-0.01974316884595744,,,,-0.043598178786635224,0.1451392657120396,-0.024024940100630766,-0.019000297326554533,,0.009267630109814571,
TNFSF15,,,-0.018417551018037947,,,-0.02094351826027821,,0.0077786011253770364,,-0.026886180114144297,0.019984976834922646,-0.02027986351155369,,,-0.0399895395488428,
HMGB1,-0.08232651516290289,-0.03620110614548616,-0.038962000711513484,0.03574523563548941,0.05152768478463326,0.07018694590443361,0.038132996819133395,-0.05917244418835751,-0.018486916208453632,0.052969801402007535,-0.018653344148281764,-0.10227559902494769,-0.05505160027381423,-0.06424990242262364,0.042897654630646924,-0.07306373819739391
ITGB3BP,0.062435787919464594,0.003475994352093602,0.029115366439004677,-0.003907495021274724,0.04103164579953707,0.0666272031638395,0.06754568308231476,0.01697961077523017,-0.048809393274641226,0.023428684932885045,-0.009150604702919106,-0.0367683745525285,0.01906337062758736,0.05997654931287354,0.07303131590720295,-0.07858552245478084
AANAT,-0.019718536960336073,,-0.016595314942803734,-0.014841429595243628,0.04745302587600644,,-0.02483333739638555,,0.05077588040534681,,-0.020488052370096627,-0.018249448002168628,0.040517978277945864,0.05226117499404699,-0.02206248429223018,
RELN,-0.03417833445674679,-0.011339946541651975,-0.023162591668924804,0.05558221563240859,0.01869942491067308,,-0.027492647951058696,,,0.07048483946027986,,,,0.03266988124400669,0.05848352877138359,0.00938134361492071
IL15,0.01269840304593852,-0.02088518179130956,0.00790033536388055,0.05185270326960273,-0.03438472360864565,0.06686267355831221,-0.023031772656964176,0.03426157968492893,-0.07290699061800075,0.031153524791134313,-0.03463378242682594,-0.02030682453419821,0.04527162437562598,4.701633139896487e-05,-0.03556091233795421,
UTS2,,,,,,,,0.10840903142468383,0.08276027784888419,,,-0.015540740606933681,,,,
BSG,0.013765102816757958,0.013403696288213418,-0.024934246281621348,-0.004479283443300657,-0.05783152636237806,-0.059140105478576996,0.03867373490831298,0.08864886639844938,0.03064181540158549,0.008693364158348928,0.054208112961456466,0.05027174645493743,0.049350070480751226,0.07503398562423735,0.0028882565504300983,-0.01879615498986328
ADAMTS3,-0.06383086034733476,-0.004305879673891994,-0.012727889497230508,0.0019231374661719453,0.014575263301260665,0.14745023338162522,-0.03827137282761172,0.09668491359586893,0.0034069019241999903,,0.09153648308704856,0.06465454894117746,-0.027044757829578728,0.08094193002092412,0.15938889579867677,
CD34,0.016169521322547214,-0.0325758987589222,-0.04620606809346699,-0.021870513477431,-0.039545897280072725,0.09597583852555486,0.020649670483463445,-0.0630656996361697,-0.04365614861578444,-0.02836402649475521,0.0015404774891191809,0.01412586072398798,0.014245624377987803,0.04576718950474272,0.024234924502717182,-0.08821559684791343
CCL23,,,,,,,,-0.01127740563648425,,,,,,,,
PLAT,-0.010626628302389834,0.030333562990258852,0.0263835503603796,0.03588132607697306,0.03995928291051523,0.0361203648694357,0.05452059331170451,0.01643299753594007,0.021746426984730238,0.07433616470826679,0.00718541484913644,0.05481181008624142,-0.08355254659052179,0.016771515885497135,0.0958687049228237,0.06850801486743947
NTF3,,,,,,0.025478928171540554,,,,,,0.02973083303664427,-0.021464201005233833,,,
LTA,,-0.012055897002342173,,-0.014293843419077967,,,-0.023031775500016945,,,,,,,,,
CKLF,-0.007261798952577758,-0.007143809625302385,-0.013729242738589801,0.010497548017446475,0.134596066206658,0.0937747917638032,0.08592702451399709,0.11936855120791559,0.021018457662668893,0.027917725154192836,-0.04377364364248157,0.05107657968279573,-0.03192827877284561,-0.054124467186188775,0.033833350303785655,-0.055088185834984364
APELA,,,,,,0.024375840693191052,,,,,,,,,,
CD24,-0.056861022853805274,0.009414054824230864,-0.020075028846497086,0.008578615337403638,0.013289504410565615,0.10163533020541196,0.0091376215722944,0.06962588585873698,0.11613778911873827,-0.016677077256752763,0.00027870253097688293,0.05302592749543552,-0.062485378429524244,-0.01162506816196349,-0.022003335198371537,-0.05397588029331048
HSP90AA1,0.04175069526497384,0.0035541831931628826,0.01630518974315564,0.03623048358908793,-0.03407758641986168,-0.030333525829550057,-0.0007742442680446424,-0.06337574882758708,-0.09898846236703347,-0.004956207458008183,0.029492269534814316,-0.1434461294182218,0.022484931920445678,0.03630173966768929,-0.04078513986608088,-0.015778615600998636
BMP4,-0.008938292509192564,-0.012779957539233616,-0.02073449534173435,-0.02064666822233363,-0.02676349546994851,-0.0022095880852902503,0.08290046299516272,0.09395299241352174,-0.0478062274120195,0.013139142525135263,0.002204098615298551,0.06409139826561253,0.010990941057327695,-0.009397330052379811,0.03388514185309559,
SCGB3A1,-0.013591042537054534,,0.13233211525942973,,-0.010443720503712083,0.028956864009115783,-0.016071268361419293,0.10338161665382244,0.032911299370682844,7.971695980142973e-05,,-0.017089883426461224,-0.026079185398039006,,0.10773403372731273,
IGFBP4,-0.0008870953690379658,-0.0313476759893579,-0.025359961624513292,0.03798252822139372,0.011919629826032837,0.06987700018016131,0.07630987958906692,-0.0023434006360908226,-0.026998826392475573,-0.060443725556846156,0.07685633686177977,-0.06183877173389565,0.009855924745029882,0.01952217499318548,-0.0015200991253114821,-0.03831274778397137
RSPO4,,-0.01948973441391754,-0.022809681582311912,-0.016624610083425737,,,0.011223779260165212,,,0.1064086392674516,,,,,0.1392845918095456,
LEFTY2,0.023096375851780235,0.09496400087763028,-0.035404151741106824,0.04602574517741381,0.10068842206020472,-0.023680623739143234,-0.028432469644324002,-0.010421830508102825,0.05260419062751816,,0.1568467945671939,0.006404844591392443,-0.022144588724370782,0.11837907225810136,0.03593751519551878,
PF4,-0.014098524950746875,-0.010966476891411708,,,,,,,,,,,-0.01765236544126606,,0.02510992163551175,
ANGPTL2,-0.014397361548652747,0.023439297729160823,-0.0008434853070345049,-0.025764442340938973,0.011333224947371089,-0.06624694230579461,0.05587250913973426,0.08317136482938654,0.05678966053983349,0.024976390024730982,-0.046647623898967046,0.0872287557935953,0.016185000295859616,0.006917442748499695,0.12306996918494839,-0.05975693737936186
LRIG2,-0.009919562008378248,-0.038506160029358846,-0.0027566206823841414,0.02971737771083566,0.027979267985356177,0.06326550180627817,0.04614930929363847,-0.0040185807491512375,0.13442759355592807,-0.07983025773431363,0.02952765189034458,0.07064754914374602,0.01878177909126637,0.08138215882554828,0.09103536816654112,-0.07424027728017894
ICOSLG,-0.07060938300503207,0.04862127862222015,0.02355961357983946,-0.011104907542665653,-0.003729035722097394,0.015445763983218896,0.06080595226974678,-0.031224976621933187,-0.04885025006306141,0.03584015904083029,-0.02764395037573601,0.03322193639846711,0.07262367469857865,0.04793921361836253,-0.031135714931110357,-0.022423594247187723
WIF1,-0.025368007270603163,,-0.019291079538286904,-0.012828817836142304,-0.014469676606687118,,-0.035977564639454916,,,,,,,,-0.026465444002376274,0.07828283867735836
NPPC,-0.04216305433292334,,0.028832245410368468,-0.02502494741137352,-0.04431059204144188,,-0.0069341008597531735,-0.029581022198615366,-0.04888019351058804,-0.0711332770815482,0.03169863303158848,-0.0027396306391163213,0.01692422705067321,0.03791594656423784,-0.042490695620302665,-0.02547808978951462
LYZ,0.043573324266420625,0.0278837557750853,0.01374528817623288,-0.01552702804334512,0.08652546148705031,0.01733362684678485,0.009027929920110471,0.05091772557334099,-0.055718089878115384,0.05961814379906018,0.0799036522629716,-0.04166918533544675,0.03986876949093028,-0.0013993581736347716,-0.05927134884675817,0.02998012718243029
EREG,,,0.027222558368338617,,-0.01835999083468464,0.074645415589203,,,,,,0.02174433653963204,0.1460512512442786,,-0.02509010273695351,
SPTAN1,-0.08643308730726972,-0.013065967228093818,-0.06351042077990872,0.032136676871890195,-0.10698762185079466,0.09031333344138301,-0.004849050250439323,0.011475268874000445,0.1926398314296908,-0.009245115824448697,-0.11100019285541347,0.056006996338441604,-0.02874632651536255,-0.03358147053601997,-0.038422615853188714,0.0033595851943530037
