,MGH258,UKF269,UKF275,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,-0.013794950849017561,,,0.11320185378803008,
BMP1,-0.016789700338264345,0.08525654111112159,-0.02191499339401672,-0.006933408325968032,0.03562285227771618,0.015220233158393619
NDP,-0.004770913974184173,-0.03614149560316826,0.010380625797436727,0.000844426817528497,0.03980798076921606,0.07009622288799557
TNFSF18,-0.018712513593130566,0.035822381131511566,0.09273012977048582,,-0.03206679129192961,-0.022094819995630344
RTN4,-0.01964669384041891,-0.09913588675371462,-0.01628657816682673,0.030843325800313754,-0.013967037955779861,-0.1546834332931919
HEBP1,0.03270677068172756,0.05647828853478303,0.052731053765515075,-0.013021429148853875,0.04130144846309068,0.04938474157498014
WNT7B,-0.01648513838332428,-0.03049678213923691,-0.020974519862168608,0.07514174571721072,0.003511544809229769,-0.04804099836723225
PTMA,-0.040886671486710775,-0.10221870019405489,0.0011001957002534813,0.05249612156395767,-0.026024697970758046,0.009005086229952242
FASLG,-0.01648514304363067,,,,-0.01648753101109668,
CEACAM1,-0.022889765388896678,0.10705031747480546,-0.016745996129576765,-0.015399751345296819,0.032784818460478066,
PDAP1,-0.0014483628691338258,0.06656406809825668,0.04635555320384261,-0.0007929906581292274,0.07665250019094198,-0.014834465678573158
QDPR,-0.00857467813634639,-0.09530536569182951,-0.017905676806812515,-0.02000481875942082,-0.015234513961947081,-0.0683231313591434
POMC,-0.02474765802295465,0.044083009299630826,0.010075072915916703,0.038281171263935765,0.09870373462885398,-0.05289545497109915
CCL18,,,,-0.03760517301942011,,
CCL17,,,-0.013279517579130084,-0.022230507854607503,-0.01494409498835901,
VEGFD,,-0.02311024308165342,-0.014148202783512946,-0.015399751345296819,,
TNFSF13,,,,-0.024163802001075468,0.00948243069825335,-0.02403601255705514
WNT5A,-0.05416981108948872,0.10399510784256628,0.04532768339252817,0.038668465619912294,0.015276678152174266,-0.019471823869330454
CXCL8,,0.04334858674720569,-0.008139714586350922,-0.08537951947938538,0.03910095736458099,0.03145739255954674
GRN,-0.00980035176241773,0.04908270210398226,-0.014804036255786777,0.06991970247691363,0.03858466816978535,-0.05931790126958691
MIA,-0.02157763036502636,0.10808976830221197,-0.026101067462027047,-0.049812575483890835,0.05793568215729916,0.03338119520436071
COL4A4,-0.019091804348504573,-0.013593900129174472,0.02583349825592847,-0.008082717189911492,-0.04388610910646298,0.04807106015091982
TAC1,-0.016485134074742638,-0.053974724097697366,-0.03883563575805625,,-0.019645532441735565,-0.09321161915167447
RARRES2,0.0064265071471078725,0.11328905299898223,0.017387026378158612,-0.051051286021053154,0.04656549852598575,-0.005449721832038184
FGF7,-0.0018068087072636296,0.003336079620890736,-0.0217685794700085,0.0956992037511615,0.04189020570340681,0.020428951255011256
EFNA2,,,,-0.014636433054956832,,
HBEGF,-0.0598184715092901,0.11384351755935249,0.004301873311177765,-0.01884192647304986,-0.0392386992923313,-0.004331734351148218
CSF3,,0.0666028041831916,,-0.06916688078272912,-0.01573382662398665,-0.028257731801482822
PI3,,0.07990630592637214,,-0.07466918767983628,-0.03418437820245678,-0.05572833745173871
PCSK1N,0.05280446823528558,0.02001237087338584,0.004176788091339698,0.02604830878216013,0.0058675923967544735,-0.09614465861019213
NTS,,-0.01767731212040248,-0.015838267966539643,-0.017831716217815763,0.10470418601679916,
SFRP1,-0.023986286489725034,-0.010591024623274386,0.007968489880040248,-0.0255608239208783,-0.022758226868097906,-0.03525379561325165
CXCL13,,,,-0.037605168926924296,,-0.02292085899084769
MICA,0.0032897642287194567,0.07536542547472175,-0.03719857107781739,0.0924497217044184,0.028940894283878013,0.041891237076658434
TG,0.0786756037572637,-0.01735788948070365,0.07025367236771349,-0.021961707821728054,-0.003946491810868728,-0.02525890522196195
ADA,0.033292773689089124,0.08375504644976221,-0.036040083172071566,-0.006139667303747542,0.03925801253080842,-0.038357956711275384
LAMC3,-0.03164269254303136,0.08377321392272308,0.05475531584940944,0.06790691237075916,0.0302042622768595,0.019723116965217405
CCL7,,,,,-0.01648752514832745,0.03646274059346006
NGF,,,,-0.01443969477057573,-0.015291738724854677,-0.032024683109928974
TNFSF15,,,,,-0.00631619066322557,-0.03127412825259986
