,MGH258,UKF243,UKF248,UKF251,UKF259,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,0.03964928171097144,0.06579390046867223,0.09602387275615008,0.043068571384085284,-0.02386520944999083,0.02875325844889674,0.007545840963646507,0.00032029983671129944,-0.03180758552954378,-0.02739526469820917,-0.02794812494998711,0.03395434543412669,-0.00892668485922701,-0.030010195756626643,0.04565900512002477,0.0011844562782275553
NDP,0.09444128509705942,0.15953974877692853,0.04598841065076511,-0.008754100075184217,-0.07622788041943737,0.021271510795101627,0.033646853427435695,0.017434387382867362,-0.04197129988520486,-0.018796109216846112,0.05020487396703088,0.06540890139532575,0.07077157858643478,0.05431949878575534,0.03023657910002111,0.05112945697569738
TNFSF18,-0.06723348497895922,0.013013634485151356,-0.039953591611042845,0.09276916435181438,,0.006244502915047665,0.06184650526421804,,,,-0.015494438866165734,,,,,-0.026674487377872133
RTN4,-0.09343395730978399,-0.11931625048765197,0.09126704654592006,0.029650174443971514,-0.011161476531860318,0.005193121308300299,0.002596428418395595,-0.025170358381758344,0.08757792150686557,0.12525802518403742,-0.02588589986774793,-0.06047169431998311,-0.06533218062914299,-0.07436114185464032,-0.019104313875681827,0.11161005669470182
HEBP1,-0.007988241693381866,0.07777056422218016,0.050881532263066416,-0.007967495891604488,0.04849611433504327,0.04797397090457637,0.05972636121049502,0.047777243909294345,-0.08135610305035307,0.10499851262137415,-0.011770458399012794,0.06969880123622713,0.06039937105271281,0.02251157712762645,0.05241117373455286,0.04796336644469458
WNT7B,0.001896751747593554,-0.06111293189157516,0.04345524495476062,0.042096534969943186,0.013679465099581463,0.0043137364903072465,-0.003033355768437482,0.030762454727197644,,-0.050616980042395406,,0.04613826946957943,0.018372456438427383,0.05018322461875022,0.04130692908313704,0.06140476811714457
PTMA,-0.07574282747863478,-0.21775926440705085,-0.002892168927015913,0.018152664064429915,0.04726855069577779,0.003672910672084056,-0.028335813170740215,0.027913139210584675,-0.09806423031988164,0.02521176103459684,-0.1136384823364562,-0.10699965422839544,-0.017963914435770778,-0.026305237117866944,-0.08302983788602632,-0.048189256118249806
FASLG,-0.041297071735508534,,,,,,,,,,,,,,,
CEACAM1,-0.028917848068869784,,-0.025429366104400972,-0.01571224869684858,-0.0014829542018041536,,0.009733977527341236,,,,-0.027781351387969992,0.012852599700086577,0.007517439443187231,0.03474834060621552,-0.001380677847255231,
PDAP1,0.09515550609878147,0.06573353226338079,0.002448557344599375,0.012731595353164859,0.032095579961569816,-0.01200757482770506,-0.003784772421974184,-0.017105534281153856,-0.017439896291059517,-0.08937224641035937,0.007381508312577888,0.07216230737347461,-0.06617672357218796,-0.029745105351898678,0.003728555595218123,0.12118856264189998
QDPR,-0.11315343630937659,0.08030997275886291,0.033709942175240946,0.045001897364355836,-0.02381868112888875,0.0497142372425519,0.011508703982908665,0.01850821882494094,-0.04337620526476782,0.026573419612325042,0.03848485012164454,-0.1212392803000301,0.1017954929194697,0.10314642714818187,0.014477066838161991,0.10191608253933014
POMC,-0.06360460107405617,-0.0347084568122277,0.045115971371432105,0.04374567213594251,-0.009412240676372582,-0.011964103674529264,-0.012810817895674897,0.03217967627355126,0.09176861327828897,-0.0025595924174863357,-0.005667717759583295,-0.0021116234668950478,0.03446732651428846,0.10521291027976595,0.07356656098741654,0.008667754273446343
CCL18,,-0.025678852255000346,-0.03173344622937453,,,,,,-0.05171995969247345,0.020541419546693664,,-0.022189626627587944,0.08167590610667713,-0.025708747771516473,-0.05136917608509219,
CCL17,,,,,-0.019752438017712617,,-0.011770976585197952,0.0014711644021909935,,,,,-0.0281399849465707,0.03242719923213878,,
VEGFD,,0.005797475718369547,0.0329715348949887,0.03610075848718506,0.16528209133599903,,0.02493027939542299,-0.020475319212036405,-0.02241637428688293,0.011178322027163165,-0.03776813841619445,,,0.057676518705687546,,
TNFSF13,,,-0.02394708444932075,,-0.02563900789125144,-0.0247819267279207,,,,,,,0.06949623315209036,0.04303311767771638,-0.021650870078097316,-0.02901803742661593
WNT5A,0.0973058974429114,0.008750819580479218,0.01331804880105864,0.05572756770429354,-0.016133220040493546,0.017140688490597526,-0.0651351974358861,-0.024623818366652953,0.020910638424046512,-0.008647947815326103,-0.05417959714921442,0.04725871148324655,0.0018306261765650368,0.04013658064999913,0.006054196657097557,-0.015670017857017028
CXCL8,,-0.07259032364710415,-0.023340608468319108,-0.02107201467365848,0.10841818359397075,-0.03525068343562563,0.002753968989377178,-0.0013873848792174891,-0.0510794216307007,0.01025573892619393,0.01144524248003143,-0.03906833128442885,-0.09771218145595764,-0.12641047762398083,-0.025682668006301562,-0.04220442274429494
GRN,-0.1085538674057106,0.08742973672612066,0.012043282095474566,-0.01934352515524085,-0.014256619340308028,-0.01416782013238666,0.006231752756274454,-0.02649291497828509,-0.07509258284886644,-0.08817320052745284,-0.05345242644812679,0.038005196293243344,-0.01465925241848057,-0.022998063896502947,0.03375998163532044,0.07771218792084977
