,UKF248,UKF259,UKF275,UKF313,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.021845057840917215,
BMP1,0.09154682955248951,-0.023450205679968514,0.05714112267062874,0.13968033717594533,-0.07420482324805704,0.06186660728548897,0.07755223528287593
NDP,-0.009923458989743655,-0.048071689926337695,-0.015205992785313885,0.0741503649852532,0.04919583501916994,0.060499858116345076,-0.013760576580179222
TNFSF18,0.11304462302081836,,-0.008881592463359442,,,0.033856090247180684,-0.026018894754772266
RTN4,-0.029471651860703593,0.09464037456964118,-0.012015378523998853,-0.09095408137275336,-0.04153339896821761,-0.04183804249986384,-0.044252458332707315
HEBP1,0.04827485495014158,0.01770026970999822,-0.025680068042849242,0.00026390402425068043,-0.013958596701227118,0.08330299025695076,0.0717903543786542
WNT7B,-0.037794286679189576,-0.0008071016368204922,-0.026798815976558466,0.03321186697759951,0.04775407273590285,-0.03725139133795935,-0.003436781666024407
PTMA,0.016887976771813796,-0.0429847503376819,-0.0195282367614061,0.342528300101415,0.015693142055477376,0.00083296567665527,0.00517639102706248
FASLG,,,,,,0.07080474988819557,
CEACAM1,-0.016254601791278182,-0.002938426473986932,-0.018086508408423418,,-0.04449316836776449,-0.0108688686414495,
PDAP1,-0.011965255018896092,0.010427929860544902,0.018671880082993406,0.20716478372441133,-0.03994161311922717,0.017792434527447294,-0.05206235767066624
QDPR,0.0037696247260068593,-0.01128189676787372,0.018406470907106558,0.1990195845686204,0.06206964455481927,0.0012631252118485987,-0.009842852065854285
POMC,0.04804314624335666,0.03572088918132802,0.019440082084165852,0.013583199211009981,0.03244243809159226,0.11629100742482552,0.004488930429934571
CCL18,-0.020284207235277914,,,0.2225076089375725,-0.03815056577824226,,
CCL17,,0.03337408421329446,-0.017089583181309966,,,-0.017172612433250762,
VEGFD,0.01382905038099487,0.023822523930351287,-0.02922908854788523,0.05552036054423208,-0.04298087687154845,,
TNFSF13,-0.015307118556858275,-0.011610276467417777,,,,-0.027981338620261816,0.027068374474309997
WNT5A,0.03927891081126452,0.01369443710540421,0.028173417285690838,0.07210762174657567,0.03353218206020318,0.049106666570199284,-0.027885217995926647
CXCL8,-0.05344614737133982,-0.005946892259448628,0.02286786829603273,0.06276275136065058,-0.06273944430757247,0.07035005121082762,-0.006177137778811195
GRN,0.09286519056580173,0.04359979953603408,0.018792387088233563,0.08333855195635459,-0.11460284323259282,0.05580837581151468,-0.025676250823961723
MIA,-0.023516073380695585,0.02042607434062766,0.022783950657316854,0.02260881381223336,-0.047483929681938854,0.026251059144649105,0.059710415131441125
COL4A4,-0.024361168085131384,0.025372641870936973,-0.02864241704563652,,,0.12460135160031081,-0.03163495144961328
TAC1,-0.008271114615177702,0.014441166721425824,-0.037257100824163523,,,0.01442282963622007,-0.02847905729844418
RARRES2,-0.04937464936025898,0.03832560969340007,0.025266600884986726,-0.09591309705178948,0.05170852234237517,0.04968319656294405,-0.0006621896130035055
FGF7,,0.042429572456611664,0.023000478253110693,0.04797556526843751,0.0015905139760869402,0.059348537068911224,-0.0006496032956718037
HBEGF,0.08848962906470967,0.010826481146675898,0.029656592751602897,0.21914631351717692,-0.02663398283208447,0.022969851039574593,0.05718812121067786
CSF3,,-0.012755317366793457,,0.0254646391697018,,-0.018080111704064747,0.012099506234371206
PI3,-0.021339841229272006,-0.049077910702338245,,,-0.06106908235916109,-0.03928207620466398,-0.059798521127631905
PCSK1N,-0.011952105861637141,-0.007585482812076968,0.038176789758032015,0.1693221494836824,-0.06033158393363278,0.0249704209182012,-0.03234090786128685
NTS,,,-0.023481214535874664,,,0.10012821636674088,
SFRP1,0.054819845306720086,0.007984222960753072,-0.008023672576704928,0.15551837874886812,0.06280732873823704,0.13858388871038063,-0.04151492512493213
CXCL13,,,,0.14513915583145318,,,-0.026991639573881388
MICA,0.006676418205099737,-0.03900442659947719,0.0021445066875491648,0.05851359818159812,-0.0045985219557289105,0.07250868988971583,0.06719977989487116
TG,-0.03194270544515313,0.011997122373377947,-0.027639172533602135,0.09212945298800715,-0.06028113681043134,-0.035259666466454245,-0.013231650427063339
ADA,0.06489785734996066,0.04099435824568922,0.010916267847889509,0.22165760903248724,-0.014895756056132593,0.03806416620343044,-0.005484571445039732
LAMC3,0.12757560065974216,-0.025321193502314977,-0.013854229453950753,0.1392139938347872,-0.05877129611247111,0.085664812209224,0.0697417831165416
CCL7,-0.012902469366133332,-0.023363097517995656,,,,-0.01894620447583177,-0.03556277330948856
NGF,0.03974338479666814,0.004129133118909458,,0.13345058201720075,,0.05517382788340545,0.016140076745249376
TNFSF15,,-0.026015951760750295,,0.013519195166014715,,0.08158689998983307,-0.03682846258591713
HMGB1,-0.029473179233277292,0.026671970792743718,0.007515390196516548,0.2779937402483541,0.10984060392075892,-0.05537920959871824,-0.02190468165564985
ITGB3BP,0.007224343208905593,-0.02806005440960026,0.07748610723639655,0.16009960693262948,0.09800293335149587,0.036715040043322496,-0.005203342140376109
AANAT,0.017490409340864425,0.07825097491055652,-0.002533756071047039,,0.07503344516055731,-0.020045874433425204,-0.020318497949104196
RELN,0.004512490768692421,0.03397894152619489,-0.013231327589636752,,,,0.05589823691801933
IL15,0.027925678475705908,0.009276479234630661,-0.02511831807807837,0.10217897318948668,-0.019027129496193337,-0.011491249319020585,0.04460242404967476
UTS2,,,,,0.02348346638856604,,
BSG,0.027411981945349186,-0.041408656536010474,0.031559780819024365,-0.055137258945529254,-0.13905438031017697,0.047415761537315936,0.05949395470563904
ADAMTS3,0.013923886911903516,0.04517359218345007,0.021075045628143267,0.07765611127369297,-0.034027394937222705,-0.03156960468173468,-0.004585875229997656
CD34,0.11508457917287547,-0.001356137955457991,-0.0040956414734335134,0.16680837001777468,-0.01692356768338776,0.024358334554016533,-0.03243043408969898
PLAT,0.05753668870357483,0.013806110349416935,0.035567258747738695,0.08637003298240696,0.022455456859095616,0.018428004973819613,-0.015349589660572833
NTF3,,,,-0.0018642723935057002,,,
LTA,,0.009066414193431812,-0.0239389852236624,,,-0.011854291685458871,
CKLF,0.026024299344202747,0.039475159231729944,0.012200948978296712,0.17842593534632623,0.03787219552845324,-0.01889064386813229,0.07768496701484244
APELA,,,,0.026155514091330816,,,
CD24,-0.02240968891217971,-0.012090570831000265,-0.025241502275024624,0.2193852931246742,0.12178143167747174,-0.08283726822225244,0.046919997353135734
HSP90AA1,-0.07802324991481457,0.06221753535265635,0.03286608950244899,-0.027975758205690555,-0.13962407433302237,-0.05310834006005488,-0.048911339370955265
BMP4,0.0004285225269216393,-0.03894255448276061,0.02944033858031716,-0.028855218129164622,-0.03926717511877251,0.04476001493091985,0.07960440023493551
SCGB3A1,0.0941005667643947,,,0.15662283306610725,-0.016994093553400435,-0.005904699230887041,0.042902959051030566
IGFBP4,0.13279738069647995,-0.018126319872823128,0.05262718482069266,0.17693638251821614,-0.030226259584103556,0.12541202749210206,0.030783455408162623
RSPO4,,0.019768269725668076,-0.027842497183444677,,,-0.03558211554564668,0.03354006884110105
LEFTY2,0.03983650232725496,0.008942927772612037,0.02315819208192411,0.01373136036094766,-0.01637096154288274,0.028319230464764082,0.012550843313367288
PF4,-0.013384239479671678,0.05310792308861607,,,,0.01798454911100746,0.00527387878202653
ANGPTL2,0.12366085364480638,-0.02955735604390905,-0.013808646325235348,-0.1296537831755913,0.058786826406832776,0.03154944777644725,-0.014494186746269842
LRIG2,-0.019317766315964744,0.07578740756542288,-0.024297105267855147,0.15516327621866255,0.04431332479975994,0.026669584597706623,0.029271639498966395
ICOSLG,0.03312898783114254,0.013614754963237762,0.0009636637224495888,0.010943013697883133,-0.057212581556227056,0.03403888436355246,3.920085512587572e-05
WIF1,-0.0240827665034432,,-0.021485395607913932,,,,0.04930901194927532
NPPC,-0.03059937790015434,0.09318763763209928,0.008209949853160372,,-0.0335707472267618,,0.01361795744830783
LYZ,0.018859594329061962,-0.016659725372596277,0.048333148684100304,0.12869654819053725,-0.03915343007156223,0.04044005028696459,-0.06536920798012114
EREG,,,,0.016702773681242827,,-0.020260895951882858,0.021004308912244456
SPTAN1,0.012293507965424453,-0.0043779435419733295,-0.008245725866466396,0.14799527120539943,-0.07759229205259138,0.03306963786209154,0.02809130690248948
LIPC,0.024593102445854366,0.007201328618299415,-0.011102560872525378,0.02608396484037732,-0.009739522072959512,0.028826415673827047,-0.03129833617765408
COL8A1,0.1048595413478585,-0.007751594717465017,0.05253402182531797,-0.21980848058845795,0.015094569229730055,0.012494453008295306,0.01073913823258332
GSTM2,0.03430011826652622,0.07336267797988329,0.025201298934923302,0.06690549730704223,0.06891810602803679,0.012601100116855031,-0.04811005614071832
IL4,,,,,-0.03700526028736272,,
SPX,-0.026501486558428638,0.022870596022216496,0.013765803842847394,,,-0.015504518358690687,-0.01174152590974734
MFGE8,0.07388551076539089,0.04588905875252271,-0.00040623251608511927,-0.051184209778261935,-0.09554278129890877,0.016435500336895496,0.017889421941223702
TGFA,0.02305809830314447,-0.005339802160396697,0.026304427753130993,0.0913803505417249,-0.017299382465565463,0.018497782303645363,0.015832570798089356
SLIT2,0.06729931609084636,0.028009049603620925,-0.036727644495211036,0.03925185282569468,-0.057641761032463545,0.0002762413164623368,0.01239469906739391
PLTP,0.0045330301786447305,-0.023260664306352118,0.019394118099060026,0.10170376457219486,-0.015354243649195834,0.08432622611163147,0.03515791860512317
APOD,0.022948186184298006,0.01524218974423951,0.017369319214445192,0.10487862107158187,0.00878548791740132,0.09887848664845768,0.03306962865101698
B2M,0.1335406821047491,0.04724569854622825,0.00852297066253653,0.26379789136680076,-0.058814807346185154,0.09358153868807806,-0.004979157646886071
OMG,-0.04145387409707511,0.009297215742944983,-0.004751869570206524,0.013420460046942957,0.11511972695391039,0.01622519795634458,-0.0038191484049583937
CXCL3,-0.03305197643924791,-0.024466664064884562,0.03844150114686718,0.2503393373997643,-0.07499754685365119,0.03429822143462921,-0.029618357490734243
