,UKF251,UKF266,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916inf
IGFL3,,,,,,,,-0.02745404329057013,,
BMP1,0.05022414167475165,-0.01645555090745633,0.017204604051674347,0.006258154787478806,-0.07282718166715033,-0.06838301123811125,0.026690574523335207,0.046653899378415936,0.009491468680928561,-0.020387789398747812
NDP,0.00815389913252927,0.09923234498375202,0.009225987547304547,-0.012594263510158752,0.06747334714568046,-0.004837442691074118,-0.0010941860638965422,0.011868373138179622,0.04899493647343293,-0.11085440889271034
TNFSF18,-0.02601053554602775,-0.01507973009669257,0.09347954072122436,,,,,0.04614155781139896,,
IL36G,,,,,,-0.020126428266480572,,,,
RTN4,0.015516904777735749,0.061593369385087506,0.015273878779955976,-0.0001750483526495258,0.11169273464654457,0.14871527329055767,-0.04933649960742043,-0.0224693279112673,-0.00034893596475129814,-0.06388384484871171
HEBP1,-0.026048017375670668,-0.030022753708794564,0.01437613206328939,0.008433581450477573,0.007249431092844891,0.0402401578305788,0.0098363195048368,0.041100741931740147,0.05408900686308522,-0.056760059187254436
WNT7B,0.06408905758635572,-0.004031186572643395,0.07962542660174445,-0.01305482060866395,,0.009329925900844757,0.1663154037361539,0.07929109443494305,-0.01382508826145834,0.09425823240876155
PTMA,0.002350213229663788,-0.05425915005966308,0.003393859676892292,0.023076992432199003,-0.0972263197556742,-0.11374682516502362,-0.10062246364124745,-0.03813083734409547,-0.0062549758433955395,-0.053633950084354814
CEACAM1,0.013756196865728872,,0.11705904722868746,,,,-0.01982371979177676,0.013059721096641266,0.08478507557405818,
PDAP1,0.029539992034308054,-0.05376147325342922,0.017695428694220215,-0.014377678163405131,-0.004114750855142787,-0.06621334873297077,0.038242270755170976,0.005427622134301362,0.039731836312760255,-0.04156400505162596
QDPR,-0.013261755685809026,-0.0012316424463176402,-0.017167597725056036,0.004394367444436392,0.020013121287458916,0.04222545686753908,0.07416571210376302,-0.04751970195211388,-0.033270075767140174,-0.034978297883898536
POMC,-0.02203189493855372,-0.00212621350795646,-0.012354528249030876,0.07881179727478373,-0.036716716458895494,0.026285148600096175,-0.04759810829003761,0.05715035082632131,-0.017076884265822167,-0.0597432017524596
CCL18,,,,,-0.062463192663177805,,0.038029105732254743,,-0.035631326685241355,
CCL17,,,-0.013279517579130084,-0.016158208282322582,,-0.018386063610534756,-0.01406396969725696,0.020430016321552263,,
VEGFD,-0.017759765162312133,,-0.014148202783512946,-0.011852241183172386,-0.0116652921286614,-0.019704913849150005,,-0.009360668105792436,,
TNFSF13,,-0.014624192384638492,,,,,-0.026986645408378713,-0.010221209792854295,-0.020469129079657443,
WNT5A,-0.000817072681136453,-0.049474106327833584,0.0366021803706216,0.023248466461813406,0.03360965275308708,-0.052950357648288114,0.07842987176580618,0.0035929040708181405,0.018606019064355786,-0.0814338136737921
CXCL8,-0.016629191443136838,-0.02080196515437895,0.02282136643531972,-0.011037322342349807,-0.025453862319605426,-0.05303608419683062,0.05453667863181034,-0.051391239381793324,-0.01725992163742304,-0.01576796408942935
GRN,0.00027146399711468986,-0.005959586723011728,-0.022516992877593147,0.028935913208406033,-0.05493820502417033,-0.009281175257583854,0.028312477532420256,0.06895837996541565,0.05941484059648463,0.09975053684672792
MIA,-0.015794293144838312,-0.02644336027090321,0.029762508188605114,-0.013479428287106892,,-0.026986782544537603,-0.001066650195894969,-0.029952669616661036,-0.003897469930521015,
