,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0291516844937791,,,,,,,,,,
BMP1,-0.002056897761341752,0.01673562338049899,-0.02039128776443941,-0.002302680558739646,-0.0057918798796763584,-0.16514726135169042,-0.17987665202043654,-0.4995789473681919,-0.10939629962530058,-0.0491387077648844,-0.022988106294631085,-0.1356382840750813,-0.04309898700119692,-0.09382874711421345,-0.08907798540554607,-0.04580787617087569,-0.09320999518214046,-0.005339271849236621
NDP,-0.0771339384806374,0.08839985252107986,0.019733120663092404,0.07799760643135042,0.031113566176913937,0.23605864914246338,0.031147353240725085,-0.13283400423872568,0.050308599081786164,-0.0045004015509717745,-0.03948599677834034,-0.04059605038629482,-0.025973650978011385,-0.013139398296800556,0.018992449918545214,0.04962154530575863,0.13627895735273965,-0.07637558400291687
TNFSF18,-0.04923002294324993,0.06114398821266782,0.06491243441399984,,,,-0.0161765197616649,-0.10501094559115384,-0.06951933774541534,,,,,,,0.1282711262566061,-0.040744608673526,
IL36G,,,,,,,,,,,,-0.004377627810394171,,,,,,
RTN4,0.33188938798060397,0.09419474500253863,0.16284071609633444,-0.07654215113575498,0.1261126273935998,0.22489305250467623,0.39632944029112777,0.6491432552930938,0.24432199276399386,0.1630814793655937,0.20717171410533927,0.24749563225619703,0.044237466016250206,-0.0691469409113041,0.03603638924467696,-0.0035107680326841974,0.1814495445072344,0.0018916424630511875
HEBP1,-0.0515713269098461,-0.046714870795448234,0.02067654687783074,0.007644312217402427,0.007240875414461675,-0.05111677511283331,-0.10241203010168833,-0.23315704586342084,0.006970839143715396,-0.10822152609709418,-0.09921581875287792,-0.03738675536686749,-0.022845946934055675,0.011351020801808194,-0.00839496873965748,0.0713627923540162,0.006114042508223443,-0.046135745679984616
WNT7B,0.4037983318205667,0.000837973824063237,-0.003985841803634079,-0.01730495307239856,0.06915597340264686,0.07933673924669221,0.12572027820905113,0.4995740443119985,0.056341290623858786,0.09726425642034042,,-0.020009704147627264,0.029864360030369477,-0.0016723908477658995,0.04491833261626297,-0.041545944865847756,0.1008916229702774,0.04486509673640458
PTMA,-0.030187754331271837,0.08019387698816555,-0.13963700311857027,0.056947974652967706,-0.021423372360413907,-0.2084708549250144,-0.4024128614344141,0.1348969838763966,0.14848375098779917,-0.0977706710780713,-0.24725417686223716,-0.23321037281422907,-0.045465892825022086,0.02698641917742515,-0.07243378642491805,0.06406816469911686,-0.12509023922004966,-0.05138718488207345
CEACAM1,,0.030293529822818046,0.006184816261587103,,0.047359331854276585,0.017863980424273607,,-0.1191112340174411,-0.037003852772119566,,,,-0.03822837565429897,0.019988748866764886,-0.034626553372965184,,,
PDAP1,-0.0859544388925275,0.034950949257819865,-0.023960016069434337,0.008633043107189186,-0.018644591928986005,-0.11960422433905488,-0.13071312342639346,-0.3834719865826049,-0.04969179994781654,0.010341639216727172,0.05768186647233745,-0.0883798788173637,-0.000960737850233236,-0.007366146153362144,-0.01078578167888469,0.06127907340307471,-0.05991703148883492,0.0650318616844267
QDPR,0.1870567123779727,0.03292698309839064,0.06380882865570935,-0.01391227814151893,0.011613240748392397,0.25538289973405065,0.20338967365749136,0.14143235826560327,0.16650632780510063,-0.0274758718786732,-0.17045004713487058,0.10880166864173246,0.018778466169999265,0.05721915229484536,0.05797380102898069,0.0036177600649048127,0.18656746088434364,-0.009364994312645855
POMC,0.22807364185783394,0.028900787002515693,-0.04418250911267887,,0.003152301161651554,0.16061181605418043,0.05773319200961852,0.039408899595489565,-0.017981578099735898,-0.002013202390244031,-0.020507652548022837,0.04531500491668121,0.04584579825510979,-0.002686966835281278,-0.04945119283720834,,0.05963507010509588,0.12016799898526294
CCL18,0.03799711795164535,-0.054906814268270335,,,,,,,,,-0.11045991434988107,,0.12897265172389533,-0.03306376769045182,-0.05320268057471523,,,
CCL17,,,,,-0.01328743369318191,,,,0.01250312077725541,-0.01421508507319654,,0.00022932201276563754,-0.027121182221332675,-0.029251737251964793,,,,
VEGFD,-0.019403007445676367,0.007856712343855607,-0.04272277896674131,,0.0021479244045706034,0.0530440028387286,,-0.11234143690788655,0.09821363952183715,-0.02794475379036879,-0.04588905453030546,0.06830704018559536,,0.11788097264886072,,,,
TNFSF13,,0.03994539218440723,,,-0.02198171124304102,,0.030021806998038726,,,,,,0.00018070451944521136,0.021844657527531328,-0.029289050142355545,,0.06597280888041862,
