,MGH258,UKF248,UKF251,UKF260,UKF266,UKF275,UKF296,UKF304,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.017996414671789994,,
BMP1,0.03785921744398922,0.05795497814903388,0.04280098248443248,0.00014204248437559957,0.026898925011158203,-0.06398187219958987,-0.004361837550022746,-0.04992027278708784,0.00964315688262981,0.016008570534731596,0.09412879120127235,0.051687919515741115,-0.10352592800752437,0.007576701891876901,0.011417906053300642,0.03927223786528745,0.05109371280562853
NDP,-0.034522530096545934,-0.03667088108671576,0.009310281378656955,0.06250642153108943,0.016192211345993947,0.026074129804343118,-0.050150315626752436,-0.02126505998066349,0.08749345124809543,0.09486849039021827,-0.07700793753690495,-0.02006659152701176,0.060217171532877485,0.1022031720576007,0.06690385366730463,-0.05771710348744012,-0.03061181248517158
TNFSF18,-0.02645430384175418,0.0022515554542124703,-0.014822264000202989,,-0.014453489852549012,-0.010647509681371023,,,-0.01451672891472386,,0.08384944470236672,,,,-0.01855938479564374,,0.026113253812321224
RTN4,-0.06436398506170221,0.03155725385660296,-0.06800479692128884,0.023223862140415715,0.002597704616434434,0.08669072931243282,-0.0028177735998272144,0.05758737704044898,-0.02273437289995808,-0.054782982977156953,-0.059600073540642326,-0.04119840581033194,-0.0016524997479225511,-0.05020477889693603,0.02593928277886674,0.08241742181393931,-0.12502168902093694
HEBP1,0.0065722931173645225,-0.040147725534943814,-0.007750626909684127,-0.025457479600797566,-0.025301962042052633,-0.020781968346359595,-0.00665376505206212,-0.05564565055629554,-0.0027181232798320384,-0.11401441917327294,-0.02075687574492944,-0.0013841834651794724,0.0605642326468462,0.08031310438696855,-0.02302917380176352,-0.04742904822769513,0.07660703230016225
WNT7B,-0.02330541311274824,-0.03827125952649122,0.06487414568404863,-0.03316448888275257,0.047635083290348455,0.04836024709959133,-0.02341278444878321,,-0.0186598351622449,0.0529281070268148,,0.17779203588840378,0.06821163447012918,0.02755806311275716,-0.02504856989131255,0.009048699462408017,0.03985010592764569
PTMA,0.03096250463024623,0.05005076429660277,0.023619468125146904,0.040911183479825995,-0.028102658337084162,0.08486530454666195,-0.01744606421426892,-0.026159005341622375,-0.0037375680800235877,0.020199851396746085,-0.07457575013815856,-0.04717847788869883,-0.043933811063009906,-0.012130657841072208,0.01564226811615005,0.033517200141393574,0.0359758599996829
FASLG,-0.023305419701128822,,,,,,,,,,,,,,,,
CEACAM1,0.07111684759581724,-0.0027689443140532536,-0.007419449215708044,0.0037267038187228357,,0.01729277021174996,,,,-0.022307552646395876,-0.034196326811655194,0.047541792672293054,0.03300634567392317,0.020256999834815347,0.05328439881734385,-0.003849588445338927,
PDAP1,0.040252609202229755,-0.0007441422543757277,0.04095092605250218,0.009051768079655707,-0.02516079125162705,-0.0051511086644340665,0.013073947411246511,-0.04043901258570448,0.025651791566304004,-0.01935291031632994,0.02951915308945645,0.04893885377154836,-0.018960097633128187,0.021292217919732605,-0.05758184206570225,0.012771054127988186,-0.03621826561351036
QDPR,-0.06245640545044657,0.025839021449444624,-0.041005377155369914,0.0003585807131450454,-0.050525384548498205,0.025174245002840816,0.01613215135655187,-0.03446043197434737,0.03849633518704084,-0.06881288199229024,0.09658610325607031,0.006859620131453361,0.07874354194339203,-0.014106830059666831,-0.04957439394143801,-0.04073746018727361,-0.06575139456942164
