,UKF243,UKF248,UKF255,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.017543366329935278,,0.011869051537407263,
BMP1,0.07071234873061001,0.04611533428420358,-0.06433832213844261,-0.022327977336920588,0.04024951268101229,0.07131142705972508,0.003007357290565511,0.00022222147251360576,0.1379963928961634,0.13939001275440469,0.08957921382603697,0.03645456487391098,0.16737662769694467,0.07477617146830803
NDP,0.031949396809849234,-0.01781336961480342,-0.01817781709616076,-0.05391883288365419,0.005707246257508841,0.15418580436113538,0.17225041504206826,-0.10154627207318476,0.13543713235020194,0.13931786578888347,0.04542035148916676,0.039292632203037484,-0.00440314349951012,-0.01246159339633277
TNFSF18,-0.0296234283996479,-0.02944834135564846,,,-0.02677490377003714,,-0.04033046012081177,,,,0.12308193670379532,,0.10869086476513798,0.1241127772269292
RTN4,0.06104952930099974,-0.008951971236233517,-0.0077058779136323745,-0.05254975050294558,-0.06872415314444415,0.006137463767705389,0.03693300160827857,0.1582951906193321,-0.08492313447273928,-0.055924793360184494,-0.10255661468111518,-0.017779846207682297,0.049559257733209724,-0.1423827812738614
HEBP1,0.03032114281438247,-0.011065940003272674,0.08175890827080785,0.010297024301259217,-0.043509936325403446,-0.017905866149855582,0.07121167509439684,0.12615427541558769,0.017786791603825857,0.10101151806888999,-0.02593251839993986,-0.040193827862746945,0.04093023698078384,0.029635300062145126
WNT7B,-0.013676882169829705,-0.04358031503357981,0.03501717214176743,0.021241272697395657,0.13356964005527355,0.03767561462909878,0.042222412596577885,-0.026070936185558856,0.04281953200331346,-0.06298293049907172,0.014224319711100275,0.04451760802996218,0.064868288294226,-0.0736372784978226
PTMA,-0.17704282717014805,0.012670939402867724,-0.09839952586850016,0.06045059512583296,-0.051206499335377825,0.10441263658861734,0.11189773632723457,-0.050335642355560026,-0.09250077514704354,-0.04507642468592944,-0.14122943881446925,-0.06725134002935165,0.03622383641622412,0.003582056111727492
FASLG,,,,,,,,,,,,,0.07968569558704472,
CEACAM1,,0.053909364947154745,,-0.013222520079938,-0.01598866854145991,,,0.1259725412952622,-0.046334178094725835,0.025194632525885607,0.0505355179235519,-0.022880137688760804,0.020166388133562686,
