,UKF248,UKF259,UKF313,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.019917728975473267,0.026792938773517697,
BMP1,0.05436514078513269,0.03308286763105642,0.08323088084860997,0.0029250899850338423,0.022965807364338994,0.033841562901910247,-0.07282370112959918,-0.01890915049377185,0.08433533176911874
NDP,-0.06705569026524444,0.04929769590130862,0.054755302291206696,0.009414623973651516,-0.0419843899571901,-0.031301235320860966,-0.046360414591115846,0.032818296005258915,0.008625853916008952
TNFSF18,-0.00259896714049196,,,,,,0.08072565387651559,-0.015723038844777822,0.1285320027480951
RTN4,0.026252879661743556,-0.04394509388333606,-0.00392229431447963,0.00757952605065838,-0.009402008821361245,-0.04029697386826729,0.016656150863560478,-0.04237513794100003,-0.059811349509042606
HEBP1,0.0243624574592972,0.006774776057752962,0.005470614492392019,-0.03580027352496459,0.07213443034085056,0.006779603540788858,0.0559357883914162,0.046668048344563395,0.023864650543465333
WNT7B,-0.04030055834347888,-0.02495040085018759,-0.04119867644974338,-0.03810890265618213,0.018566713576142008,-0.040007090713521376,0.01151681704637796,0.08344986193640817,0.006774663111284926
PTMA,-0.028859615384084773,-0.04540627810723169,0.0736974250284105,0.023177302829072866,0.06578593798253017,-0.047171205585321146,-0.09685373552926221,-0.06223050168905955,0.08736577751843408
FASLG,,,,,,,,0.07178179446663913,
CEACAM1,-0.017332501428056306,-0.009039954104753365,,-0.03417667430562866,-0.007878166594546394,-0.01938157287070297,-0.02951498845057464,-0.02481371606865053,
PDAP1,0.03520203630162754,0.01974889510429594,0.022837533787450744,-0.09889340173145598,0.006007661670813529,-0.07407694288824059,0.029171746169722595,0.038394342573146986,-0.05459825668938242
QDPR,-0.045338387980267104,0.02083174531235315,0.03211365676213811,-0.015021191115469635,-0.002672453540193265,0.041753806581377464,-0.041403039742923475,0.03124728711117221,-0.07137824560743757
POMC,0.018627956033311247,-0.003947524457969358,0.046178639876405685,0.00026870106478364046,0.0009190601471440217,0.03767258830427562,0.05899739408087846,-0.010310579003965219,-0.032894662535750234
