,UKF248,UKF251,UKF259,UKF275,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.015224970975154909
BMP1,0.06206036341371098,0.044325368333369405,-0.004059568322405751,0.02535579994230762,-0.05093308656684166,-0.0169957543744175,0.1325936922731772,-0.035926307310866795,-0.057737309895029565
NDP,-0.052573749419728984,0.04670952820186107,0.04664794846258469,-0.003772394494433497,0.053348832139426754,0.02665215046949034,0.10491841329319299,0.006557317307072017,-0.054644832824570715
TNFSF18,0.003789783769911012,-0.008549245002094393,,-0.0273736554276231,,,,,-0.02568180408967739
RTN4,0.016388671035185445,0.0033672682581218204,-0.014678641570047378,-0.11828438535892481,-0.013820657539211106,0.017230421723302615,0.048167401389080995,0.030520835642187293,-0.011211185330635325
HEBP1,0.0009579913042980257,0.00772478429427932,-0.05041241613682385,0.002774160622970266,0.03456002964521336,0.005741911494902897,-0.03661288790897854,0.016372464938176533,0.0013304938360072878
WNT7B,0.0021154207601939055,0.0152486511667006,0.010943473475759713,-0.00267285977134126,,0.0026956872860067487,-0.06012888756614484,0.020674797388555224,-0.01912372113782285
PTMA,-0.03118598029064451,0.0359876667462383,0.016289255299673164,0.0050842201453204965,0.08492521031730067,-0.06778426219494624,-0.08097659886618742,0.007582191189878747,-0.06800795048183948
FASLG,,,,,,,,,-0.013204612132677951
CEACAM1,-0.015803934635700758,0.06815015513692659,0.0034980470090075766,0.06039067057983814,,-0.02340051592377022,-0.02912964665045412,-0.01965744251113883,-0.01837227837811354
PDAP1,-0.005461048261977477,0.10490293127312299,0.03665491587345983,0.01452670166551306,0.006426772386929256,0.027746153120244397,0.05112817729932455,-0.029155256975410215,-0.0021535977754947202
QDPR,-0.034144201278983856,0.013398182367248303,0.0634592049939391,0.0218390004938974,0.08024464057855611,-0.023822427299276305,-0.03428983269336469,-0.015852962689216394,-0.04219987443360908
POMC,0.010175698522147973,0.017875111728868347,0.020177494173138754,-0.013814951576504418,0.09114072735179576,-0.05618624065925294,0.018074485100982505,-0.032156993635873404,-0.03868614955961116
