,UKF243,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH916T1,ZH916bulk
DCN,-0.030032804337924705,-0.035350861510826156,0.06870534969802564,0.01226238129988104,-0.00825233676737497,0.12038307608072639,-0.09616972370391429,-0.058372941991271625,-0.020091325428907462
RARRES2,-0.06693545755462703,0.01959649886793573,0.06524938422854341,-0.03572679421207675,-0.001331646083083218,-0.033795970313120566,0.008760490817728079,0.05580374771804069,0.014200599919102684
SEMA4A,-0.04813975605523317,-0.016848695020597767,-0.04808104158032702,-0.005404927092454377,-0.022594887540912347,0.0004779466267235312,-0.08566475633371068,0.12415685302502831,0.010740856984996711
GDF11,-0.004899604474101622,0.028791624389328904,-0.004396965852792476,0.023144253472227,0.021859720852997977,-0.03307886433397855,-0.040289628102664864,0.05621627858123238,0.0012802264504722153
GPC3,-0.03269981608501121,-0.027758235372762168,0.0899782566975741,-0.01693995312745602,-0.008627786888294504,0.005492849966109846,-0.042803653013172294,0.010558012798730613,0.020929688389014416
OSTN,,-0.0031720932039682706,-0.01569881285104948,-0.015048321630611974,-0.01065434664499835,,,,-0.041808747221623956
GRN,-0.04654372717604166,-0.03594698870245956,0.07578391156346775,-0.005242409327600887,0.029681543021371534,-0.04331460522358122,0.07685311218835225,-0.07829786626763652,-0.004795977555096536
CALM1,-0.0783629923828152,-0.014994181776363164,-0.10353436455250442,0.03838398092292604,-0.030091964146795186,-0.051209567982055774,0.02735520478484478,0.1255014239090025,0.031028248851449263
ANGPTL4,0.08656359843521123,-0.0015648331051889303,0.04078387352574034,-0.008366674855969047,-0.01617250609778481,-0.030509535755076117,0.05045612318446375,-0.10933245190063401,-0.08380579254415858
BMP8B,-0.0027423233594684343,-0.016827185590133405,-0.014287946512632975,-0.03670682344459372,0.0469218253325558,0.042012656525692076,0.08994611405107063,0.008738064430425336,0.03949598652040077
TNFSF4,0.0549642743017527,0.07983296703763365,-0.024041494455166252,0.04817973255475765,-0.00549962063896904,0.0205564363370606,-0.038978030722287574,0.061015145496096115,0.039583683199567773
RBP4,0.03869744368997513,0.05005230795414635,-0.014475302072641378,-0.012231168978146885,-0.08288979032834982,0.018278881751772967,,0.03730938155715629,0.015433910845689937
DKK3,-0.12083905988834866,0.020635558760473047,-0.03951536148648161,0.002254286775002053,-0.09361341838879743,-0.06618049106457469,0.026792981452667418,0.032042541896303595,0.02058668055290812
COL11A1,,0.027559161996373722,0.000808924754567198,-0.02642849217034586,0.047031688864819204,0.06230395006278383,,-0.039218901643107845,-0.01000009129079499
COL5A1,0.10401280384538371,-0.05192292645136766,0.05591538670260224,0.005142137871943529,0.038505988129549036,0.02964644033723426,0.012282507054243698,-0.1276145751497846,-0.05573328126673571
KISS1,,-0.02792891626518495,,,,,,,
MEGF10,-0.037735313811475615,-0.001772531854862189,0.009853330129462679,-0.0027701602562411345,0.024037443946559045,-0.003978798090558533,-0.010284396177730398,0.15329308619619822,0.012575145603024224
CEACAM1,,0.005319988629215782,0.030626847635437635,-0.0210488729730686,,,-0.02938194600112007,-0.010611158152287406,
EFEMP2,-0.08477854376874297,-0.013892336498424841,0.10023858360899772,-0.0011660846112000148,0.061867394932863404,-0.04936602893387812,-0.012108831991035249,-0.0906653729923439,-0.04777294254877821
IGF1,-0.04900982520091257,0.006273271826749652,-0.02615898053560666,0.020290221990567497,0.022693732787476092,-0.025899572808099406,0.031284748273293334,0.06738280834380113,0.08917366153413579
COL6A3,-0.015704071649470446,-0.03242287342316059,0.05581547156820644,-0.02471795690496334,-0.0005274098572723425,0.04899721565850305,0.05329374284356148,-0.07235215759725766,-0.009789104597884022
RLN2,,-0.022713623433337476,-0.017424197573414478,-0.015122940601415315,-0.03269299158213801,,,-0.006477105986675768,-0.018792926545168596
WIF1,-0.048574781772665825,,-0.04747952733733531,-0.013072155889986252,-0.03236319085602957,,,,-0.031816545218113175
IL13,,,0.03599335775006058,,,,,,
PLAU,-0.03932381668811055,-0.003463113365895243,0.08716640535294852,-0.009266201421602336,0.0031611618924140173,-0.023273732463811796,-0.039958331579904735,-0.06266893029904885,0.04706539924782169
CXCL12,0.03704787788836111,0.08223270638279072,-0.021950077465302517,-0.018845704845582338,0.09970045335706798,0.012322189462981527,0.08962384987637856,-0.08208967686871622,-0.018564841844269046
MMP9,0.10507845769043155,-0.03667648205627895,0.0574798683440604,-0.019907900550216746,,-0.046510145463671375,0.08880755615071359,-0.10251294693109099,-0.04320521756598661
TNFSF14,0.007260234142316356,-0.021329986421089794,0.04423559828822715,0.018272543838252372,0.0517006508167812,,,-0.03809783845055674,0.07152374252890752
HBEGF,-0.0009327955517294788,0.02802711209840892,0.08843588523040508,-0.004599383272864954,0.06639618004885481,0.030534716463267608,-0.009004294697001992,-0.0557424073460925,-0.04447776941932392
NUCB2,0.05547467987607105,-0.009283314087206977,-0.0005962542329501851,-0.025997799146525107,0.015546606729571397,0.059998241407048125,0.05613618740480276,0.0030119560289739947,0.029090551980862377
VCAN,0.001359310029006456,0.008358788781834981,0.04420672126375448,0.010641885747590299,0.01837329991213044,0.03235681181586215,0.0712495304861992,-0.10203161720873183,-0.08233283090481693
VEGFC,-0.027745623241199946,-0.006200432094718113,0.036791087397319164,-0.031163748074804758,0.0038579964524734778,-0.0071893282626022586,0.06427646409023297,-0.01659610275712746,-0.05193974023741315
LMAN1,0.07123222770938177,0.0061856277597668475,0.0347684018427966,-0.027592562397535426,0.03909237306950956,0.03337024996820377,0.015372884585356926,-0.0443389246616854,-0.0855692837408458
IRAK4,0.06619268224802402,0.019429420582976194,0.036499949931196325,-0.006644457085108736,-0.003852112436772283,0.029357127988293236,-0.01025628671331167,0.07221837898696629,0.0206816260964186
