,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.016020371934438397,,,,,,,,,,,-0.021494339024298904,,,0.017156534228670358,
BMP1,-0.04271230992742944,-0.01862022777865417,-0.011468776847867691,-0.05691736792372059,-0.010414721847920291,-0.02427391923105503,0.061006422640951664,-0.015697734689300854,0.030066733661696685,0.09906645653154852,0.0004972936762913914,0.06304317691083405,-0.016415077648924824,0.010678535252299826,0.019573698357148853,0.004868081751397484,-0.0487300019979086,0.05230582368750197,0.020944693961123723,-0.007964148970340455,0.02354792444007795,0.02864625962079161
NDP,0.043038440557505435,-0.005040210128387672,0.04589176296454402,-0.026057113509676755,0.02651246225392316,-0.020505550306839933,-0.008866807645544334,0.03242522474881917,-0.026126571309166097,-0.03809445320674168,0.07425466546289007,0.10475646003407667,-0.046680835928994004,0.14794394780404793,-0.009192545622339765,0.06631427945875111,-0.004666939993935018,0.05540917998374668,-0.012522230349023653,-0.030273406279030725,0.03000645668294279,-0.10537550678456965
TNFSF18,0.014989520086374464,0.011005945984706023,-0.03408029032647656,,,-0.015682682164555574,-0.0237897713778962,-0.013383382930971759,,,,0.18483760725496431,,0.030396996651045605,,,,0.0003069286126966785,,0.06717456429078197,-0.0009065803127391139,0.02379596916266642
IL36G,,,,,,,,,,,-0.01614024145987865,,,,,,,,,,,
RTN4,0.07959818808228092,-0.033011139417174686,-0.015795106852152706,0.0014269117062663138,0.000357408985371706,-0.035966747416013224,-0.007907724305551748,-0.012810222633097822,-0.050283941602217816,0.04605372445254104,0.015961065103020786,0.02372285220442534,-0.10476798766341375,-0.029871486694367302,-0.023558897620464547,-0.06301000145855273,-0.0065415247132105106,-0.08393001364062956,-0.019462595859835983,-0.07409263516097424,-0.039372707109477705,-0.14467327463699747
HEBP1,0.001716723507883736,0.017336983697024685,-0.01924245123077159,0.00872274851121391,0.013625787679425109,0.00625808072905214,0.012391183430672501,0.013574607453915453,0.01776974331827534,-0.040535886215693484,0.033386599663515065,-0.01577848141982426,-0.045352686657746756,-0.020157757951187263,-0.0048318473347320695,0.028916505672465943,0.029974869888659723,0.022910420241394912,-0.019249012354780118,0.09813055060225612,0.05159935155548068,0.046279445612281554
WNT7B,0.012444386107409545,0.09555685457326654,-0.021169619904186154,0.022264811340508808,-0.011633973571041937,-0.009293001410850293,-0.001707144207738979,-0.023134594814682875,-0.013333400842499874,,0.05968709185113526,-0.03053721019463393,-0.0318658781007536,,0.03677694374707059,0.02732712986788124,0.05688649712995771,0.04459197181658164,-0.0015522106009655328,0.0147071484767479,0.013855270134374422,0.06600488914303596
PTMA,-0.015483972961545,-0.11002273697563103,0.007215758776997051,0.020782565864300138,-0.034040730467361204,0.04086851026482382,0.019687702759261527,0.009060867969619628,-0.020944245118855818,-0.03643853251355737,-0.007617278227617775,0.10778457683901686,0.01901215303896004,-0.14000079417432365,-0.11954976158922241,-0.013467504717148596,0.056327183413275396,-0.10374960413980908,0.017837489586281674,0.04939782009601826,-0.024854090914835845,0.11281388599004588
FASLG,,,,,,,,,,,,,,,,,,,,,-0.029012822105888018,
