,UKF243,UKF248,UKF255,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.035400183524635274,,,,,,,-0.018872397839465035,,-0.02237271131187733,
BMP1,0.003971244330978239,0.05403188814440286,0.00975808186254097,0.01024583773001641,0.036661999697638815,0.0503215682614504,0.034305894317746416,0.02972853328157977,-0.05335834445748844,0.06397755677613401,0.008121656685231966,-0.02235988208462087,-0.050152588842564634,-0.03028452290226624,0.0764075682532546
NDP,-0.02741838172448208,0.0430624877083816,-0.052623738886518244,-0.028312320471438657,0.002875657663133801,0.054856487761153844,-0.03090667999024223,0.008067350820590253,-0.05614339260808315,0.03272197207170546,0.07886828584726208,0.015971834284938743,0.005641070855781619,-0.07758771623869654,-0.005571800433391919
TNFSF18,-0.018985858833899402,0.04441312200875624,,-0.015976250977165634,-0.004915278462527089,0.10826253698141393,,,0.04521536646581571,,,-0.01946277077445609,,-0.025701949078052705,-0.02430872834009309
IL36G,,,,,,,,0.08692884526743455,,,,,,,
RTN4,-0.05676834030908676,-0.0162451485433582,0.020368693416143727,-0.024270390687988214,0.02453007725921269,0.04955347349525065,-0.026656786920177505,-0.05080022800650611,0.012966884977809961,0.06814858695209187,-0.013432964837608032,0.03395252984927656,0.06007488938666531,0.032920147811792505,-0.06187879553438919
HEBP1,0.05016125869973031,0.03300837017974588,0.11943313870556035,0.014521726347690616,-0.0035031588968128476,0.03831550846560465,-0.003098105930940897,-0.0392628252115126,-0.004562689659349117,0.009148161636372183,0.025609013016257065,0.06415279507010421,0.029975389525115553,0.030799067448611214,-0.013190778453510178
WNT7B,-0.03138573581334474,-0.05227105091077315,0.13535221460404448,-0.0032100673059053224,0.03389073007376473,0.03993676029890305,0.024550650276464782,-0.014896073746274647,,-0.008020527382305173,0.029911839233300274,-0.028578817074885833,0.03723495451274792,0.016349851431787826,-0.005223451903852547
PTMA,0.02235585598310817,0.05513767925658047,-0.10184646581799106,-0.018724215528647115,-0.024361121151540936,0.020570033440109547,0.0044612288376729295,0.039091362797932114,0.142908550185381,-0.10164681699759413,-0.0049795754594859,0.04072769396320223,0.005349520374901583,-0.05825412589700052,0.07320970970649636
FASLG,,,,,,,,,,,,,,-0.019403844888230454,
CEACAM1,,-0.022480781949354284,,,0.026208023173981826,-0.018139270377261554,,,-0.0007492191579975842,0.05704617837473353,0.02732282629232448,0.04342384444770141,0.0005433954363807759,0.03583135702050003,
PDAP1,0.0277411971269161,0.028074953039289554,0.015460856822533162,-0.011223806469643414,0.02471948882523904,0.042737695011585704,0.0627836223779645,0.013156276073596738,0.0708944486722475,-0.05043703999240236,0.0009352634066221681,-0.05149786448109982,-0.03865049164948789,0.029357582799906357,0.025802820409058
QDPR,0.018148450153637932,0.006730492230348295,-0.014198874329305026,0.048220263003286155,-0.06740086968001456,0.04731748697431323,0.07765336295263457,-0.02478106510338523,-0.011102131704609022,0.0014650088723284606,-0.02130739572529883,-0.022749015778152953,-0.02780049997312581,0.015436597160791092,-0.08890820118029645
POMC,-0.035848469965472224,0.0064179735418730555,,-0.014011157161115654,0.06445014446790458,-0.013382430436424012,0.08524973117420882,-0.029036989441491544,-0.006523524311303221,-0.02093383607782743,0.06053223563003283,0.012568381976256815,0.03161301886492238,-0.062332468915500566,0.09124842568130047
CCL18,-0.0027212737177522844,0.023235021812032984,,,,,0.08235636719818144,,,0.07148345393270625,-0.003711730574130431,,-0.05954518153646937,,
CCL17,,,,,,0.06127354708702909,,-0.012380854849474508,,0.09499185810172614,0.0996053262177347,0.09628761897158611,,-0.017587405958717443,
