,UKF248,UKF259,UKF260,UKF275,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.02242928055718345,,0.04840881857540038,
BMP1,0.10251629817154448,-0.051956320675330424,0.08883783929711493,0.04251235430866716,-0.026276223098066417,0.06323788448567437,0.15503678226922862,0.018791770302321088,0.12876491194683257,0.17191393038065486,0.14897738834442723,0.04110083778164757,0.09987726717163824,0.11748499790696326
NDP,0.03438486041944557,-0.06042743294713314,0.0007205316360293581,-0.0586096060470596,0.02077631137287385,-0.0775066770364895,0.10877225971315409,0.030938522996883495,0.03588803115982455,0.05531580386129794,-0.012277279299004584,-0.005217201382385731,-0.03584250190663371,-0.055370328146066024
TNFSF18,0.04263113844056711,,,-0.04117877028141489,,,0.2720872546663333,,,,-0.02313092113857221,,0.045338288740031235,-0.01128884049637828
RTN4,0.014103223240092909,-0.028616676780101685,0.06167798692438838,-0.06479880077578803,-0.06107858289968331,0.08710715330571744,-0.04998744419025407,0.07795094765301983,-0.06844112068879384,-0.05698531202929819,-0.06662066984142008,0.004162124869986773,0.010427386384048963,-0.09601192199761839
HEBP1,0.06714550063364753,-0.0051322043164038125,-0.020849777760720556,-0.03683629203805602,0.01577247780918636,0.06895981317962761,0.05816910727501715,0.11169513903362825,0.06086127216317893,0.1022115986121585,0.027327242880654176,0.016495831792900557,0.07337546912764799,-0.03082132531297637
WNT7B,0.007357678559077105,0.02076703464116966,-0.014783409566748038,0.0022025984802277144,-0.014651217750239096,0.04770441093802892,0.1156189229949046,-0.061151217292859765,0.07664268682406893,-0.03922493470653529,0.05309098744994471,0.023962915469785708,0.13526894496904324,0.050478925330630066
PTMA,0.0018966838138543415,-0.0027072567888798637,0.039877590184618485,-0.024178340342168782,-0.01289075334026074,-0.03722958210244511,0.06747810771920858,0.007027469546152181,-0.11949921588966754,0.035669258940796235,-0.1460330123638909,0.002412036071078915,0.028262592152916308,0.08826259628590612
FASLG,,,,,,,,,,,,,-0.03140670066432419,
CEACAM1,-0.028089144717652177,0.0026100539188201577,0.003486491629938947,0.05170124647033328,,,,-0.0030097378401313154,0.017950161273943607,0.03405693292116119,0.026722070345649444,-0.028201627497204996,0.007889511305043992,
