,MGH258,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.0008227193897389593,,,,,,,,-0.017974685824173435,
BMP1,-0.01630501684653092,-0.011035263887075293,0.0992047515908894,0.021952397766388583,0.06823311154387512,-0.011010613043348931,0.10010014037763534,-0.05211319333264806,0.06439620333889315,0.006638994478534342,-0.031269991981076634,-0.011942003911983664,0.02527060955447896,0.07765510725376522
NDP,-0.009188791580501135,0.016152467361934073,0.009082015239493474,0.01623827682113691,-0.00808914784939374,-0.009705071586843902,-0.03915880695013013,0.02847644477819909,-0.0011264239797861583,0.05106500003671393,0.10486236808625592,0.013589386804785409,0.11024698903230647,0.004130387915559893
TNFSF18,-0.01927998481725503,-0.028202000961292415,,-0.015232543451823823,-0.005071188848680895,-0.016604480592836878,,,,,,,-0.015829186644729976,0.03992633523613886
IL36G,,,,,,,,-0.01927415286584364,,,,,,
RTN4,0.03285403876704861,0.02715379579738621,0.04495222514200306,-0.03416871011010867,-0.0678647328734491,-0.005815379827778168,-0.03851888332934902,0.10240004665283736,0.030320370461461025,0.0035383018329507663,-0.028807559979698704,0.07454305189920402,-0.07255102778582671,-0.04574465855553607
HEBP1,-0.06141922833319377,0.07596502521286354,-0.0014164838307896938,-0.060447226199158745,0.02292945258723593,-0.03134846049411779,0.008950997911376721,0.010733384648577683,-0.02342968093210853,-0.00417975999582777,0.02198939802827501,0.07783042569639789,0.10250235528533508,-0.01178150864828553
WNT7B,-0.016985062758084944,0.0008466072154473106,-0.013080433594571965,0.015143032328059684,0.011730807951612413,-0.035467361889328926,-0.011246854873331763,0.01085433490086752,0.10236820863445868,0.0129832198856403,-0.03564306028641894,0.0029250808392858943,0.029244162715740787,-0.06658198097867238
PTMA,-0.049819797588170234,-0.032611311910681735,-0.029449433504349747,0.021887032400503586,-0.06601387496347909,0.02398121979585829,0.03383193723262712,-0.05961977191185312,-0.07436463668522394,-0.04586860448604144,0.014750512983592234,0.011209895033713975,-0.04942078644203694,0.07097408186540331
FASLG,-0.016985067559718677,,,,,,,,,,,,-0.015589438883152942,
CEACAM1,-0.023583914954667863,-0.01794980071636804,-0.014343778678458348,,0.018577348884665994,-0.02611489222008152,,,0.03524844574628139,-0.02937164079160172,0.054531544279115864,0.01366444807156248,-0.02169041453410623,
PDAP1,-0.037240934431084914,0.014351592149130623,-0.05016466148098169,0.005931113528014594,0.057987469765443785,0.011426864616064729,0.011891519901658406,-0.031365422409013174,0.008064243427459131,-0.035076945482644395,-0.0128449067774783,0.04647684232937936,0.03979525415216813,0.0352709985957319
QDPR,-0.06456239240806798,-0.01979600007793343,0.015581705998462309,-0.016899588883424244,-0.1023469508961907,0.039313056969663765,-0.014606634606582534,0.05770788775259024,0.10535824936699384,0.06383710279934779,-0.00385821480279921,-0.01725999239876737,0.025224904068452,-0.11271651688121477
