,UKF243,UKF248,UKF259,UKF260,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
BMP1,-0.025478055343508287,-0.02242550717344918,0.07026098970414932,0.02055129070222944,0.07766787563509298,0.04403417115749907,0.01989314001398984,0.017354462300313386
NDP,-0.07055468807832592,-0.02411832560967291,0.0440088660562161,0.01963866656241548,0.003524908766509268,0.007906397937433921,-0.007164737470690035,0.011747992750403786
TNFSF18,-0.018681611329078047,-0.027558992945967937,,,,,,0.0594119788379516
IL36G,,,,,-0.02746034562516856,,,
RTN4,0.09097756372215472,-0.0268530314922607,0.004748486133918844,0.0225121929915702,-0.08273690957922754,-0.06331363184859211,0.061583821104396544,0.01620401324937007
HEBP1,-0.0427053187580631,-0.012428108848040407,-0.0010542127310175216,-0.011664866274644402,0.027130191529397316,-0.01626056645828418,-0.05039221656925141,0.025777383702442383
WNT7B,0.01880221932702014,-0.022536073241213882,-0.0029576203187772947,-0.03685231174185158,-0.03018208441072044,-0.029664925051555956,0.04699980866165328,-0.002939167669486012
PTMA,0.009400387962827307,-0.059877338309448906,0.06598461947997761,-0.02543119337901214,0.016460325093432707,-0.020525900390433213,0.023056850743548952,0.04375141618435667
CEACAM1,,-0.01754054373669688,-0.030168331234951683,0.07585166707022284,,0.014443899602967786,-0.016479388893593537,
PDAP1,0.037811305373660856,-0.010882480115240421,0.029795063383858768,-0.07416510891177945,0.0478922724878856,-0.04829766593822655,0.06874989390280684,0.027683509634649234
QDPR,0.020055207806801777,-0.05917197219908286,-0.02347141693012071,0.06233971702190069,-0.09301431636377773,-0.06248622302715333,-0.0234924468999839,-0.08185126903771896
POMC,0.09384740438466126,-0.023820506025397793,0.03405302058648411,0.011689194111895234,0.04482885143463177,-0.05456858529386793,-0.03860532448859541,0.014034633841404109
CCL18,0.1849964084903148,0.024848062039225276,,,,-0.017498030281946755,0.00485008646664511,
CCL17,,,-0.017485937918412735,,0.017727667324431533,-0.016123559476748567,0.048534416624356924,
VEGFD,0.1763648100355217,-0.021888948232950817,-0.0194812658083483,0.06214364247550637,-0.014423852837025804,,-0.016479388893593537,
TNFSF13,,0.06516922318967448,0.08393151174763024,,,0.010553841950863901,-0.02585786493527576,0.052611918189129823
WNT5A,0.005491318199018631,0.033237139113348454,0.04345335896856401,-0.05544525213855803,0.0817840453573772,0.005106284086557111,0.08875779141453767,0.034736197096105655
CXCL8,0.04332726289932578,0.1370909323718967,-0.04812050867941799,-0.029615925995647982,0.08387066296296922,0.10900299802355652,0.09690083359247874,-0.002880383848357593
GRN,-0.04054377409310252,-0.021110553349165416,0.0010999546610259328,-0.05709343060296977,0.004478580883870625,0.0587557432201384,0.07861628566115636,-0.011087355569669692
