,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,-0.04414850348885108,,,,,0.0484831111613404,,
BMP1,-0.042368164252670405,-0.006049753299253428,-0.04860613505916077,-0.02096198180069375,-0.31327321874023656,-0.074818490929114,-0.05097060924237101,-0.14143007737871488,-0.1502768127699365,0.044143215172213125,-0.04482212667378412,-0.06360452576097238
NDP,-0.04951589925540455,0.04163178362387965,0.14424718214125992,0.020990420788898435,-0.09805108500603028,0.03162145359092283,-0.004357953345053378,-0.13805636159113177,0.014403677679204942,0.011557560593064621,0.04955201058675225,0.05872966772730813
TNFSF18,-0.027092457833711902,0.06652049121964242,,0.08096804283474794,-0.06555920230654985,-0.013134250066313738,,,,-0.027343680645207986,-0.05731748034539514,
IL36G,,,,,,,,,-0.027353896912416183,,,
RTN4,0.25040887290968145,0.05675003913286869,0.16856735451754185,0.11963936956860609,0.4286938050455734,0.04213056503606054,0.08950948155024788,0.37006443443847353,0.22324713245368794,0.0019194890641188514,0.1482599493905471,0.09898439444668956
HEBP1,-0.036826964884332146,-0.04550300780700625,-0.03637613077273006,-0.043591270848566725,-0.16929835816426955,0.029790418010252666,-0.03554315745105574,-0.14463104222157747,-0.005954734255611105,-0.00469648051163525,0.012385792024868851,0.029595616494055153
WNT7B,0.3139185957022715,0.014846359586356422,0.0349496874159898,0.02382321284569238,0.3103914058404015,-0.037648105178432784,0.21165305067011267,,0.16810991040103224,-0.03901896522130809,0.04245713681072411,0.14010920670894259
PTMA,0.004130080138554262,-0.03799523818490539,-0.09202790195174865,-0.1060935888517154,0.09373077665520746,0.11739599750816428,-0.0822765359388555,-0.3861652993833775,-0.18726069457318384,0.0018725441422862167,-0.1293005991056916,0.03285447573966673
CEACAM1,,0.003811202783037002,-0.01876221439254267,,-0.08627217626245547,-0.020657046328889733,,,,-0.03929001436826604,,
PDAP1,-0.055845269272228854,0.05155762385589123,-0.033708611512639854,-0.06129811953624301,-0.27101578563648326,0.02227499356549446,-0.046429045230165514,0.025105275326052875,-0.10064866955618197,0.0843619052536312,-0.030104229649580445,0.08977992392846389
QDPR,0.090576315918116,0.037734445306390245,0.13430100833997047,0.032148944181019004,0.10758355244257312,0.09119487570057525,-0.007222064704514541,-0.29931827520570187,0.038993154303547196,0.04885694018043306,0.18031459324279392,-0.08446247630601612
POMC,0.22691258287560906,0.0554931021922831,0.14254811167779133,0.02576437304877166,0.035086982359641083,0.1111990784762864,0.026198168015457955,-0.034707564220953016,0.09811864476169914,0.0007590496144054911,0.002459892126632645,-0.03154131741486451
CCL18,0.015306610628095631,0.004169035646440247,,,,,,-0.14216668006986358,,,,
CCL17,,,,,,-0.01638096699263532,-0.0185971915822732,,-0.024988561406362225,-0.019681121862595772,,
VEGFD,-0.011575160978481039,0.04983793653805668,0.0021507126337763274,,-0.07396058590460541,0.014321983418116331,0.007161447122988494,0.042573683952609055,-0.02678101523832599,0.023111353367078948,,
TNFSF13,,0.007539153322196485,,-0.026335604957769976,,,,,,-0.03748740907260344,-0.00045747241984942004,
WNT5A,-0.011512363396396965,0.00035648138946331155,-0.07419421906405686,-0.04077821651968709,-0.27189903620374234,-0.03527813021385716,-0.0677927050509608,0.026706631342333555,-0.0738903540772399,-0.01472215971864709,-0.09497182731084157,-0.030810849895608873
CXCL8,-0.017572936191028482,-0.017911401317132335,-0.06465603978128286,0.012608830889531976,-0.10742046455953487,-0.011348185195426148,-0.012703339044128178,-0.15883095921552182,-0.02930240412907458,0.0296083065446935,-0.05993411324367027,-0.02274075213356229
GRN,-0.07777593313824505,-0.08727797626218084,-0.04087657519536957,-0.05877444642094108,-0.3300350850215953,-0.016174424576473268,-0.07235529114567119,-0.25042189915994545,0.04612343720954568,-0.021385191792648087,-0.022493577982150834,0.07610074055706385
MIA,0.01228588848906672,0.017409245681832636,-0.02696165956114047,-0.031773024233215846,-0.12611427482906065,-0.032197007309961445,-0.015514066033490124,,0.010000411236764113,-0.022670133826764274,-0.026440230811175195,
COL4A4,-0.041210146373622275,0.021179201056579312,-0.04921355952701995,0.03981106690845039,-0.04350507325821269,-0.01710223634566787,-0.026062397143520252,,-0.01663643880143794,-0.004082108211455747,-0.04863528310328682,
TAC1,0.33130093974404623,-0.007257772355365894,0.1659158005924083,0.08482236688385206,0.42824217911575696,0.03114560271943508,0.05725031564398072,0.26391454169492107,0.18983075347753475,,0.11498811727882109,0.01962073565511102
RARRES2,0.09973395406368402,0.001699427101607256,-0.14502567962739304,-0.07180031277653709,-0.37442636373727745,0.12274561337234839,-0.00496098984608962,-0.12328125567593705,-0.07833137048524848,0.0064411223945710985,-0.0030269294408891818,-0.09900164080182128
FGF7,-0.0247905950366488,,0.11541401295084633,0.008310775242824963,-0.08577775918803997,-0.0389867343467232,-0.009605940549192107,0.03461955224169521,-0.010339825809214756,0.04183631451783621,0.04239300871523741,-0.08999163674750071
HBEGF,-0.06602366079344411,-0.011722729868190212,-0.08613857594237856,0.000639406709457077,-0.18629881336299156,-0.06849258921375553,-0.03503207629861631,-0.14808911956802379,-0.023001928216490847,0.011748100075505244,-0.09368716472124287,0.02958401764513476
CSF3,-0.02686426731819738,,-0.00950969377137489,,-0.04602753013851091,,,,,,-0.013179906206723005,
PI3,-0.04881952502651123,-0.03200768242821905,-0.008600677551362195,,-0.051827606433605226,,,,,-0.011914466436463626,-0.023731500940805967,
