,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,0.03798320200778729,,,,,,,,-0.018186165253584546
BMP1,0.08501419864896394,-0.013127432451014942,-0.03736804022763204,-0.042163374688640905,0.05661542016480094,-0.005671354173160755,-0.03128064645516156,0.011091713041341981,0.07899832700496001,0.10732481711195199,0.023933504147811986,-0.0010873066087833847,0.0236463070485822
NDP,-0.03360345653339215,-0.019116229815039038,0.1083017389644443,0.00414442745447178,-0.03945235655051176,0.03720690069313069,-0.043904985752185044,-0.045169478527782525,0.013497157282152101,0.04350431573472713,0.036270934060764204,-0.014977752608897374,0.07371885898978933
TNFSF18,0.017328996463854343,-0.027057273980588704,,0.11030232891892575,0.01463854559487131,-0.01577693912555155,,,,,,,0.04089166247899046
IL36G,,,,,,,,,,-0.01868634397951769,,,
RTN4,0.03642771610910274,-0.004233955679861897,0.0771273164740124,0.006970347124092511,-0.03935912438700367,0.0039457354906215405,0.011045137891378957,0.07337611124459188,-0.021543695834564662,0.013685260648866812,-0.021361095658103076,0.04615732191270442,-0.07101241887731817
HEBP1,-0.005817517319053046,0.033859771666005824,-0.021041569069339742,-0.017688879148111125,-0.002399792261085975,0.019776691520526656,0.0023530453896996617,-0.024198777516049295,0.012254416099995903,-0.00674921888211333,-0.03337040231081694,-0.008575987878611474,0.0878961334646124
WNT7B,-0.0431261462346759,-0.01680713985489418,0.01668636609441177,-0.03643604048827693,0.025195116942331106,-0.030629553179289934,0.010354751496269925,,0.011359110410667596,-0.020538445473921408,0.06304770044105093,-0.025877518193881448,0.0069286978243953265
PTMA,0.014547153006697473,0.07795026307638189,0.000720534093515739,-0.0033420811010322843,-0.08732035316338553,0.017728555323870233,-0.02650587959364561,-0.047269484991486026,0.11692165791571706,0.04603289995880919,-0.05107169381943978,0.0020178717138393952,-0.06501221975761233
FASLG,,,,,,,,,,,,,-0.015772854920133948
CEACAM1,0.05352272660185913,0.012276892945132845,-0.013668946889117295,,0.027002629099658063,-0.024813366640586587,,,,,0.05682599386440665,-0.008563057309602978,0.016543713027166475
PDAP1,0.04736971287108166,0.007877045996756815,-0.03281283699651472,0.052520994164127005,-0.00626675237067439,0.04740909940266619,-0.06907392820866137,0.027407641689929232,0.08934310091089781,0.03459297956066898,-0.040199942420589205,-0.0005149434689631635,0.045746086810240276
QDPR,-0.027798915796814698,0.0014007555709360275,0.029804668695501833,0.00857810598957021,-0.08528124666778762,0.03181102094111895,-0.04273088104919284,-0.03395286433978724,0.05693936349142274,0.018278438833417975,0.010526353923189456,0.0076326303400355185,0.0174143649027848
POMC,0.04488337523893001,-0.009143603771709731,0.02523470038247597,-0.00703573979453497,-0.02575012434202545,0.15125542164686814,0.0023331745569965187,-0.014397378882812525,-0.02162730238890603,-0.040035692258844555,0.019118862511103164,-0.03955307267136067,-0.02976031244408891
CCL18,-0.02314581817374901,,,,,,,-0.02026098495884386,0.036623545945770525,,-0.005243432684369675,-0.04015740157363711,
CCL17,,,,,,-0.01967691476526082,-0.015263946019111355,,,0.10276216566579552,-0.015296641238537618,,-0.014296321384047484
VEGFD,-0.023145825523630363,-0.018474468969593327,0.014170943844835113,,0.007202292153208323,-0.020964088386036618,-0.011196288998412855,-0.021584114824658173,0.031471006677590875,-0.01829498972180854,,,
TNFSF13,0.020620252578081935,,,-0.019072498803277122,,,,,,,-0.014596050366768242,-0.02715098800086551,0.050912515274456345
WNT5A,-0.032189103997489504,0.043002327600007356,-0.0008868072179871307,0.022555860072507487,0.06340470620754722,-0.034373157451132834,-0.0011811747616545913,-0.016747117225723723,0.06960031237768483,0.0062515707601548355,0.0241622475667937,0.06090560428530286,0.01879280667916299
