,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.04868112320310598,,,,,,,-0.04008689713421128,,,0.009073648805433246,,
BMP1,-0.019124499496438137,-0.0035789658577083444,-0.025959008186320725,0.03370128266089358,-0.026088567806463216,0.013139330658520092,-0.07339868691579705,-0.11031823883686973,-0.47674489086452904,-0.05009012178811688,0.004491511510671365,-0.10065826390052814,-0.252913882643871,-0.03665758474082645,-0.08885502691119633,0.09752920125551631,-0.05789217818787735,-0.03992555670840127,-0.03236784382118251,-0.09131012871496465,-0.07789019790154285
NDP,-0.06870426239706767,-0.038518042509840096,0.03579552655396377,-0.004171077836388232,0.03641914744434551,0.019328367122015157,0.142678111169419,0.044904647536647524,-0.08614427230088183,-0.014290642074345493,-0.016209910464923424,-0.12477236503327564,-0.057276282969072244,0.06751094189603057,0.04525007574267041,0.05608882995604156,-0.027319277760031294,0.043875018945973204,0.177531035422543,0.10058265268586997,-0.020526128481665996
TNFSF18,-0.009770051426660247,0.000676747622206099,-0.03731977719218167,-0.0013178440807236184,,,,0.017903020695723124,-0.08947011275725743,0.0029896454810425625,,,,,,0.021218497816380133,,0.08838447085705649,-0.02089070234851836,-0.08019435598845857,
IL36G,,,,,,,,,,,,,0.044084608598007974,,,,,,,,
RTN4,0.09120796639988875,0.2663482282722063,0.04243485708011213,0.04196018710308144,0.04521531649978313,0.05941989696865355,0.2129542021976917,0.3983957964599625,0.6211370363851914,0.12082911722497082,0.06384889660438271,0.42961211147408823,0.343251755832932,0.1647909944532247,0.02811163343267801,-0.07335564725587097,0.17691728820590774,0.024744307559505595,-0.0766568245232005,0.2615892560386054,0.11196720140141017
HEBP1,-0.033224621918654496,-0.0018652592758964597,0.008690193691048911,0.01392308293013423,0.059676748003742515,-0.04469779931797718,-0.01333071254857251,-0.08689720904681313,-0.21501882843366873,-0.013967247679923123,-0.05543995772588151,-0.22902175271305272,-0.01791098089670884,0.04127755728630677,0.07835474922046985,0.034156190354665564,0.05324604570124167,-0.03538161409705495,0.15742761706798705,-0.025658899862555318,-0.1889550597673636
WNT7B,-0.02385350273246079,0.29493332521151955,0.015223258436448875,0.01069809398261424,-0.05169169328353715,-0.04887622125936995,0.0866156620778479,0.11524456726258138,0.37615914154748675,-0.018857788866492833,0.021166376157224626,,0.1089900694317027,0.011207309949539062,-0.005854689307607666,0.023257708783829507,0.0145690590129809,-0.07942514457458696,-0.030491264938961735,0.06815404820660337,0.05589057974238813
PTMA,0.008053847483341803,-0.057437540200545575,0.027299996856978377,-0.013066055184303297,0.11048187862183154,-0.019577133490850482,-0.19973929679638502,-0.373578880462918,0.11587141621678303,0.10259204771953721,-0.10898095974519496,-0.5256432596357555,-0.3962183313003537,-0.03429752859323052,-0.012455132814451828,-0.018727597652396222,-0.010481177588258056,-0.0841998684829984,-0.15597173460310684,-0.18079618405714748,-0.20023384418719675
FASLG,-0.023853509475784906,,,,,,,,,,,,,,,,,,-0.01960925207434231,,
