,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.026170510411255322,,,,,,,,,,-0.02881600929448624,,0.03489958267873597,,
BMP1,0.0597256709949918,0.04244515224935163,0.03558677170911689,0.03379995516338692,-0.012226239914854461,0.14533430162344443,0.05081548792441185,0.013522309029016785,-0.023491304489549083,-0.041771970446069305,0.04080146800178484,-0.036648727069099836,0.08206778780439913,0.0040587631346665634,-0.03368447168393901,-0.0015660617932496618,0.011086940808975185,-0.020188069913936117,-0.0007908830921017436,-0.006963927781974616
NDP,0.03159700420426087,0.0003732662112454438,0.008954740839155675,0.012292891737830828,-0.01927614399307552,0.1054926203720558,-0.05383523830376106,0.011172469835659735,-0.011701650333958947,-0.01663735892749549,0.0657592038163527,0.062433954807399786,0.03539050015396528,0.05837771814108182,0.027292073903051193,-0.06771408336921286,0.016132043459686978,0.04336116753039748,-0.05846314268278785,0.04079527675055901
TNFSF18,0.02049024287616534,-0.033880708729739854,,,-0.02314154845166306,0.022167717592276932,-0.01433915972666538,,,,-0.06579633273950676,,,,,-0.029717441752970152,,0.03491244331924425,-0.0338976714674585,
IL36G,,,,,,,,,,-0.013349797601177334,,,,,,,,,,
RTN4,0.0012968162408904529,0.011900442263014198,-0.002350806628492658,0.08037531412991183,-0.028136219239237592,-0.09084003099635017,-0.022307421578934176,-0.008144893440386195,0.034766271150626187,0.07022953734870531,-0.08878506840190803,-0.057668115019863644,-0.08994969756709861,-0.03812340231847637,-0.10868084055964529,-0.025509511000750103,0.005164351971632696,0.02351242576766284,0.0024197467654745275,0.18428476564251894
HEBP1,0.02241753023290839,-0.021496157034566015,0.01551680348428241,0.08089913540317663,-0.04177286080057717,0.06427155106244502,0.03954221280839233,-0.03502052668069787,-0.10558688371346603,0.06051950175079014,-0.004511916311941602,0.05548425539984787,-0.00953448091110819,0.02684039938426867,0.026060471090301036,0.0016400702074022312,-0.026200626027916018,0.054646463850870915,0.06309298403428282,-0.016854868394610673
WNT7B,-0.020303293206167444,-0.03277312814499862,-0.02263889393446014,0.06398396221221413,-0.010198337904728901,-0.009191719935399271,-0.004786794869948265,0.10950793328515118,,0.07672597174056775,-0.05053747381313879,0.018499461569816623,0.02749564473811951,0.03620646842624054,0.0918422377085818,-0.023975351086977403,-0.03003122323650946,0.004027455760849493,0.09159950534512025,0.04439236357040144
PTMA,0.037148646696308636,0.02139943254357632,0.019848938221310303,-0.040208708773117496,0.05846323754079414,-0.04543336800570091,-0.02101209709769969,0.003263273505004763,-0.02255750834092473,-0.08572682119598858,-0.007103468953250718,-0.09346973944746313,-0.09738367850243686,-0.07367032722358945,-0.08144227153434197,0.017802307496789335,-0.06019402493082349,-0.015677341103266216,-0.008688968196979742,-0.0032625573675422992
FASLG,,,,,,,,,,,,,,,,,,0.10095161748266057,,
CEACAM1,-0.018518612137091196,-0.043768155917362744,0.007425278935284843,-0.02770063988480737,,0.014814118010831273,0.07792540094868317,,,,,-0.05682286815399663,-0.04236990365208302,0.04697906345190962,-0.020588108137179036,0.03096785160065154,-0.01993215962718614,0.0016218313585234093,,
PDAP1,0.03037314978016045,0.07589627790961362,-0.005393542274493001,-0.047566340944335164,0.057393551768369654,0.05463375821985684,-0.01456585351043082,0.04324301829875956,0.07340084863912065,-0.030642699762165992,0.04201923549949122,-0.05600114752843393,0.006967203762353821,-0.045143812577308484,-0.014639083603488562,-0.10521110930053137,0.022965937592301186,0.05663891407157948,-0.021283874634546392,-0.08689056113674212
QDPR,0.015956302063629368,0.029450627702330968,-0.042714227321464335,0.08234762320010518,-0.02827608023189994,-0.12005587793580459,-0.08654040511763579,0.014696734636034624,-0.09374481593802282,0.006308936857323747,0.07516963615189397,0.003603497288318892,-0.11118053799554593,0.06657690246572377,0.1101023404538148,0.01844756484291105,0.02779992685184884,0.029258215055066608,-0.05658554319440311,-0.024801312452412034
POMC,-0.004539846715409292,0.024757790450805953,-0.041309124919973995,-0.015378244736707347,-0.012306911143709132,-0.0033802535049877887,0.01601472400664153,0.05001538669414578,-0.017149141611268424,-0.0029377333614320805,0.022717360782846287,0.00020585933853610079,0.138507543522126,0.01897169926373042,0.018381796714773344,0.04348358760451327,0.08774685725804665,0.049444032629733056,-0.010553412669671653,-0.06082950512641423
CCL18,-0.03415693535009886,,,,,,,,0.04137974947376376,,,0.12921547619427928,-0.030040958317367767,0.07604100698490587,0.10307502123341482,,-0.06264016965889006,,,
CCL17,,,0.008017841078277218,,,,-0.017883723927799054,0.03825587839054627,,-0.012195419109300889,,,,-0.025964812056527883,-0.03018208574445461,0.019561806817051483,,0.2107362690690027,,
VEGFD,-0.030027172583276453,-0.016566362197798373,-0.018408725342490884,0.016730146330717302,,0.051605950699344205,-0.019053595218888872,0.03894854879487316,-0.04199105787688315,-0.013070208392260772,,0.0028085537213853448,,,-0.03308177898738827,0.036192234449771044,,,,
TNFSF13,-0.03553920009382155,,-0.017734985955793193,,-0.02244247439878122,,,,,,,,,0.04892215363916178,0.10504963503016673,0.022730633817456082,0.04359787064223426,-0.02073841112764601,-0.03687583140337404,
WNT5A,-0.042410435968450635,-0.018391529240658202,0.06366239518920602,0.046405270817262444,-0.034730935316021866,0.05827360515081393,-0.02041802171121454,0.028790409805220126,-0.04044535075655811,-0.011876937957336275,0.04678325903892747,0.040367699133383714,0.12534766550376591,-0.07310253574594969,-0.001397587879836827,0.08934938427891681,0.02867281189148611,-0.05240149607808861,0.002080578387938629,-0.05432187403198607
CXCL8,-0.04409022355579633,-0.003923960218093496,-0.05139460709189815,-0.06218255998476258,0.027578505191988748,-0.0043677609261348616,-0.0019878180480095388,-0.018570460456672187,0.03527368619448613,-0.02249761202048055,,0.05671581514423803,-0.038644237548783704,-0.0881323515905599,-0.12107654718638713,-0.022910895350764814,-0.01469342005300379,-0.020798235556370018,0.06949039783101811,-0.005547000178370455
GRN,0.03398360724964779,0.0050986816991454,0.05799402612933316,0.05717008128566057,-0.01787549252301607,0.09824411406346663,0.010820427732329736,0.009787194974089869,-0.049331415824203806,0.004788523950180032,0.07561406504997129,0.061477958853746247,0.15307767643299822,0.026930311202531275,0.013947751225956113,-0.01984580638068786,0.08412463716063079,-0.04981387970615358,-0.05332468851869869,-0.02053567607803478
MIA,-0.025817599216639106,-0.032927000809214416,0.030151082321877572,0.007854042709831314,0.036067191720589434,0.017888062294239313,0.011661682061124655,-0.022679340352668814,,-0.01790024936896372,0.08208183132418771,0.11734372916371584,0.012371204736530585,0.158021761769692,0.13862253199400604,-0.04093959707658259,0.04751180890865,0.0677367027360012,-0.04197584310370977,
COL4A4,0.01906017201906078,-0.051371319120034946,-0.01528184610976537,0.04315865856301908,-0.004156223100597169,0.08450502392024366,-0.018671161079281965,-0.030297495743730123,,0.06003830959057917,,,0.03845911626897847,0.13149909634600596,-0.03592668041550519,0.03300040907276508,-0.0023204906460892725,0.010547429715377163,0.14697361667928582,
TAC1,-0.0065306841708742056,0.017857314953475575,0.036002290416191386,0.07912643610447888,0.006712126933730925,-0.07147370216954334,-0.01210270880254388,0.029090381004636758,0.011647690902967744,0.1089191453368717,,,,,,,-0.02284210518751566,-0.016731602778663725,-0.004559932305697327,0.11750665539418587
RARRES2,0.04876800056678879,-0.00028119624491537606,0.04854895305340368,-0.17523457432808498,0.020484151023605963,0.06840501441571029,-0.07715870247961079,-0.05779697997477618,0.014802736319410174,-0.0510184246156685,0.10742046245304285,0.07713609401278457,0.02860299631696206,-0.03203814040059199,-0.05129927552456527,-0.044476637651147434,0.020225759448003342,0.036989046528922896,0.1048721806013675,0.06723741059516067
FGF7,,-0.0036884283342879776,-0.01192264613603864,-0.005908098460653222,0.08736985391327788,-0.032816745392080564,-0.011627598966470538,0.003900985741401083,-0.0004225606694580975,0.10342842363198892,0.002755847686885324,0.09968969138626303,0.08068682770341067,-0.020280082511414454,0.004272399378868552,-0.0008960583165425724,0.03488702856454465,0.06866186712443925,0.040694861928900684,-0.07018741088360377
EFNA2,,,,,,,,,,,,,,,-0.031442016993064204,,,,,
HBEGF,-0.030967867650618607,0.05542655235627708,0.007409504197847034,-0.03241117810620732,-0.03192781167430559,0.09601001105102384,0.09500542698010016,0.03318875404980248,-0.00329252351440776,-0.022375671727783132,0.10413136244496374,-0.07770340652793335,0.08218849179262971,0.0019213896420231444,0.043320735759911196,-0.0362148522031008,0.05690723006975931,-0.009685117777229225,-0.035602016280508124,0.024069947854604853
CSF3,,,-0.030645466450861532,-0.0024479012049777246,,-0.02728436666032086,,,,,,,,-0.024749990230204483,-0.09963780780115976,,-0.028575473531984648,-0.013400101933691934,0.045543904718327616,
PI3,-0.02384746599029955,,0.02130862709956513,-0.03397422933891104,,0.044756021648432384,,,,,,-0.04954971959523493,,-0.14037235236275894,-0.13925606825271494,-0.015711384547051687,-0.0017573920527655044,0.056871982110297634,0.10599452360137013,
PCSK1N,0.004686371990743147,-0.05394791750694143,0.018275548311839737,0.029033482262288652,-0.054156340661552387,0.03171269398857805,0.07575843544666365,-0.002173727559344183,0.05112912311668691,0.08278581520763251,0.010729560807090817,-0.08499105784758525,0.05164415955501974,-0.02401381133161817,-0.0020000176101729293,0.012568123782730192,0.04473807972820123,0.017663165506956645,-0.05287018104025359,0.08465897040456084
NTS,,,,-0.02661906699175125,0.016960748233541684,-0.03353576869923751,-0.021329631149647022,0.05738635938792166,-0.03780544075481866,,,,,0.008733392127670261,0.07999991040507441,,0.05635558943423608,0.020836746427597173,,
