,MGH258,UKF248,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.013794952130699315,,,,,,,,-0.0038291753207649656,
BMP1,0.0209195694056818,0.01881319538742573,-0.0005226820246484547,0.07241449339241969,-0.00518405698689592,0.10951072644655799,0.0055043384854465815,-0.030294845908803148,-0.06630896012410167,0.08123363997396978,-0.04966011806206514,0.02675382994461729,0.08218570561166301
NDP,-0.03833704727014802,0.04400771054778063,-0.035759175410054016,-0.001766827345881144,-0.060518603503479276,0.028458252836244324,0.04913141043613826,0.004903608205963007,-0.010603511033350084,0.04086701630358223,0.008776826209393587,0.04764294931040552,-0.02310089936846991
TNFSF18,-0.019279987219288242,0.017367133608378202,,0.0735405443684915,-0.013134252457674401,,,-0.0252577245950281,0.004103712751101676,,,-0.02740362449615872,-0.027314689180248843
IL36G,,,,,,,-0.019128753103567226,,,,,,
RTN4,-0.06794080559216048,0.021032555861561757,-0.02910161452612236,-0.0749117347403593,-0.028359381557415655,0.03785218364930642,-0.051631082127354413,0.007954719101258107,-0.0365080240788301,-0.11567302839061465,-0.09408793671953415,0.03496019174664295,-0.05476550388051505
HEBP1,0.009208719886624084,0.06243460277497083,0.06513537647287258,0.007558036113538919,-0.023665149168503114,-0.014283666967747573,0.041454032754699006,0.10996423193707558,-0.0186336099073163,-0.03935693915063176,-0.012238650730801106,0.006592395339155847,0.03142966575121428
WNT7B,-0.01698506487420097,-0.009970187617772715,-0.0026139988798106134,-0.01679493308280067,0.023988550178565184,0.043389854922865526,0.011589215555407227,-0.027806289488564614,,0.02742204789746799,0.04914800156366356,0.01936147711653616,0.023381104437394287
PTMA,-0.02526945218754538,0.03470659907531804,-0.01453527326287806,-0.06741025787234657,0.01325238005362553,0.044191599220697125,-0.0051404542576302245,0.027792730716752485,-0.0015997038169948213,-0.06011457424957875,0.050268097284929994,-0.018818828418350635,0.024728858931549913
FASLG,-0.0169850696758353,,,,,,,,,,,-0.019703629015546002,
CEACAM1,0.05556910946443055,0.017395502997819254,0.017468919232326366,0.08690192253195732,0.006023118692292604,,,,0.021079058876970334,0.08557171001789295,-0.01938157399786403,-0.011722393581030522,
PDAP1,0.04117383285990958,-0.02453913249041657,0.0660229441353103,0.03701295676739792,0.02934664940130492,0.052081853310054965,0.02495881159804033,-0.030052573443528536,0.12071247220298362,-0.005723980482219394,0.006573196191769188,-0.035943715941529064,0.026732110727067236
QDPR,-0.011151137842478247,-0.052254927738462915,0.0030082562639276622,-0.058278734897185616,0.022763109656923863,0.029788047656777977,0.017227082245668168,-0.03263202213323507,-0.12046879502272119,-0.08158370056880752,-0.007251007864525298,0.01881038525381632,-0.08325536538871932
POMC,-0.0021712733928437953,-0.03675575422875163,-0.007034389799127625,0.0763720403728614,0.002680890805173399,0.10522389804406332,0.0013312401311872451,0.0019062850274081612,0.014566064742529633,-0.005337681063374149,0.03132828622046429,0.05088145613042945,0.008074798921418436
CCL18,,-0.023389571529183608,,,,0.043052492282577834,,,,-0.03125378658741088,-0.012293065972461574,,
CCL17,,,-0.023756674919899076,,0.01713096652773453,,-0.017474659025225145,,,,-0.02797851883016026,-0.01785912659849004,
VEGFD,,-0.02338957895646807,-0.004956993267180389,-0.006196381079578923,-0.017452537986995552,-0.01967340611543116,-0.018728133325832546,,0.03722954785373839,,-0.01938157399786403,,
TNFSF13,,0.001194378841504065,-0.016386822669661703,,,,,,,,0.03848413533333966,-0.015186587948529702,0.01895890218065245
WNT5A,0.01395913464027844,0.04297072653118821,-0.06781704733186822,0.05267085304651444,0.006780331333276717,-0.011015817505386069,0.031477127838230874,-0.02327828804892348,-0.011833775863097374,0.03883343441000527,-0.013248410257641025,0.022418866658441138,0.03632899089713937
CXCL8,,0.029277062249949828,0.03255715780889257,0.013065924874756718,0.027452910727745337,0.05405462132914361,-0.029754808962318732,,0.007008816508344023,0.09891431920200817,-0.026137879145321962,-0.01910094742588133,0.08856631190235918
GRN,-0.061310942657012056,0.02710539526395866,-0.08190859677116465,0.09004419763723864,-0.017983635822012792,0.011614497297354446,-0.033461575877992276,-0.004124060809706754,0.059054690410890336,0.005714716994779293,0.010699516767375197,0.03579524891073287,0.010856819214838276
MIA,0.019674502076442626,0.07200101796627634,0.03844243308569601,-0.008991545247285194,0.05066913591939596,-0.012605876696797916,0.013803690017842811,-0.020396244660671897,-0.09879746341996064,0.09869363420003156,0.06367645329790339,-0.022891532357388972,0.01631682593669707
COL4A4,0.02738777873141775,-0.028090685371753875,0.009898421893169846,0.042800523536104515,-0.017102239459482138,,-0.0248805173048968,,-0.04030041286277598,-0.03951455159435275,0.03568045571939828,-0.02704817329730327,0.0627050274329212
TAC1,0.09450661831758546,0.04401555257921813,-0.059678575674342905,-0.04383622123877613,-0.04803744518976151,,-0.04409348371503231,,,,,0.11588931659250978,-0.026680376049715578
RARRES2,0.04906352694151852,-0.014058823199126021,0.0067432266076804725,0.11599631505958947,0.021157577592302777,-0.029017626294079817,0.0992463499524012,-0.0570567141111886,-0.08424903648303551,0.04280431360822697,-0.013278656510106686,0.04368914861248594,0.071050034462491
FGF7,-0.002128778130516963,,0.059092620452540726,0.06243372335178497,-0.010018492509024089,-0.03371348445431776,0.08305152428012323,0.025976572122844845,-0.004043572769258865,0.03899307282740855,0.047735951339325,0.006383275408301148,0.004503403278067306
EFNA2,,,,,,,,,,,-0.01842088901039728,,
HBEGF,-0.010611277571456348,0.09505054139019914,0.013040949852359233,0.019896467997981185,0.04301845388921862,-0.028006549506149135,0.1309148805560576,0.028519960054123848,0.12722942101996848,0.07009457414901044,-0.027904621042397146,0.05516084646804007,0.09043268739207837
CSF3,,,-0.007686719680386872,-0.014382086022812135,,0.009834366650800163,,,,,-0.05928531041231323,-0.01880290521275161,-0.030954427132254724
PI3,,-0.024606815394066863,0.0013453170964549943,0.007474550190276586,,,,,,,-0.016194073739253738,-0.04085246637443768,0.056080321380670685
PCSK1N,0.008946638353263132,-0.011709109733290235,-0.08191446567795163,0.021709743000421878,0.013512643723673914,0.005214561866292954,-0.011502475708536063,-0.024822847027669993,0.0938476233914851,0.06353650949841666,-0.01936778734736098,0.0406668214192988,-0.055665134380836895
NTS,,,,0.1966531419874047,-0.01953732057448037,,,,,,-0.02244235764820052,0.0019140483432211774,
SFRP1,-0.02471369197187137,0.016602542624298656,-0.020728617148395675,0.027747577588838838,0.011244029557337094,0.06001905112602305,0.07807712897955345,-0.007051618041264178,0.007663349962974607,0.0601853261354752,-0.004162758449577558,0.03416184641310867,-0.03077003298156973
CXCL13,,,,,,0.053235640846303785,,,,,-0.04732851511150892,,0.14684648257233357
MICA,0.0741807885744509,0.05888295601847042,0.024433707291004053,0.0848811659975841,0.05494687296033495,-0.00566670142374919,0.0356584907501418,-0.013523202130113555,-0.020425280774874124,0.050043047329845734,0.044651783771523186,0.029962940334090485,0.0616383797001504
TG,-0.01967077587144711,0.0202769884059053,0.01586189601262497,0.004478299954172955,-0.01650320733681297,-0.003730176721125317,0.02577218813191212,-0.0323689534574498,0.11415914303306991,-0.050888471632608505,-0.012003237256928777,-0.012474763723628676,0.021351986891392016
ADA,0.08914472225907356,0.03716173897733259,-0.016592193880748632,0.05674153990377732,-0.05343874869580772,0.07710617706513041,-0.005803207895922633,0.005240342424300623,-0.10196309332793888,0.05352186519885811,0.00523822922800217,-0.023404893256135043,0.04931298539021441
LAMC3,0.03639547759397382,0.06212854582015214,0.035702545468459405,0.053239177226106764,-0.04879140396977899,0.06206197950777747,-0.014053321611798321,0.046059741403725596,-0.03274036927031766,-0.05056956375196941,0.025127267817148406,0.011237025658656093,0.05947265605429754
CCL7,,-0.014877743391293111,-0.01617308530437833,,,,,,,,,0.06250529108099512,0.11455295055121756
NGF,,0.017297709206633545,0.04910916094266375,,,-0.04812548307006078,,,0.0031185228118111195,0.07041061233390833,0.02762208189086815,0.01729946730075535,0.11985257792131035
TNFSF15,,,0.014096198830210615,,,-0.018821761644712564,,0.07216280934538001,0.03679984367204258,-0.014528634362803272,,0.10156133351633086,-0.02111558182378944
HMGB1,0.05062676696724994,-0.03214037535604899,-0.049760690342313466,0.04887652459428175,-0.05930965581868716,0.006318265746819215,0.028178208139487543,-0.0015247035361747041,0.005712432139922257,0.006407826533599431,0.019872331928070874,-0.08378967725916955,-0.09518724705442226
ITGB3BP,0.027191655130218238,0.001566430640505415,-0.01407501572916626,0.09398119368174716,-0.016052457786708347,0.06431393889810598,0.08698390469897692,-0.04903056517180624,-0.09339504571281546,0.031112697233274728,0.017708898387038326,0.05103411124777591,0.0005317987671697307
AANAT,,0.0867762199161776,0.001984979726984363,-0.012973030799446058,0.06008105660412327,,0.00556442919450835,,,0.05196848767310191,-0.024789527390627057,-0.0007266028134255956,-0.03103277395188284
RELN,-0.01630759471203579,-0.046600098585622925,0.013211527389237683,-0.026500388319021025,0.0028922095457653806,,-0.02595074929950741,,0.0251671885835713,,,,-0.002407657141192392
IL15,0.012171112909300008,0.007692969659898028,0.04093390911583554,0.09513975792002438,-0.0014052091627437763,0.008368701002128666,-0.02174005789504575,0.010956589547345071,-0.015245606982559726,0.10024701669742972,0.094103573968983,-0.06545565134071474,0.020972694114786906
UTS2,,,,0.10194793269436561,,,,0.09392212096141882,,,,,
BSG,0.08240843134514232,-0.011853211408334226,0.011409091227841943,-0.02058365568839534,0.0395677007537075,-0.03200206858589082,0.03932294019065466,-0.018816109989437682,0.045752958818760896,0.07349700222904855,0.004150559137824407,0.07441307780128684,0.07928911419783324
ADAMTS3,0.019855341681069973,0.011613847745432771,0.05915775134175095,0.06476512310999423,-0.0016662906176144676,-0.015783133103899682,-0.036124959784351596,0.031375427365296735,,0.05200906849955595,0.04820004869858357,0.07960720694998426,0.11442256279637639
CD34,0.02462588184959878,0.01781434018441714,-0.011587673284084218,0.027250803186724147,0.0054607796728542,0.07311583246234918,0.0036793282170300506,0.07497509780008134,0.0008839080527117994,0.03444756808058551,0.07401137542488545,0.05559783705329,0.03731213447558921
CCL23,,,,-0.014761249716673744,,,,-0.02815351564177537,,,,,
PLAT,0.03533457007468004,0.04356525883208509,-0.05729630618472942,0.06022323732077113,-0.027221771626025015,-0.012451805989383209,0.04177027331419843,-0.006270082087588589,0.0058833795908883255,0.03994363134572331,0.032744258224415165,-0.0076100083987915524,0.026302645328570934
NTF3,,,,,,-0.040091468606889565,,,,,0.01871619847233355,,
LTA,,,0.033990074079264694,,0.1378992811754698,,0.008666602376211826,,,,,0.016194816563728606,
CKLF,-0.057055460945377785,-0.037488153851913494,-0.044528054189208695,0.0614572875585885,0.015909740873995215,0.019218398884301914,0.04309618058113272,-0.03252002517716226,0.06496551714739941,0.06266718329394871,0.09823461726222328,0.03851838926933726,0.061004718532479754
APELA,,,,,,0.020529288795476924,,,,,,,
CD24,-0.0454531657284417,-0.0008297250405121565,0.06199021209773865,-0.03222990417619304,0.03302462107883881,0.07883508528593625,0.04999480091435083,-0.033764003495999666,-0.06724333281352264,0.1450485224942499,-0.01305047870415541,0.03460365197298388,0.08453154484644884
