,UKF266,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1
BMP1,0.03005962463237244,-0.0010882276283890086,-0.032780161642187985,-0.011213397234893665,0.02299225170258383
NDP,0.04186601084423142,-0.053732692395782496,-0.0215374692407333,0.08613105074715469,-0.012987868299744118
TNFSF18,-0.01221318977893178,,,,
RTN4,-0.008708760470196784,-0.027102156169620494,0.044227866189531825,0.01485772838994634,0.05976593778376052
HEBP1,0.017349639981274385,0.013930738554554577,0.0326769333103983,-0.02432167899749492,0.05560943553671007
WNT7B,-0.01761637456885219,,0.003272181892753427,0.07234487206849989,-0.004537327623941069
PTMA,-0.0036649261291404568,0.008352827646579275,-0.031240930664879256,0.0012532193925572667,0.07421418520733195
CEACAM1,,,0.01643948696267991,0.07242486994737936,-0.018371061470264505
PDAP1,0.013227262537919804,0.08855040559074243,-0.03365252506518493,-0.03775008865088141,0.011609985041337697
QDPR,-0.005182669484492044,-0.08111920253282998,0.058587967795949304,0.11953074998957823,-0.061341460815869726
POMC,0.013317118360008422,0.03778270984607443,0.06093227557895153,0.04452737852359229,-0.009363590047071805
CCL18,,-0.009750275743027005,-0.03256056910295519,0.035548241171030046,-0.0840133289889547
CCL17,,,0.001598549670242717,-0.030948823843557124,
VEGFD,,-0.02322123992499045,,0.039035927555359305,
TNFSF13,-0.011844246270453662,,0.044926202389706155,0.08710782032599554,-0.04437925362912077
WNT5A,0.04121209398881965,0.07739678794820819,0.09989800275517507,-0.001279219014788482,0.019344934996291748
CXCL8,-0.016847672111908588,0.08305054520324828,-0.08849256959616258,-0.15418970094712178,-0.022497151194815844
GRN,0.009482309057380851,-0.022351695972408672,0.029984106251885256,0.03642812706320219,0.013687422063905663
MIA,0.012834135310483,,0.07851301089474795,0.09257101570613517,-0.031043531125550958
COL4A4,0.11723609318889103,,-0.019814589369596895,0.04501825794938703,-0.005179295305467052
TAC1,-0.003830944210326217,-0.003262904848298147,,,-0.03952287746355539
RARRES2,-0.002657763296204456,0.08600605562235974,-0.06924786820834647,-0.053884320404913755,-0.0031750939282620895
FGF7,0.025750286800925885,0.005803357870655109,0.12265763679343542,0.06528568316852104,0.03404870547259441
EFNA2,,,,-0.011050601396043178,
HBEGF,0.0035066247222946883,0.0367969213560942,0.05816717259249232,0.004007542144983508,0.011195006168484158
CSF3,,,-0.059858950136220036,-0.09542822108544569,-0.04171140157798555
PI3,,,-0.11866265608015503,-0.15738637541977837,-0.07025609347024786
PCSK1N,-0.022412564145496746,0.007196402509109679,0.10292868971641377,0.06604371838084272,0.05017119160578146
NTS,-0.013757226797126433,0.3170510917057645,0.11765905070190723,-0.034103167662882794,0.05501873852505231
SFRP1,0.022787843921544346,0.0627930366361768,0.11526284494032948,0.02069995031325418,0.0027781567307573816
CXCL13,,,-0.0010991328099082224,-0.04665068295442701,0.1183436270198537
MICA,-0.029200165121883562,-0.03304316336759419,0.0076009528022623445,0.059836412550220895,0.050807842804409295
TG,-0.0158794663114931,,0.09820190501987924,0.005258620378968158,0.03896267092245942
ADA,0.04196871137063748,-0.014578774516998938,-0.005824838297971219,0.05256931802141991,0.020936628498585762
LAMC3,-0.007611277346256882,0.16497008183934764,0.03043219050737881,0.09647301971435374,0.06101440878758269
CCL7,,,-0.04336705774120229,,
NGF,-0.015153270004357244,-0.020906588989575054,-0.022644113589542225,0.14660194300136398,0.0030180596330325487
TNFSF15,-0.01839939188300522,,-0.002221752682502572,,-0.03518396913222695
HMGB1,0.012709742612752121,0.0004772024295519278,-0.06076296631108502,-0.03251124100594837,0.0636221454314536
ITGB3BP,0.011441240432058193,0.07096035813047634,0.0008256849991834883,-0.05945366201784689,0.015564662398179125
AANAT,,-0.01965526830272599,-0.015934872833273724,0.020019936201330402,
RELN,0.02275905863758853,0.007268313794031086,,,-0.04249842174308825
IL15,-0.013092261155966357,0.10146534357286408,-0.03621896600145823,0.03151196960277257,-0.03545688597798327
UTS2,,,0.02322151594378213,,
BSG,0.06413827610606822,0.02647159251504665,-0.00887261241153809,-0.06132356774325586,-0.04908040084891865
ADAMTS3,0.09037485285182477,-0.031561742413386794,0.015713766470471922,0.1229484025382236,0.029052666775626457
CD34,0.0008614780879974117,0.08098997608801148,-0.030605562549416238,0.07884175705152914,0.03146213195661595
PLAT,0.026972824429056234,0.1134323267068686,0.15450942162735512,0.11831781334679256,0.07180495510278616
NTF3,,,0.1032454427086177,0.11677869072494944,0.08152647599616678
CKLF,-0.0029427219598845518,0.00966874718791817,0.014041536525244695,0.09199879761841537,0.010197690914712147
CD24,0.08345116346507502,0.04765474799394148,0.08651122881824262,0.08970145572581614,0.05308977703382756
HSP90AA1,0.01675296321153663,0.018410071388427013,-0.061381015157225716,-0.13851527854257933,-0.08596852285735732
BMP4,0.06363222704305463,0.004409488594964485,-0.06261692124028144,0.00897895833646706,-0.057301935323909675
SCGB3A1,-0.01671250291942761,-0.03459877270031445,-0.0379643467529189,0.0429772124926724,-0.006982347866622735
IGFBP4,0.011571987098559094,0.05827116283359304,-0.003968177862103194,-0.0030252751656394783,0.01199684656425476
RSPO4,,,,,-0.041570702232733854
LEFTY2,0.04048646190735533,0.004791922936658154,0.009140348990933328,0.01904919417551728,-0.021196641200542064
PF4,,,,-0.01671302101366491,
ANGPTL2,0.03537183009573085,0.04915900595715622,0.061278290837726034,0.1461135685175265,-0.01219632043590978
LRIG2,0.016113369214771613,0.025850839351288006,0.003228689234175446,0.062155118126197256,-0.00684439117964076
ICOSLG,0.0246450928520027,-0.05869100963715343,0.11105898484470646,0.08779007264319932,-0.028652016206377428
WIF1,-0.042320861798434806,0.010729018603855837,,,0.04546462190495929
NPPC,-0.032062877769877464,-0.05190513090457579,-0.05687432928577699,-0.004633836002915344,0.06094652527997267
LYZ,-0.03745680964884577,0.02983095420013423,0.03946968899473269,0.013149539185903975,0.019711135147213493
EREG,,0.029492929362790393,-0.018134436782431828,-0.051237612722968236,-0.009701740530496158
SPTAN1,-0.031207897063170297,0.034804745908595135,0.058598181624833746,0.14083507963708927,0.026516694138818436
PTH2,,,,,0.021382480407543727
LIPC,0.03628285222139069,-0.009131658247858759,,,
COL8A1,0.04966916887845813,0.064060931938921,0.012489142145366445,0.03880017393092881,0.028670591527459734
GSTM2,-0.011071269714522184,0.07253028023802385,0.019703693287992107,0.06840908236935199,-0.0005717777392098676
SPX,0.06029922083761992,-0.10086447172623719,0.08299880662654395,0.028736816628861017,-0.060001174372338754
MFGE8,-0.016587484916435125,0.056188676454893796,-0.02571317861626709,0.06055870764301023,0.052927477060982685
TGFA,-0.002117059058656411,-0.02404575942667522,-0.008129159569099804,0.059087549202141404,0.052754788424824325
SLIT2,-0.01218741659248197,0.010801754667927745,-0.007882041905486793,0.039079150207594074,0.04885400348564998
PLTP,-0.029243818198559715,0.05817119062789434,-0.025576050267548493,0.017019504979870884,-0.022621055523812855
APOD,-0.005745507445723681,-0.047242637211306164,0.09324466940877699,0.15135799274491682,0.06134061583364869
B2M,0.011005371364869359,0.04624857592992724,-0.025358647323434583,0.098235503742012,0.007525614431470279
OMG,-0.024317152469058228,-0.10495302990817929,0.057349624372135595,0.12479791331779787,0.014404511821272349
CXCL3,,0.0981252764504446,-0.05149591729680126,-0.07619228785868014,-0.07799438527968211
CXCL10,-0.017895637804364564,-0.06007756176038552,-0.04478205057324344,-0.021370911749741425,-0.02282779722348626
RSPO3,-0.025542173431007256,0.0693335762438145,0.18636717179918008,0.07229159583279847,-0.013236964895849362
CORT,-0.030121307456308533,-0.0526265856000417,-0.010918889837891955,-0.0179881266620442,-0.028048112220270403
NCAN,0.012947329938600446,0.04339524529177381,0.08266995524351643,0.14811184425359,-0.017176240828225955
PRG4,,,-0.0005028223653686864,-0.004816130116813657,0.05209390184736225
TGM2,0.0036324964562447805,0.00960181967825063,0.017635869716601322,-0.00647323594047102,0.038584382071131615
VEGFC,0.017324104434633215,-0.024302556866822804,0.0023383384072686465,-0.028013864584442046,0.022260501834846798
WNT6,-0.01342862593411387,,-0.021515999150451867,0.06449129065043813,0.03861678343037647
NRG4,-0.016439120580134744,-0.007771969139976281,,,-0.05300854331013576
PMCH,,,-0.013490410805475552,0.03567045471987785,0.01710026646103465
COL9A1,0.03605481257085315,0.05487637299733013,0.10631174321349085,0.0961759909484755,-0.0039638203225555385
GDF11,0.061894801144476874,0.06248359842121027,0.0727687531406095,0.051045231957070454,-0.017992233381093813
IL24,,,0.02074328810188075,-0.038840785586918336,
SORBS1,-0.06271090846685314,0.05800391911595391,0.003148051813351089,0.0002854013577488685,0.014844686686869231
DLL1,0.020628874278738038,0.04339660786618634,0.08174300161129926,0.079287564006614,0.03569940436766719
TLN1,0.036144869301348796,0.016911558862049293,-0.04967240532504105,-0.03169830644576418,-0.018882267326356304
COL2A1,-0.014548244970259316,,0.03905237875276513,-0.026798763299636978,-0.0008586228583506591
SHH,0.030723819656198793,,-0.026457857938899057,0.007079040532617821,-0.043307172042797396
PON2,-0.015089105872622506,-0.0420882744809601,0.052509003457258605,0.12241240190222887,-0.08666040504798297
ICAM5,-0.018190403660533982,-0.008773462965230539,-0.00384513676081852,-0.011601501752454332,0.012824788935573567
HPX,0.09496063176150378,,-0.031077060057237097,0.08018793877256639,-0.011423003521631852
SFRP2,-0.03174523229038455,0.11153956539850227,0.047764109086367176,0.07144921379437483,0.023978973978250436
CFC1,-0.022691093032461994,0.027634778644800115,,,
CD70,,,-0.019311300530573557,-0.01139130758254503,-0.031494120528680045
HP,,0.18524643336599234,-0.027587331893610404,0.005406751288343049,0.006296347186098211
CXCL2,0.01650312100029872,0.036060996682801646,-0.006298712438771545,-0.0181279534370247,-0.007069291363182925
NPPB,,,0.01783201242971893,0.03325982432617498,0.028413937835646812
CCK,-0.015798040116546466,-0.008706790150139896,0.1030760104768469,0.08596776152124641,-0.020970948129354728
SEMA6A,0.005035936019077369,-0.013405403801957892,0.06878259536730828,0.08916277427929616,-0.010491678274298324
