,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,,-0.03324414715391122,,,,,,,,,,,,,
BMP1,-0.022170992103121533,-0.018924162923285734,0.050040304723423676,0.008502883734969909,0.007941316833212118,-0.026215662066689873,-0.01679187723618316,0.15111956993699555,-0.05466261596225883,0.028653219142972548,0.004061926041284466,0.006030452489294103,-0.017452544354683634,0.11608714719082211,0.06060637231193716,0.06908243453717834,0.07292338714938149,0.05110127725404893,-0.052355918724137966,0.02946897459507051,0.018871683515105864
NDP,0.019153618038183724,-0.013809036447394347,0.0034344499975744285,-0.03572416243301191,0.013661455722317374,-0.03728875212260591,0.015105699509307551,0.07096160766201107,-0.004229865224538881,-0.023221254410553806,-0.00768294130718857,0.02212235401570613,-0.03995513604730728,0.1939166825065312,0.03369254308991974,0.010818999886568908,0.06261726934114252,0.025504742986946112,0.02478608118034007,0.02814375404276471,0.07008011992317516
TNFSF18,0.07706094436977838,-0.021544820658080818,-0.04271411044597819,-0.005614693088292869,,,-0.014925461186003491,0.039008157891787916,-0.01410590935896552,,,,,0.03211714366233826,,-0.04478966740397376,,,,,0.09991726303387173
IL36G,,,,,,,,,,,,,0.016613139998087497,,,,,,,,
RTN4,0.10841720086565532,0.12350979352314727,-0.016650742576235104,-0.050410479734095966,0.012069515254238113,-0.05859837813061757,0.011761836762169008,-0.1760077261877395,0.0071463614342386845,-0.009557380712249156,0.04101095186262016,-0.038632766836099695,0.04834148429471327,0.022032100047334902,-0.09667410950280901,-0.04519271158409998,-0.022375153632451936,0.02850544595995256,-0.02653808666338071,0.008133901525291035,0.01539200772232123
HEBP1,-0.007441542968767351,0.03159557634240755,-0.007778743548220568,0.08309982582871933,-0.020165803952022037,0.07089509842666164,-0.04315679387119664,0.08669926914233647,0.009848486374716298,-0.04504834777690232,-0.02914175011921737,-0.0371127668974657,-0.005338890014419069,0.11235703294602582,0.06561452323934171,-0.036174467810940386,-0.025740484717988128,0.08578426502569143,0.04326251751108693,0.015592848346255118,0.05020591248255502
WNT7B,0.05639646375028014,0.026036403900638112,-0.05732654498701629,0.05941870772958332,-0.005776715320688421,-0.06478545555735274,-0.040901248139964964,-0.05550076920848533,-0.040433276091325465,0.0054905648282903025,,0.010841264326180931,-0.014011921429395386,0.22528181771381092,0.01346373793796115,,0.028738512130317542,0.02987797662968014,0.013586267509514721,0.02314015582305429,0.0032849535077308415
PTMA,0.09988795976890845,0.12494649605181397,-0.009442118206480403,0.02866098371900876,0.015444813918141257,0.1010952066710774,-0.056745403853038515,-0.10301001972392174,0.038831176624679484,-0.013734612441820792,-0.007348018795298276,0.07191607454177805,-0.05331789075499482,0.05798246244374074,-0.07152385122785149,-0.03875848850081882,-0.20706486915817407,-0.06955497607664705,-0.05990632716159827,0.045578915376551565,-0.07588099199937003
FASLG,-0.012602558230237591,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.025831905045392903,,-0.035069019759607696,0.020382231130327222,0.013891189834856321,0.0070307785521658275,,0.0967303953359242,0.030435337424531698,,,,,,0.06294984082506123,-0.031494737635276854,0.1577417924488038,0.0704525003473241,0.08169233735808042,0.04409242583495449,
PDAP1,-0.11574519032449136,-0.048657322271634815,-0.0003379783496263271,0.0816873011386632,0.032141986973243414,0.006329996845113282,-0.021630165156367464,0.1175289884439988,0.026038636034025228,0.05047845337254922,0.05373419542297962,0.07614591810236108,-0.0238914827479537,0.10677054526129286,-0.11370592831529663,0.029808298692324924,0.05827716308156288,-0.08823703520720705,-0.030562960569647104,0.03187546047992255,-0.011518264694238953
