,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.03358949768342293,,,,,-0.023857858575379646,,,
BMP1,-0.02617205314046648,-0.03915176100515112,0.03746350135862794,-0.024479356465502363,-0.042952876183775475,-0.01665448956085718,-0.18766398043492746,-0.04369670108880417,-0.015765379865297236,-0.11695450490525286,-0.16695861461373349,0.07561540971565238,0.14120387797662992,0.017987297276542743,0.06114485282845491
NDP,-0.06364591300370777,-0.005959404504613158,0.05531903431691003,0.038032723954444604,0.1538303256362744,0.04806587389311907,-0.0024021416047996774,0.09405230325659121,0.00278222943122369,-0.03827530832833623,0.022981862806711707,0.0010815566841188835,-0.036759718221530846,-0.04635959378504845,0.03811021110533006
TNFSF18,0.03543454428267195,-0.03948891477296977,-0.032095651393640824,,,-0.006518377665567715,-0.049879395675529827,-0.025544481066133284,,,,-0.024604188432855126,-0.033717551764611324,-0.068224779073605,
IL36G,,,,,,,,,,,-0.00579546331655569,,,,
RTN4,0.2603573392893602,-0.04188618252444659,-0.0034844745787279544,-0.014814092743857237,0.1715947428733994,0.17087631325082442,0.26653137426842805,0.07487865346548338,0.04166629957228297,0.29825009080147474,0.21611945007733963,0.01530080363639865,-0.02830165127829426,0.18070931238243848,0.07021983031169025
HEBP1,-0.10448532580212487,-0.017649375957067052,-0.009517404989676884,-0.03305794360614178,0.004466534135566007,-0.01227990994132927,-0.13464012793227612,0.05607437817740609,0.007545571599108291,-0.13851157860468674,-0.02185332809549479,0.02474193282978579,0.0894552275308807,-0.013654870993531857,0.07525280256392716
WNT7B,0.19124225661740635,-0.017573693601782885,-0.0199368237204476,0.07348058001071647,0.06708243050940753,0.017387300110281424,0.21462036543347823,0.011096775789681679,0.04267525145714797,,0.14780107471120915,0.07378539881398873,0.0733528054000833,0.004735849274926178,0.06583633697095832
PTMA,-0.061462317521084955,0.05802344637455039,-0.03390506784622893,-0.022781366516881733,-0.12582636726528473,-0.15641136187386195,0.04474550417521465,0.056174678125106424,-0.0307439512521672,-0.3341361130711685,-0.20349527227742004,-0.0327626225928462,0.022901076921701437,-0.07304514407183535,-0.08777087529199061
CEACAM1,,0.0037541698976841717,-0.01530031308624151,-0.020614283199336576,-0.026173031069951867,,-0.06563844379104267,-0.025608174620360868,,,,0.22272986804366712,,,
PDAP1,-0.0755488762753507,0.049774598821367685,-0.018933926901109555,0.05147019885255526,-0.061055655973223634,-0.05799356375504806,-0.1409039886740026,0.019605611203566273,-0.0032669918259161644,-0.029227373745271342,-0.10276752777278211,0.002085943678629993,-0.015627654300165727,-0.08337345301458805,0.10620283501806037
QDPR,0.14989661563972742,0.044975456785141435,0.006624896794887098,0.02141287847482637,0.16708720480794603,0.05296847378077553,0.08344936263303568,0.09054704950352038,0.03516468743879055,-0.27744897526958945,0.030472510117521105,-0.06323381383209853,0.09589005919389751,0.10399932317992565,0.008981893419036277
POMC,0.1544224004511504,-0.03237540016036464,-0.027186215302557677,0.009924007413243006,0.07801614932176938,0.06989458879359958,-0.007995432347893938,0.008663820018942812,-0.026063944643997458,-0.0643845514064212,0.03524079162848155,0.04553234515235336,,0.07031902334587517,0.002497024838275168
CCL18,0.09011489216116012,-0.03136437309075458,,,,,,,,-0.16108442274040208,,,,,
CCL17,,,,-0.021326318307463062,,,,-0.004226745922560126,0.02240016275077673,,-0.026601448183004316,0.09747195741712686,,,
VEGFD,0.06484169739609942,0.01254544309332041,0.11251978670713382,0.1252244953860559,0.0036711041500799477,,0.0005719087869690627,-0.025009831082793973,-0.011132223192158737,0.045707491368108324,-0.01587700474583182,-0.03317553621435087,,,
