,UKF243,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.011161970185281169,,,,-0.01929671758267798,0.01892794603947429,,
BMP1,0.005504516708143971,0.023080724685242984,-0.018959448478181404,0.046273459771912585,0.02512914234529054,0.020397290494036775,0.041801029141199354,-0.04768787425949928,0.0431531348099157,0.0171833424284297,-0.0315702326088831,-0.012684781341914926
NDP,0.015892445482334216,0.022910014566488376,-0.027644836321934936,0.035355081285841104,-0.016332946909444066,0.030810011107870586,-0.0428457426990214,0.031960297300556606,-0.03727948544423283,0.07573569735421681,-0.004173876570459994,0.05787676619483924
TNFSF18,-0.019872586919354538,,,-0.013291558890105717,-0.016575190633615053,0.024254023233739406,,,-0.019900364235948303,-0.03563087045136017,-0.010433631888523953,
RTN4,-0.03457122462637745,-0.050998756652501795,0.018087598762282817,-0.03549363567216318,-0.05224505282948214,0.06142528523735645,-0.011128449259238053,0.054471713871016375,0.09241486908002941,0.031268952562313546,-0.08042196008681035,0.015982432010037458
HEBP1,0.008298487581237917,-0.003572676215678814,-0.030643533068305348,0.04652082240650299,0.030601273649153864,0.0032092584530098063,0.005258234345991836,0.015180587359473105,0.0828529011723969,0.0390748436197674,-0.012262520044132794,0.10744468829454291
WNT7B,0.03328447965754818,0.06404324213615752,0.006133540983945017,0.026074478746621957,-0.04619904986209894,0.0029391635700028364,-0.012182918604271833,,-0.016404412525885585,-0.035404384633283784,-0.01058357375168849,-0.04128123593872737
PTMA,0.045169707315376756,0.0005978801385203531,0.03303526796637887,0.06845770246453145,-0.107385025488077,-0.004706341877404708,0.044892699427720145,0.03390131514517045,0.06304521097037696,-0.056514998975771925,0.005049557673081318,0.014972358407787155
FASLG,,,,,,,,,,-0.018320045687484146,,
CEACAM1,,,0.0066674758784868275,,0.08803850370056118,0.02783240170558669,,,0.042964381122673194,-0.008906413008376699,,
