,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.018973588912544026,,,,,,0.1275817069496365,
BMP1,0.04634504323536259,-0.0734518532421388,0.09162302491824459,-0.05441565438366613,0.03798200885194264,0.08641759751899855,-0.02228246730385552,0.05023258496072563,0.019522412709651493,-0.027137840477398013,-0.05068063879958393,-0.011261763787375574,-0.02668479494289082
NDP,0.02991392070843747,0.06801791946834279,0.011742106903859977,0.015816526033898392,-0.0019470551672864903,-0.01141196835283036,0.04551690528319959,-0.06412353750071886,0.06850472378106245,-0.008517873850633887,0.06001554944356754,0.014137438309676637,0.00017943134402843613
TNFSF18,-0.026650785569682815,-0.03208689720061072,,,-0.01363303911291048,-0.028175209932379885,-0.016298666942542433,-0.013921511439533893,,,,-0.008063095641738266,-0.019938955301534243
RTN4,0.0031113408940015167,-0.0025639847352758823,-0.019496257972876883,-0.06709285272959607,-0.00743129988418046,-0.06901022724150543,-0.059815214864789225,0.03267643738154674,-0.012035086173250229,-0.06743664321017771,0.022313882566340617,0.012735847093069819,-0.05363412468192618
HEBP1,-0.0012941985790666203,0.03471024508841919,-0.05465006790589756,0.031999980881386884,-0.0559095767342782,0.08160836409936158,-0.01270640743295321,0.05088069438340154,-0.05457148962671466,0.04603439653705603,0.08564481072954702,0.04903755549458388,-0.03587170036632301
WNT7B,-0.032059533641185266,-0.0405162968751217,-0.016797103835680963,0.004867441004276572,-0.02909948636940542,-0.03520644826367453,0.02195132512935481,,-0.014887791576719864,-0.0023429773475303803,0.053075233653801936,0.01097978654563619,0.09132444339119594
PTMA,-0.05353635092361792,-0.0648167369530184,-0.026915765230423803,-0.044434819551990766,0.015251304959516378,-0.0838534879884567,-0.03327135674460331,0.11679626178765287,-0.08509752553109041,-0.06656870227860283,-0.013263061755566593,0.012214966368460818,-0.04104951656566293
FASLG,,,,,,,,,,,,-0.01717463975760883,
CEACAM1,,-0.0039048366781368644,0.03261204646945825,-0.022952460802208186,,0.04154439697966579,-0.025633920203388966,-0.04941631394058338,-0.03166894895405845,0.07222154690922807,0.01373572488048989,-0.023895988727282186,
PDAP1,-0.005238130329375571,-0.034788747811789464,-0.04187702842222279,0.04742055756466143,0.06066754072771132,0.0694997013093833,0.0008852653810899005,-0.0298041408659241,-0.028786074841941938,0.0019366093274849774,0.015101524651665045,0.03315249155038131,0.022668699050825334
QDPR,-0.02741795181958681,-0.060822108169133075,0.011230000853521174,0.014149960696725743,-0.07734121251276263,-0.02679526641357986,-0.03066777266203097,0.020331250344955417,-0.09288379802859818,0.0644185640252972,0.010878652728279689,0.006142583477423611,-0.019295314221614387
POMC,-0.05032113081685609,0.001602020959937108,-0.011974865839911454,0.048574353267415125,-0.013885305558582604,0.0016280191930852978,0.010313989501475156,0.1300287173206501,0.05535815868407463,0.027143698427608227,-0.004676582548618738,0.01026886268648052,-0.00041664093904693697
CCL18,0.0280399178611478,0.04201712815677217,,,,,,,-0.022453805495895807,0.09383782983138703,-0.046551375588747355,,
CCL17,,,0.002913506784624915,,,,-0.020327610930334368,,,-0.025541359535796615,,-0.01556688189127971,
VEGFD,0.002071206260172249,-0.025485272018364546,0.019718603667646366,-0.021959614969488207,,0.1416482180465614,-0.02165735011328363,-0.006702313325147894,,0.027752732555532934,,,
TNFSF13,,-0.019232004082639784,-0.01598283432149733,,-0.01322120392713344,,,,,-0.027762584584110343,-0.015179423569579693,-0.008952885489171936,0.01589078496705581
WNT5A,-0.01875452799871789,0.01751260385574426,-0.0020039731771051227,0.0012197036708285695,-0.03135925307019135,0.10005680116277381,0.00865531089303776,0.05209872346970953,0.04251916018812494,0.011746119312867273,0.050728531181393956,-0.006762401627526357,0.027296439479612196
