,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.08120944092788744,,,,,,,,,,-0.023507829938931097,,,,
BMP1,0.03250259268106267,-0.016786474706504722,0.013143763198176839,0.019801749015957222,-0.00389062079016231,-0.0008621150511764387,-0.037244559825451884,-0.057470851218437265,-0.44176728591847275,-0.10592840694673906,-0.06181974844643405,-0.14394095254292913,-0.25985147145964455,-0.010067836865905731,0.09690484347441589,0.013508381955056782,-0.10336616169158604,-0.03845547612198209,0.02866203330800512,-0.13119130966213313,-0.09671984320814277,-0.049987385170107396,0.022812517799934467
NDP,0.036692712157302174,-0.06405046095163931,0.05004863733533091,0.06474828014978164,0.028364971247021493,0.07935934550582313,0.1709938827184215,0.12205420112653932,-0.1212109491456516,0.0689115740072187,-0.06024546244680493,-0.1496783783948281,-0.033370493372842557,0.10709089890759042,0.08584977118417164,-0.01500711242286028,0.03643587064485348,0.11214477152842767,0.054486482762948825,0.017005613923514937,0.030885444035534067,0.014620465039507173,-0.011975052103503147
TNFSF18,-0.028871919723942156,-0.05102768685528181,0.024208146770391372,0.01783042860873639,,,,-0.0715045189631485,-0.10403188532005478,-0.03778746144720765,,,,-0.027396242223305698,,0.060017997461941315,,,0.016894083207715845,,0.0770154413041707,-0.11768492373274077,
IL36G,,,,,,,,,,,,,-0.025981900744969783,,,,,,,,,,
RTN4,-4.0606491736953996e-05,0.3255014874318344,0.009540903415873986,-0.021541558827283327,0.028730899856282605,0.05202694293678894,0.18100879091428107,0.2817775424581576,0.5540223001360565,0.2013176399400512,0.12932020410213066,0.4906029796189107,0.4303296011804535,0.03959647648202452,-0.01654786001708429,-0.06497339180970332,0.18990231588316064,0.029245090859040365,-0.04064275232481348,0.2910214358443138,0.028630246890888906,0.3716868801886444,0.08448907769340785
HEBP1,0.02562534464857865,-0.03910433132367556,0.039084224703374526,0.026484588955045994,0.02372087738001967,-0.005968133403658318,-0.04001182221047936,-0.09282911241283379,-0.21317946903323862,0.034188218632130604,-0.0399598708799938,-0.21772314355557737,-0.020391263030546086,0.03152676009809862,0.024362767898819023,-0.11164482919151619,0.07065061133499016,0.07453710127664846,0.04653203393981102,0.088923035136904,0.026013422670681012,-0.005696018188896434,-0.12082223206391628
WNT7B,0.04982508791368562,0.39092418884897456,0.050263836445274414,-0.00789320428304324,-0.03717586779664769,0.023353806056460473,0.06819159047422113,0.07696830400561774,0.36399134763086266,-0.03158287256499799,0.09528592719626107,,0.1634027124655546,0.017666666696570202,0.07003877236030462,,-0.006801804268376522,0.007156856116402153,0.025276518667054885,0.03685034373345121,-0.01468717411598754,0.005369468026348866,0.1363725220637101
PTMA,0.0024645992605991556,-0.03897364923769153,0.08387169422946808,0.12372948526137945,0.04978347968289358,0.010498387466086178,-0.15933767578089458,-0.33193176643485806,0.06538533431815165,0.07966960670037945,-0.12994284773509843,-0.5973921348397793,-0.42872609780726045,-0.04264511691527203,-0.19759978991014265,-0.06244547684939732,-0.06579149965226286,0.08086973729903923,0.05251272385694675,-0.0023632656662754535,-0.05411192344999629,-0.14501371606786598,-0.23094747851170147
FASLG,-0.025435264173602742,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.03531708690652349,,-0.018814841153990656,-0.005212660996821699,,-0.004811453838946766,-0.043518654769679324,,-0.11308686934652663,0.0023585114950645616,,,,,0.03052098503079065,0.015256247534825858,0.0813606823254193,0.05203578041685627,-0.005854499849739541,-0.011672025386362715,,,
PDAP1,0.10301346288491185,-0.05730105249486896,0.04348456658391755,0.05239429108787169,-0.011332374653241137,0.012327858239503484,-0.04120686516585498,-0.08113047997750157,-0.28876225585171766,-0.004716947011770046,-0.03244034473753244,-0.020872944447326357,-0.20246998473939795,-0.0320169242861671,0.009071867154689293,0.008105834447186067,-0.07809802161316615,-0.02321946794842743,-0.0015764285135214334,0.13165727707643357,-0.0582188318241028,-0.05184891313412538,0.02234430704780457
QDPR,-0.05557435841618694,0.19010966874552934,0.05336240837650417,-0.048767654023010934,0.07797934092554437,-0.001451718973524926,0.20816041130231408,0.03185533662924215,0.10687161931421162,0.175448750278246,0.050444629775592824,-0.41715477364357956,0.09604428515054043,0.03311674203752907,0.06113696955530729,0.060142157410600264,0.1903202242648224,0.13046806321055765,-0.00984722180638577,0.006337422966261487,-0.027046862932931664,0.2373701439586122,-0.0011053065821626008
POMC,-0.0389093619714376,0.26240859696981167,0.036043186388976536,-0.046140046396282504,,0.022339429410794767,0.14699103054425697,0.05795670403072296,0.03648509786262602,0.018217498944286564,-0.02907291206559755,-0.05902529884490377,0.14140712516952827,0.0033642072344147785,0.003576049333007616,0.017638937564265413,0.018480597004233518,0.06688044014187923,0.003660757402306391,-0.010472788013636422,,0.04363311257829213,0.009740492535603483
CCL18,,0.024100969211700282,-0.03891417321594437,,,,,,,,,-0.1802595530115256,,,-0.07255349688583371,,-0.018748710747063028,-0.11516158724245348,,-0.09960402221910757,,,
CCL17,,,,,,-0.01112317737428307,,,,-0.0022155736281549644,-0.0006112985066803209,,-0.0011766748092142214,,,,-0.007196431804082096,0.008360894375043296,0.0007015836471772846,,,,
VEGFD,,0.012703438526048699,0.018181116490384022,0.0032307828154988236,,0.017201855171564594,0.04663237041882989,,-0.1159981311481343,0.09055031528190244,0.0802003097930899,0.052301860582005796,-0.04726081674522548,,-0.0016808492161136939,0.03036776058966676,,0.035448143162338554,-0.0013698363893986534,,,,
TNFSF13,,,0.030676022859898015,,,0.04687809584166624,,0.07727313404394548,,,,,,,,,0.05901888888972142,0.08040788116401457,0.011733931526728214,0.04726240891142158,,-0.020267913132796734,
WNT5A,-0.04842778447518187,-0.03417223457265533,0.016314590088696637,0.022460729333070983,-0.008879461475662166,0.003352736362612261,-0.10682263192698428,-0.11843313239465628,-0.39214946832737435,0.03446230582268327,-0.012955171090646887,0.03788968281718301,-0.11947934443025704,0.05653434159414931,-0.013731041269075218,0.021639200005104928,0.0651345802546981,0.10654637947402212,0.03653001727206868,0.01766274638522221,-0.0007203905392366498,-0.12102713182934409,-0.034322412734979005
CXCL8,,-0.17964582846883279,-0.041102398411431824,-0.07326556373502828,-0.066740418977095,-0.035748860921320375,-0.09687146519682771,0.0006081971844237506,-0.11384487913486586,-0.10185984711937636,-0.013646249681400439,-0.16832853061188222,-0.13849565105223827,,-0.026303586329824383,0.061312089841836885,-0.26488385745518395,-0.35169665825165225,-0.044004320345522686,-0.1908748562481024,-0.023682221379497152,-0.24266863185891394,-0.03759107049051378
