,MGH258,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF334,ZH916T1
IGFL3,,,,,,-0.020303959753099718,,,-0.025796194967387158
BMP1,-0.006183585407770551,0.08549714546286137,0.015060269646118316,0.06523612681652473,-0.043109166331240824,0.09411776585158681,-0.006546135514268839,0.026572327941980608,0.02311540927509159
NDP,-0.0010230761141825297,-0.05355819140645766,-0.017371005914373634,-0.004382555934097789,0.02951242642445356,0.015838625065296392,-0.0015262315316395554,-0.0018864154986090605,0.09740364164347538
TNFSF18,-0.020102981183762914,0.10560886912916753,-0.03123043290710996,-0.02528979701665318,,0.09615226405985526,-0.012622089051545443,,-0.023431459489349413
IL36G,,,,,,,,-0.0011656960532424833,
RTN4,0.02732967781616922,0.0692802819813109,0.017490263221539352,-0.04170947147504207,-0.013450494536705201,-0.1313103816235019,-0.038392364749410136,-0.0058006601166390075,-0.01250064756315016
HEBP1,0.02130606652823633,-0.017305254586664525,0.0458637431311662,0.005964015733438046,-0.03516197975519872,0.03449980472806624,-0.017631046750480012,-0.02625766073452187,-0.007961507299226084
WNT7B,-0.017710096780015387,0.03789194220434308,0.09265774971670016,0.06542717087938303,-0.028867303561951038,-0.014700357245326772,-0.036180043305471865,-0.02118451928145192,-0.007298011375138239
PTMA,0.0694793037793299,-0.00595665923065014,-0.031982560384863086,0.0062859850110739005,-0.014602453181690858,-0.08278609755601567,-0.013395259456137613,0.0032415503044207327,-0.06621926989240443
FASLG,-0.01771010178661438,,,,,,,,0.08934200078268169
CEACAM1,0.05059439263105396,,-0.01987731465359246,-0.012055895283027524,0.04915031280047865,0.04309253491268804,-0.019851539066845565,,0.06361357328993143
PDAP1,0.0014437173314624482,-0.030328084169622193,0.02009609904963941,0.03743625525974054,0.030243171944274817,0.10354780574103713,0.04033371698061191,0.051553354588227567,-0.01630959617336129
QDPR,-0.029490120509893695,-0.02649224154032634,0.017091783070046652,-0.00810086219856588,0.029598165858083246,-0.1212782904625536,0.00044711191488946316,0.03957682541091316,0.0659088855007981
POMC,-0.040511731839372886,-0.03469068277270045,0.0680881696919784,-0.021421402489090368,0.009543744235702777,-0.028622956393608723,-0.014645674004122807,0.03640370436594902,0.014166955037056273
CCL18,,0.07068682207483673,0.03215964843803747,,,,,,
CCL17,,,,,-0.01932048539992305,,-0.015742202492532522,-0.017607489244952507,0.12210045504260515
